,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,1.0,0.1035924909080259,-0.0703912665399264,0.008549588926887113,0.792282439366921,0.4029869623601817,0.22108050845761798,0.1301104723748941,0.7440049799680635,0.4627711834893136,0.2874082283173816,0.15378568575828316,0.7361536397517607,0.4873223355152867,0.003882096927617317,0.10085224638794607,0.4373921399394355,0.21056137144358572,0.07039126653992642,0.2820114568747362,-0.24633841069379292,-0.04015668456257903,0.003882096927617317
F7-T7,0.10359249090802591,1.0,0.13869975137959983,0.005079312931204191,0.49105682501320314,0.4195514687870841,0.19555283404939805,0.13556752212796536,0.3843121084568741,0.21713772665049647,0.09004933242406538,0.06965469561749649,0.42242181029362424,0.13733315281457567,0.09182675977835288,-0.04368666277576876,0.30949244483181493,0.21124567853613901,-0.13869975137959992,-0.5990869348946147,0.3955629465036642,-0.09984979070187401,0.09182675977835288
T7-P7,-0.0703912665399264,0.13869975137959983,1.0,0.1493143275569638,0.11845819843282136,0.3082184453620517,0.33867917169262546,0.29180182781081676,0.10253968545721068,0.1616032036014877,0.16681446378891823,0.16957591752198392,0.07464144198927618,0.06339876743177257,0.3266457443216322,0.05125565433901396,0.2249847272640066,0.27203360106838126,-1.0,0.10019521646052058,0.26107364859849147,-0.06005216986445091,0.3266457443216322
P7-O1,0.008549588926887113,0.005079312931204191,0.14931432755696383,1.0,0.013312897336158846,0.0637056125483026,0.38385551530471473,0.5800963717648561,0.04423018243253657,0.15899929328182863,0.20323799357724998,0.4884254125509097,0.061180668969626144,0.07820285769606145,0.1926774876589969,0.375685008596671,0.2108823729932219,0.32216284821099833,-0.1493143275569638,0.00734300191574843,0.17571506154033753,0.00399684818774003,0.1926774876589969
FP1-F3,0.792282439366921,0.4910568250132032,0.11845819843282136,0.013312897336158848,1.0,0.3026265817523869,0.02199601817073036,0.05272441796147501,0.8316138535308287,0.3620106451933234,0.1288211493830955,0.06673814733659866,0.7406646120567241,0.40495187124593496,0.07493238098881937,0.050198493646525524,0.3963477322048854,0.12618969938826657,-0.11845819843282138,-0.02861465209717498,0.03638013975172764,-0.0756671866669221,0.07493238098881937
F3-C3,0.40298696236018167,0.41955146878708416,0.3082184453620516,0.0637056125483026,0.3026265817523869,1.0,0.3933627872146809,-0.0048582591782127035,0.3573364911888794,0.5268877116964127,0.43496542680177513,0.09363796747143985,0.4629462330935253,0.22017519242376776,0.15978215304196655,0.17140652364781667,0.6488571138876446,0.4174395841930517,-0.3082184453620516,0.038657277704263096,0.046534721389236075,-0.11286525747554067,0.15978215304196655
C3-P3,0.221080508457618,0.19555283404939805,0.33867917169262546,0.38385551530471473,0.02199601817073036,0.3933627872146809,1.0,0.3645898815614305,0.1108388731805314,0.34225547706230325,0.4844570154110056,0.34146862255993826,0.2496378868239979,0.2017409286270255,0.1795053129996813,0.18002571233161288,0.34531837619705785,0.6539082998817058,-0.3386791716926255,-0.040634760935267675,0.1136216959395125,-0.017140449143015952,0.1795053129996813
P3-O1,0.1301104723748941,0.13556752212796536,0.29180182781081676,0.5800963717648561,0.05272441796147502,-0.0048582591782127035,0.3645898815614305,0.9999999999999999,0.09490756403677904,0.13016953073490373,0.09766489749883561,0.5952346140234026,0.1625635439190832,0.22611226043124136,0.14016777871264188,0.09121218359964656,0.08406155384514058,0.17834626078544485,-0.29180182781081676,-0.010144156863312475,0.13306646829348304,0.0038876999805377292,0.14016777871264188
FP2-F4,0.7440049799680635,0.3843121084568741,0.10253968545721066,0.044230182432536576,0.8316138535308287,0.3573364911888794,0.1108388731805314,0.09490756403677902,0.9999999999999999,0.3187806319330968,0.10074787000611836,0.04619449740597858,0.7830935450846319,0.5178017775678414,0.14300270578520818,0.027042141531866334,0.400497838330133,0.1393701150951373,-0.10253968545721066,0.03904761531394387,-0.0690735343910853,0.026516333877708388,0.14300270578520818
F4-C4,0.46277118348931356,0.21713772665049647,0.16160320360148767,0.1589992932818286,0.36201064519332343,0.5268877116964127,0.34225547706230325,0.13016953073490373,0.3187806319330968,0.9999999999999999,0.3488280177004064,0.07240821416390775,0.3276726876814131,0.5552534094435362,0.31041267114807913,0.10356853487493599,0.7179608302551471,0.3293808658095146,-0.16160320360148767,0.03924412373785006,-0.16444634077854678,0.18067826450779417,0.31041267114807913
C4-P4,0.2874082283173816,0.09004933242406538,0.16681446378891823,0.20323799357724998,0.12882114938309547,0.43496542680177513,0.4844570154110056,0.09766489749883561,0.10074787000611836,0.3488280177004064,1.0,0.32133267657567527,0.18164714137651256,0.2426256990676003,0.3441329223183087,0.44551829168616786,0.3358546869218938,0.6846016173815209,-0.16681446378891818,0.16452713072022768,-0.2893380093269847,0.06315929060376092,0.3441329223183087
P4-O2,0.15378568575828316,0.06965469561749649,0.1695759175219839,0.4884254125509097,0.06673814733659865,0.09363796747143983,0.34146862255993826,0.5952346140234026,0.04619449740597857,0.07240821416390775,0.32133267657567527,1.0,0.09152990209989678,0.16591426120523467,0.19798496896285334,0.6378391069306943,0.11254889453883297,0.3476928230720779,-0.16957591752198384,0.039862431128380345,-0.09834414166975368,-0.030852955735797584,0.19798496896285334
FP2-F8,0.7361536397517607,0.42242181029362424,0.07464144198927616,0.06118066896962614,0.7406646120567241,0.4629462330935253,0.24963788682399793,0.1625635439190832,0.7830935450846318,0.32767268768141317,0.18164714137651256,0.09152990209989678,1.0,0.17698351838028886,-0.19741131669341588,-0.006906979840272259,0.4019645675006081,0.20742779378888565,-0.07464144198927616,0.046903437496696954,0.26552139965071614,-0.2459626382393622,-0.19741131669341588
F8-T8,0.4873223355152867,0.13733315281457567,0.06339876743177257,0.07820285769606146,0.40495187124593496,0.22017519242376776,0.2017409286270255,0.22611226043124133,0.5178017775678413,0.5552534094435362,0.2426256990676003,0.16591426120523467,0.17698351838028886,1.0,0.21448389468703946,-0.04332371041368076,0.4230847110191955,0.2170535082600861,-0.06339876743177258,0.04091050094115915,-0.39523191939958735,0.5573425738027888,0.21448389468703946
T8-P8-0,0.003882096927617317,0.09182675977835288,0.32664574432163224,0.1926774876589969,0.07493238098881937,0.15978215304196655,0.1795053129996813,0.14016777871264188,0.14300270578520818,0.31041267114807913,0.3441329223183087,0.19798496896285334,-0.19741131669341588,0.21448389468703946,1.0,0.1256846374957851,0.2349432702441905,0.28845494976797725,-0.32664574432163224,-0.025602711408950762,-0.35891646829946305,0.09574961677175702,1.0
P8-O2,0.10085224638794606,-0.04368666277576876,0.05125565433901396,0.3756850085966709,0.050198493646525524,0.17140652364781667,0.18002571233161285,0.09121218359964657,0.02704214153186633,0.10356853487493599,0.44551829168616786,0.6378391069306943,-0.006906979840272259,-0.04332371041368075,0.1256846374957851,1.0,0.15814870500845413,0.34623123990085203,-0.05125565433901392,0.14215101978234496,-0.26532747680396745,-0.09701282451448803,0.1256846374957851
FZ-CZ,0.43739213993943543,0.30949244483181493,0.2249847272640066,0.21088237299322193,0.3963477322048854,0.6488571138876444,0.34531837619705785,0.08406155384514058,0.40049783833013297,0.7179608302551472,0.3358546869218938,0.11254889453883299,0.40196456750060816,0.42308471101919554,0.2349432702441905,0.15814870500845413,0.9999999999999999,0.2126452406869053,-0.22498472726400662,-0.03449227535188565,-0.018551295059630074,0.06796519113605146,0.2349432702441905
CZ-PZ,0.21056137144358575,0.21124567853613901,0.2720336010683813,0.32216284821099833,0.12618969938826655,0.4174395841930517,0.6539082998817057,0.17834626078544485,0.1393701150951373,0.32938086580951453,0.6846016173815209,0.3476928230720779,0.20742779378888565,0.21705350826008613,0.2884549497679772,0.346231239900852,0.21264524068690532,1.0,-0.2720336010683812,-0.004897841097406675,-0.04560552575058892,0.019899242701290926,0.2884549497679772
