,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,1.0,0.07462626548382054,0.05596815005529523,0.06070884545174445,0.6241607604800561,0.1737898458530558,0.04984620449297514,0.009868528168684275,0.36728860548546294,0.18155849408602026,0.1866931910058608,0.07886567143645999,0.3766767504085265,0.19203766174801382,0.05369467472618444,0.09678009497600912,0.1684442866459772,0.11501468005976767,0.05596815005529522,0.17184368866400562,0.25816037397759,0.01790453926830415,0.05369467472618444
F7-T7,0.07462626548382054,1.0,0.1645024933899795,0.034743448519482655,0.2960484817700824,0.4283829319886978,0.3129129340416676,0.08579427009262285,0.22868103403756268,0.1976660381489225,0.1717893358054353,0.07565696873743183,0.279580262251578,0.14199901581998003,0.112061260031794,0.030763035695887817,0.25084471506498035,0.2215328136792716,0.1645024933899795,0.47785274743137157,0.14562778865526363,0.02959582896891407,0.112061260031794
T7-P7,0.05596815005529523,0.1645024933899795,1.0,0.2002518122612027,0.0956742226994596,0.29059690269727934,0.4396633942903521,0.2714964142747309,0.10199351359364067,0.18217514751535105,0.2070043596447597,0.18626065803165212,0.08515337225436066,0.11475682872426153,0.29521806924909394,0.10412772992398853,0.2294908055570123,0.2657466703827089,1.0,0.07100761045621092,0.19382884752189328,0.07185344318999913,0.29521806924909394
P7-O1,0.06070884545174445,0.034743448519482655,0.2002518122612027,1.0,0.028683216459890765,0.041287293850404444,0.3357724505005498,0.5007660774338478,0.04486321409931952,0.13965724512812966,0.15910122652441158,0.42273519346889277,0.028182086552224286,0.12256614134502912,0.19456737072106917,0.33229587414102657,0.17167871612014338,0.24662276864770036,0.2002518122612027,0.10231434841256641,0.1999750129284966,0.09168212096743895,0.19456737072106917
FP1-F3,0.6241607604800561,0.2960484817700824,0.0956742226994596,0.028683216459890765,1.0,0.11678879696720691,0.012602706433825392,0.04464495787656381,0.5121199088504246,0.12860869390614565,0.09030457055698456,0.009080126590562876,0.3874976791652428,0.14332685619355248,0.0900574333310105,0.06961938504098873,0.15330817208435266,0.02868551688040054,0.0956742226994596,0.05157880378957463,0.05549771055754218,0.03783442942401648,0.0900574333310105
F3-C3,0.1737898458530558,0.4283829319886978,0.29059690269727934,0.041287293850404444,0.11678879696720691,1.0,0.2778409947217449,0.07676285042007946,0.18678462904266535,0.3868502120293015,0.36674220086518117,0.05529742968393948,0.2536254326707877,0.12482885517436022,0.19458807030241598,0.18505944681595662,0.5105181114326899,0.3351847310830407,0.2905969026972794,0.05937317222752505,0.06368462584751176,0.05085635558599851,0.19458807030241598
C3-P3,0.04984620449297514,0.3129129340416676,0.4396633942903521,0.3357724505005498,0.012602706433825392,0.2778409947217449,1.0,0.269785091201088,0.0684791567007156,0.2791211332813485,0.3787394008205951,0.2940607666859806,0.12815895960446816,0.23617994086576063,0.2611380682998297,0.16655084098371217,0.28640512474595925,0.5848078158380696,0.43966339429035206,0.2367771384724467,0.1408644972557947,0.10282727267497173,0.2611380682998297
P3-O1,0.009868528168684275,0.08579427009262285,0.2714964142747309,0.5007660774338478,0.04464495787656381,0.07676285042007946,0.269785091201088,1.0,0.008938471982723437,0.07109319033804411,0.055758785719390254,0.5380873369488787,0.07043892957070881,0.20012093605441306,0.13187509430816255,0.13073606892739467,0.0405515581341633,0.13238323062936053,0.2714964142747309,0.06074991660950987,0.1706274420964439,0.04770215410320916,0.13187509430816255
FP2-F4,0.36728860548546294,0.22868103403756268,0.10199351359364067,0.04486321409931952,0.5121199088504246,0.18678462904266535,0.0684791567007156,0.008938471982723437,1.0,0.09150022172950799,0.0327982831447613,0.03608818254385592,0.5963069872541891,0.25608233077738285,0.13477587031056204,0.035593641208068696,0.17533971391512018,0.04869047656454899,0.10199351359364067,0.01729083848756181,0.0471380175064388,0.125470936838585,0.13477587031056204
F4-C4,0.18155849408602026,0.1976660381489225,0.18217514751535105,0.13965724512812966,0.12860869390614565,0.3868502120293015,0.2791211332813485,0.07109319033804411,0.09150022172950799,1.0,0.2659073536986315,0.01707184602120709,0.10610825684595249,0.43804076000546355,0.30042899514104343,0.05578027843316936,0.5841736425997134,0.258889346190603,0.18217514751535105,0.08363432260799299,0.06000627477915094,0.26733450213684695,0.30042899514104343
C4-P4,0.1866931910058608,0.1717893358054353,0.2070043596447597,0.15910122652441158,0.09030457055698456,0.36674220086518117,0.3787394008205951,0.055758785719390254,0.0327982831447613,0.2659073536986315,1.0,0.25265277994538937,0.08965385281416402,0.17005515426041104,0.4191523074500686,0.3764831781141886,0.2577441760416899,0.5874675819297924,0.2070043596447597,0.09328826860420912,0.26592821209964235,0.062056262512305435,0.4191523074500686
P4-O2,0.07886567143645999,0.07565696873743183,0.18626065803165212,0.42273519346889277,0.009080126590562876,0.05529742968393948,0.2940607666859806,0.5380873369488787,0.03608818254385592,0.01707184602120709,0.25265277994538937,1.0,0.026199841158742375,0.12193774116272621,0.20304828134232805,0.4991428721449185,0.0614225557908498,0.2782145352605213,0.18626065803165212,0.10642816184587195,0.09661753165367792,0.08410746881262521,0.20304828134232805
FP2-F8,0.3766767504085265,0.279580262251578,0.08515337225436066,0.028182086552224286,0.3874976791652428,0.2536254326707877,0.12815895960446816,0.07043892957070881,0.5963069872541891,0.10610825684595249,0.08965385281416402,0.026199841158742375,1.0,0.03896746382853311,0.09745078719025402,0.022637091701840147,0.16147255071079933,0.12699880192494317,0.08515337225436066,0.027114887876408235,0.15966172983718382,0.10725359478279066,0.09745078719025402
F8-T8,0.19203766174801382,0.14199901581998003,0.11475682872426153,0.12256614134502912,0.14332685619355248,0.12482885517436022,0.23617994086576063,0.20012093605441306,0.25608233077738285,0.43804076000546355,0.17005515426041104,0.12193774116272621,0.03896746382853311,1.0,0.14046526587529895,0.13447105696435108,0.30059405770780867,0.18080079451416634,0.11475682872426153,0.1148104442800432,0.06104239556304373,0.5913988616830929,0.14046526587529895
T8-P8-0,0.05369467472618444,0.112061260031794,0.29521806924909394,0.19456737072106917,0.0900574333310105,0.19458807030241598,0.2611380682998297,0.13187509430816255,0.13477587031056204,0.30042899514104343,0.4191523074500686,0.20304828134232805,0.09745078719025402,0.14046526587529895,1.0,0.1596680895043657,0.24347513398970488,0.2827620082718616,0.2952180692490939,0.07600315338028162,0.252654759675431,0.11879578586441163,1.0
P8-O2,0.09678009497600912,0.030763035695887817,0.10412772992398853,0.33229587414102657,0.06961938504098873,0.18505944681595662,0.16655084098371217,0.13073606892739467,0.035593641208068696,0.05578027843316936,0.3764831781141886,0.4991428721449185,0.022637091701840147,0.13447105696435108,0.1596680895043657,1.0,0.1303167657105664,0.2829712409467012,0.10412772992398853,0.1582688626214098,0.2870488749102923,0.1614740132407086,0.1596680895043657
FZ-CZ,0.1684442866459772,0.25084471506498035,0.2294908055570123,0.17167871612014338,0.15330817208435266,0.5105181114326899,0.28640512474595925,0.0405515581341633,0.17533971391512018,0.5841736425997134,0.2577441760416899,0.0614225557908498,0.16147255071079933,0.30059405770780867,0.24347513398970488,0.1303167657105664,1.0,0.13887584297135896,0.2294908055570123,0.11388248917055596,0.02082362978471589,0.14304930819641412,0.24347513398970488
CZ-PZ,0.11501468005976767,0.2215328136792716,0.2657466703827089,0.24662276864770036,0.02868551688040054,0.3351847310830407,0.5848078158380696,0.13238323062936053,0.04869047656454899,0.258889346190603,0.5874675819297924,0.2782145352605213,0.12699880192494317,0.18080079451416634,0.2827620082718616,0.2829712409467012,0.13887584297135896,1.0,0.2657466703827089,0.046862605884500835,0.05570299462233454,0.06428879246870002,0.2827620082718616
P7-T7,0.05596815005529522,0.1645024933899795,1.0,0.2002518122612027,0.0956742226994596,0.2905969026972794,0.43966339429035206,0.2714964142747309,0.10199351359364067,0.18217514751535105,0.2070043596447597,0.18626065803165212,0.08515337225436066,0.11475682872426153,0.2952180692490939,0.10412772992398853,0.2294908055570123,0.2657466703827089,1.0,0.0710076104562109,0.19382884752189328,0.07185344318999913,0.2952180692490939
T7-FT9,0.17184368866400562,0.47785274743137157,0.07100761045621092,0.10231434841256641,0.05157880378957463,0.05937317222752505,0.2367771384724467,0.06074991660950987,0.01729083848756181,0.08363432260799299,0.09328826860420912,0.10642816184587195,0.027114887876408235,0.1148104442800432,0.07600315338028162,0.1582688626214098,0.11388248917055596,0.046862605884500835,0.0710076104562109,1.0,0.2953131589460671,0.23214571588852717,0.07600315338028162
FT9-FT10,0.25816037397759,0.14562778865526363,0.19382884752189328,0.1999750129284966,0.05549771055754218,0.06368462584751176,0.1408644972557947,0.1706274420964439,0.0471380175064388,0.06000627477915094,0.26592821209964235,0.09661753165367792,0.15966172983718382,0.06104239556304373,0.252654759675431,0.2870488749102923,0.02082362978471589,0.05570299462233454,0.19382884752189328,0.2953131589460671,1.0,0.10193719796329041,0.252654759675431
FT10-T8,0.01790453926830415,0.02959582896891407,0.07185344318999913,0.09168212096743895,0.03783442942401648,0.05085635558599851,0.10282727267497173,0.04770215410320916,0.125470936838585,0.26733450213684695,0.062056262512305435,0.08410746881262521,0.10725359478279066,0.5913988616830929,0.11879578586441163,0.1614740132407086,0.14304930819641412,0.06428879246870002,0.07185344318999913,0.23214571588852717,0.10193719796329041,1.0,0.11879578586441163
T8-P8-1,0.05369467472618444,0.112061260031794,0.29521806924909394,0.19456737072106917,0.0900574333310105,0.19458807030241598,0.2611380682998297,0.13187509430816255,0.13477587031056204,0.30042899514104343,0.4191523074500686,0.20304828134232805,0.09745078719025402,0.14046526587529895,1.0,0.1596680895043657,0.24347513398970488,0.2827620082718616,0.2952180692490939,0.07600315338028162,0.252654759675431,0.11879578586441163,1.0
