subject,stimname,time_stimon,time_eeg,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,apple_01b.jpg,188.79,188.788,-0.00023720457458496094,-3.565983963012695e-05,-5.325194931030273e-05,-4.7031879425048826e-05,4.1309013366699214e-05,-2.0289347171783447e-06,-2.7877964973449704e-06,1.6285301208496094e-05,3.9801795959472656e-05,4.869093704223633e-05,2.6300458908081053e-05,2.7893756866455077e-05,2.8704072952270508e-05,3.042172813415527e-05,4.730823135375977e-05,3.339010620117187e-05,3.262996673583984e-05,4.1915863037109376e-05,2.357722282409668e-05,5.207551956176758e-05,5.6724407196044916e-05,2.8201704025268554e-05,2.4946964263916013e-05,1.4362141609191894e-05,4.814513397216797e-05,4.98998908996582e-05,1.5127226829528807e-05,-1.4201382398605345e-06,-2.1904247283935545e-05,4.1721567511558533e-07,-0.00018482135009765624,-0.00019921507263183594,-0.00010155071258544921,-9.373455810546875e-05,-3.931620025634765e-05,-6.695771026611327e-05,1.0044442176818848e-05,-4.178832530975341e-06,1.5724682807922363e-05,1.434356117248535e-05,3.9729511260986324e-05,2.4638036727905273e-05,2.8973337173461913e-05,3.658533477783203e-05,4.191968536376953e-05,2.8496932983398437e-05,2.300276947021484e-05,2.175260543823242e-05,4.578810119628906e-05,3.4035354614257814e-05,2.811699867248535e-05,2.9354124069213867e-05,2.310861587524414e-05,5.088122940063476e-05,2.0631166458129882e-05,1.784930419921875e-05,2.9736716747283932e-06,2.7464387893676756e-05,-1.5586374282836914e-05,-0.00011716864013671874,-6.390977096557617e-05,-2.447589111328125e-05,-8.113480210304259e-07,1.9484415054321287e-05
sub-01,apple_02s.jpg,2467.6,2467.6,-8.164012145996093e-05,-1.1579931259155274e-05,-1.7993305206298828e-05,-1.811217498779297e-05,1.2736829757690428e-05,8.687915205955504e-07,1.0345144271850585e-05,1.245773696899414e-05,4.718727111816406e-06,3.169231033325195e-05,5.555726051330566e-06,2.625215721130371e-05,2.4788408279418944e-05,1.695197296142578e-05,-8.272483825683593e-06,5.270619869232178e-06,1.2588557243347168e-05,1.9943602085113525e-06,3.3259558677673337e-07,7.694116592407227e-06,2.2992055892944335e-05,-1.8184959888458252e-06,2.0586904525756835e-05,1.0686985969543456e-05,1.0020788192749023e-05,1.5943926811218262e-05,6.180962562561035e-06,1.1478670120239258e-05,-1.1942301750183105e-05,-3.479375600814819e-06,-6.715694427490234e-05,-7.233502197265624e-05,-3.236621475219726e-05,-2.1573652267456052e-05,-1.0771769523620605e-05,-2.311715507507324e-05,1.6951777935028075e-06,4.266757488250732e-06,1.582484245300293e-05,6.536106586456298e-06,-1.6126901626586913e-05,1.734025764465332e-05,2.2667665481567383e-05,1.0760543823242186e-05,-4.471840381622314e-06,1.1090087890625e-05,1.1497467041015625e-05,1.3863965272903442e-06,7.634497642517089e-06,-2.042997360229492e-06,1.7067527770996093e-05,2.1280399322509764e-05,8.547675132751465e-06,-1.6345887184143066e-06,-4.9439082145690915e-06,1.5833523750305176e-05,8.386653900146484e-06,8.413367271423339e-06,-2.3348538875579834e-06,-4.890660095214844e-05,-2.2034934997558594e-05,-7.15101957321167e-06,9.162766456604003e-06,2.027482223510742e-05
sub-01,apple_03s.jpg,1789.92,1789.92,-3.878682708740234e-05,-8.78328514099121e-06,-1.1185690879821777e-05,-1.9775598526000974e-05,-2.418417453765869e-06,-7.1209678649902344e-06,5.332834720611572e-06,-1.792214512825012e-06,2.1053698062896727e-06,1.736406326293945e-05,-1.4502373933792113e-06,4.4970293045043945e-06,8.462153434753418e-06,9.574967384338378e-06,1.1236354827880859e-05,2.088351249694824e-05,1.2193838119506836e-05,6.6566424369812006e-06,7.140807628631591e-06,-7.3325982093811035e-06,-1.8145549297332763e-06,3.0067738890647885e-07,7.237757682800293e-06,-7.386643886566161e-07,8.62408447265625e-06,1.753340148925781e-05,6.398299694061279e-06,7.665353417396545e-07,-2.3183081150054932e-06,6.866689205169677e-06,-2.118303680419922e-05,-4.774304580688476e-05,-2.2650953292846678e-05,-1.3053591728210449e-05,-6.942173480987549e-06,-1.896962547302246e-05,-1.1751555442810058e-05,-1.3034656524658203e-05,3.2157392501831055e-06,-9.316157102584839e-07,3.4951093196868893e-06,3.5507590770721435e-06,1.0351263999938965e-05,8.69701099395752e-06,1.564244747161865e-05,1.4146162033081054e-05,1.669851303100586e-05,1.4192347526550293e-05,1.002608299255371e-06,-5.847080945968627e-07,1.1342117309570313e-05,7.565701961517334e-06,2.4268975257873534e-06,-1.1725298166275025e-06,8.296536445617675e-06,-2.265137434005737e-06,3.387831926345825e-06,1.1394865989685058e-05,2.4987318515777586e-06,-2.2528913497924804e-05,-4.821560382843017e-06,1.013788104057312e-06,-1.3940207958221436e-06,4.477308988571167e-07
sub-01,apple_04s.jpg,2863.86,2863.86,-0.00010892620086669922,8.000600814819335e-06,-1.0372353553771973e-05,-2.1145263671875e-05,1.3745917320251465e-05,-2.9083297729492186e-05,-1.3577170372009277e-06,-5.724849700927734e-06,1.6476194381713866e-05,4.112921905517578e-05,9.507288336753845e-07,1.3159673690795897e-05,1.2714516639709472e-05,1.2868330478668212e-06,4.154020845890045e-07,2.736895751953125e-05,7.387304782867431e-06,-4.636939764022827e-07,9.315228462219239e-06,2.7280248641967773e-05,9.530463218688964e-06,6.14622974395752e-06,1.3047863006591796e-05,1.0272881507873534e-05,2.076850891113281e-05,3.224268341064453e-05,1.717011260986328e-05,1.597249984741211e-05,-1.1791865348815917e-05,1.2814829349517822e-06,-6.196405410766601e-05,-7.947324371337891e-05,-3.6287887573242185e-05,-2.640425682067871e-05,-1.393671154975891e-06,-4.0401622772216793e-05,1.0545732975006103e-06,-9.401418685913085e-06,1.1245473861694336e-05,-1.0392363548278809e-05,1.7787373065948486e-06,1.849088817834854e-07,6.169667243957519e-06,2.9303884506225584e-06,7.506511688232422e-06,4.971125602722168e-06,7.2529931068420406e-06,6.954489707946777e-06,8.614683151245116e-06,1.0546567916870117e-05,1.0833294868469237e-05,1.248334789276123e-05,8.90141487121582e-06,1.9242122650146485e-05,1.316545295715332e-05,1.8257139205932617e-05,1.0274995803833007e-05,2.2534496307373045e-05,8.745575904846191e-06,-5.32872314453125e-05,-2.8795576095581055e-05,5.039141178131104e-06,1.357906436920166e-05,1.8728126525878907e-05
sub-01,avocado_01b.jpg,142.3,142.3,-1.4275632858276366e-05,-7.4961705207824705e-06,1.6452670097351073e-06,3.7461605072021485e-06,3.0010323524475097e-06,9.517220497131347e-06,-4.77180689573288e-07,-8.546631336212158e-07,2.581994295120239e-06,9.45185661315918e-06,9.457242012023925e-06,-2.1614041328430175e-06,2.361950635910034e-06,8.634507179260253e-06,1.7076141357421876e-05,4.0948667526245115e-06,-9.204328656196593e-07,1.706334114074707e-06,-6.991649627685547e-06,1.6877205371856688e-06,1.8120595932006835e-05,-1.0336555480957031e-05,-3.5243003368377683e-06,-1.086722183227539e-05,2.94322509765625e-05,-2.1739227771759033e-06,-1.0198220252990723e-05,-9.413237571716309e-06,-1.4334990501403808e-05,-2.7686808109283446e-06,-6.625726222991943e-06,-1.7866195440292357e-06,6.795478820800781e-06,-8.240488052368163e-06,-4.934423923492431e-06,1.9222105026245116e-05,2.355079650878906e-06,4.382459819316864e-07,-2.832264184951782e-06,9.04398250579834e-06,2.218377590179443e-06,5.317134380340576e-06,3.631201028823852e-06,9.089696884155274e-06,1.3883950233459473e-05,6.603745460510254e-06,-1.7296791076660155e-06,-4.393708229064941e-06,1.6480356454849242e-06,-7.298158168792724e-06,-8.454058647155761e-06,-4.692401885986328e-06,-1.0493640899658203e-05,5.335010528564453e-06,-1.7688159942626954e-05,-4.782900810241699e-06,-3.0074696540832517e-06,-1.7259711399674416e-08,7.696463465690613e-07,-5.126190781593322e-07,-5.864067077636718e-06,-8.323800086975098e-06,-4.7783360481262206e-06,-5.603971004486084e-06
sub-01,avocado_02s.jpg,2677.91,2677.908,-0.00016973014831542967,-1.060900592803955e-05,-3.3963806152343746e-05,-4.3550128936767575e-05,2.624515724182129e-05,-4.746284008026123e-06,8.138795852661133e-06,9.119068145751952e-06,1.55527286529541e-05,5.464864349365234e-05,1.7665964126586914e-05,1.8990545272827148e-05,1.2107297897338866e-05,1.7157121658325194e-05,1.639777374267578e-05,1.1240041732788086e-05,1.7244979858398436e-05,2.3213172912597655e-05,1.4923778533935545e-05,1.6472782135009764e-05,3.077980041503906e-05,1.4034736633300781e-05,1.5882796287536622e-05,1.7396528244018552e-05,1.8891397476196287e-05,4.277748489379883e-05,2.759104347229004e-05,1.0952809333801269e-05,-1.0170953720808029e-07,1.369481086730957e-05,-0.00012088710784912108,-0.00014851554870605468,-7.099785614013672e-05,-4.437506866455078e-05,-1.603936958312988e-05,-3.9820461273193356e-05,-8.359957695007323e-06,-2.014691352844238e-06,1.5080550193786621e-05,1.8317195892333985e-05,2.67681827545166e-05,1.583938980102539e-05,1.6396076202392578e-05,2.0616931915283204e-05,-4.381960391998291e-06,1.041673755645752e-05,1.4708512306213379e-05,3.3653211593627927e-06,1.8494016647338865e-05,7.632306575775147e-06,1.4549946784973144e-05,1.7749252319335936e-05,1.799582099914551e-05,1.1130232810974121e-05,2.5057939529418946e-05,2.3884660720825193e-05,1.928627014160156e-05,3.148828887939453e-05,8.812448501586914e-06,-7.631156921386718e-05,-4.529253768920898e-05,-3.048816919326782e-07,1.4710955619812011e-05,1.6587163925170898e-05
sub-01,avocado_03s.jpg,2090.69,2090.688,-0.00018581504821777342,-2.221411895751953e-05,-3.4432586669921876e-05,-6.220027923583983e-05,2.232992935180664e-05,-3.106058359146118e-06,-8.61909008026123e-06,1.1856958389282226e-05,2.015631866455078e-05,1.5119749069213867e-05,2.365668487548828e-05,2.4124568939208982e-05,4.127470016479492e-05,3.6953495025634765e-05,3.2790527343749996e-05,4.4117057800292965e-05,5.665240097045898e-05,6.567828369140625e-05,3.9655563354492185e-05,5.260432815551758e-05,-7.545684814453124e-05,2.2101514816284177e-05,2.4214611053466797e-05,1.2355225563049315e-05,2.6774541854858398e-05,3.289578628540039e-05,1.501901626586914e-05,-8.40452480316162e-06,-1.542983055114746e-05,-1.0076738357543946e-05,-0.00014244314575195311,-0.00021312457275390623,-8.219072723388671e-05,-5.0555419921874995e-05,-2.463056945800781e-05,-7.206747436523438e-05,8.87251091003418e-06,-1.191642189025879e-05,9.998799324035644e-06,1.1825880050659179e-05,2.5555253982543945e-05,2.5398847579956053e-05,3.582010650634765e-05,4.069408416748047e-05,4.485005950927734e-05,4.743510818481445e-05,5.5195827484130854e-05,5.715182495117187e-05,5.976563262939453e-05,3.840185546875e-05,3.712449264526367e-05,2.3981201171875e-05,2.5616859436035156e-05,2.656970405578613e-05,1.985759162902832e-05,2.6605980470776558e-08,6.472221851348877e-06,1.690004348754883e-05,-1.2321006774902343e-05,-0.00011770098114013671,-5.4402755737304685e-05,-1.3840401649475097e-05,-1.5644256591796873e-05,-1.2664657831192016e-06
sub-01,avocado_04s.jpg,988.93,988.928,-0.0003558736877441406,-5.2807262420654296e-05,-7.94565658569336e-05,-5.827481079101562e-05,7.566723632812499e-05,-1.9012839794158935e-06,-9.525070190429687e-06,1.6933593749999998e-05,6.03748664855957e-05,9.485894775390624e-05,4.223489761352539e-05,3.020285415649414e-05,4.2159759521484376e-05,4.316145706176757e-05,5.647764205932617e-05,6.936112213134765e-05,6.972720336914062e-05,7.968099212646484e-05,4.953255844116211e-05,8.407168579101563e-05,0.00010995892333984375,5.2076942443847654e-05,3.48824348449707e-05,2.316359519958496e-05,4.0528182983398435e-05,7.799869537353516e-05,1.9991983413696287e-05,-1.7696824073791504e-06,-4.9410972595214845e-05,-2.7178327560424805e-05,-0.0002766373596191406,-0.0003063740234375,-0.00016073716735839842,-0.00011604045104980468,-5.8643783569335936e-05,-0.00010873851013183593,1.6374351501464843e-05,-2.0465003967285154e-05,1.0864247322082518e-05,3.829076766967773e-05,5.876192474365234e-05,2.7837249755859374e-05,4.123875045776367e-05,5.2313034057617185e-05,6.594889068603515e-05,5.649868774414062e-05,5.458174133300781e-05,6.706729125976563e-05,8.437584686279296e-05,6.628575134277343e-05,5.0834285736083985e-05,2.917728233337402e-05,3.725659942626953e-05,7.253063201904296e-05,3.876075744628906e-05,1.566040802001953e-05,2.624314129352569e-07,3.436221694946289e-05,-4.0739440917968746e-05,-0.00021282492065429685,-0.00011814296722412109,-4.328548812866211e-05,-9.311944961547851e-06,1.5796567916870116e-05
sub-01,banana_01b.jpg,1551.74,1551.74,-0.0003385780029296875,-4.9849994659423825e-05,-5.342897796630859e-05,2.645746040344238e-05,0.0001538078918457031,2.6379068374633788e-05,-6.9943251609802245e-06,2.048811149597168e-05,8.571833038330078e-05,0.00014220028686523438,4.17198257446289e-05,2.749340057373047e-05,3.7704933166503905e-05,3.632927322387695e-05,4.654250717163086e-05,8.264138031005859e-05,8.522245025634765e-05,0.00010144046783447265,1.5136489868164063e-05,0.00010454982757568359,0.0001704339141845703,-3.4632595062255855e-05,1.7279027938842773e-05,-1.0145200729370117e-05,4.39730339050293e-05,6.145161819458007e-05,-1.3994862556457519e-05,-8.339213371276855e-06,-6.382868576049804e-05,-5.3998756408691407e-05,-0.0003090522766113281,-0.00020931906127929687,-0.00014219308471679688,-0.00014349984741210937,-5.241798400878906e-05,-5.251700592041016e-05,7.417816925048828e-05,-1.0633420944213867e-06,2.1271259307861326e-05,3.619731140136719e-05,7.5014892578125e-05,3.0843814849853515e-05,3.96644401550293e-05,2.8961771011352537e-05,0.00012902923583984374,5.259385299682617e-05,6.000125885009765e-05,6.0743312835693356e-05,0.00013389628601074218,-4.2272365570068355e-05,2.9583976745605466e-05,3.4001853942871095e-05,-1.6150681972503662e-06,-6.689516448974609e-05,-1.5766605377197266e-05,1.1029075622558594e-05,-1.78946475982666e-05,4.786419868469238e-06,-6.336799240112305e-05,-0.00024095831298828123,-0.00013051022338867187,-5.123076248168945e-05,5.474132537841797e-06,2.0119207382202148e-05
sub-01,banana_02s.jpg,1322.62,1322.62,1.1304539680480957e-05,-2.4100353717803955e-06,-5.772645473480224e-07,5.0914940834045405e-06,5.249341487884521e-06,-2.693622827529907e-06,-3.297011613845825e-06,-3.771039247512817e-07,4.928070545196533e-06,2.731458854675293e-05,-2.767407178878784e-06,-8.249235153198243e-06,-4.231748580932617e-06,-3.981422662734985e-06,1.90720157623291e-05,3.5590436458587643e-06,5.504629135131836e-06,4.243089199066162e-06,-5.608704090118408e-06,3.355962991714477e-06,1.716105842590332e-05,-5.447848796844482e-06,-1.0905006408691406e-05,-8.003552436828612e-06,1.1812121391296386e-05,1.3246769905090332e-05,8.748185038566589e-07,-1.0020449638366698e-05,-5.33763837814331e-06,7.84933042526245e-06,1.3067057609558105e-05,4.668483257293701e-06,3.197190284729004e-06,-3.0379754304885865e-07,-6.897733211517333e-06,5.522881507873535e-06,5.850609302520752e-06,-1.9851062297821044e-06,-5.759568214416504e-06,-2.7707504272460937e-05,1.520721435546875e-06,-3.008026361465454e-06,-4.803200721740722e-06,-4.347903728485107e-06,6.951179504394531e-07,-6.054903268814086e-07,3.1958067417144775e-06,2.7432029247283936e-06,-6.808488845825195e-06,-7.8779559135437e-06,-1.1558533668518067e-05,-4.167011737823486e-06,-6.6293287277221675e-06,4.861518383026123e-06,-2.8955707550048825e-06,-1.714284324645996e-05,-7.798433303833007e-06,4.4361186027526854e-06,2.9325566291809082e-06,5.111716747283935e-06,1.1631948471069336e-05,-5.579073905944824e-06,-5.105762481689453e-06,-5.1128392219543455e-06
