subject,stimname,time_stimon,time_eeg,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,alpaca_01b.jpg,1945.97,1945.968,-0.00016512637329101562,-1.9442611694335935e-05,-2.5636640548706053e-05,-5.727775573730469e-05,1.1050742864608765e-06,-6.239809989929199e-06,4.44633150100708e-06,1.2044095993041991e-05,7.797353267669678e-06,5.748199462890625e-05,1.825094985961914e-05,2.7821573257446287e-05,3.4130298614501955e-05,2.89997444152832e-05,2.7586172103881835e-05,2.3315149307250977e-05,3.175123786926269e-05,3.0042610168457028e-05,3.1319740295410154e-05,3.7334857940673825e-05,7.939437866210937e-06,2.251395797729492e-05,2.5564741134643552e-05,1.829678726196289e-05,1.929750633239746e-05,7.372049808502197e-06,1.6927419900894164e-06,7.430776596069336e-06,-1.9105484008789063e-05,-2.5681949615478513e-05,-0.0001420312957763672,-0.0001601010284423828,-7.336911010742187e-05,-5.579517364501953e-05,-1.62918586730957e-05,-6.139849090576172e-05,-1.3682515621185301e-06,4.1414493322372435e-07,1.5764456748962403e-05,2.1444667816162108e-05,1.9555233001708983e-05,2.0940113067626953e-05,3.133688354492187e-05,2.4277278900146482e-05,2.9326065063476562e-05,3.6965515136718746e-05,4.0164970397949215e-05,3.83843879699707e-05,3.485014343261718e-05,3.562709045410156e-05,4.422744369506836e-05,3.0792322158813474e-05,2.690390968322754e-05,3.582004165649414e-05,1.6753660202026366e-05,1.894309425354004e-05,6.860846042633057e-06,2.3587875366210935e-06,-2.292711067199707e-05,-0.00010747772979736328,-6.722638702392578e-05,-1.2621981620788574e-05,6.0889277458190915e-06,1.77818603515625e-05
sub-01,alpaca_02s.jpg,518.13,518.128,-0.00011320633697509765,-1.5113320350646972e-05,-1.3801032066345214e-05,-1.9394878387451172e-05,9.450721740722655e-06,4.5744466781616206e-06,-1.313520312309265e-06,3.0148358345031737e-06,2.0493608474731445e-05,1.5866074562072754e-05,6.455060958862304e-06,9.038040161132812e-06,1.1404858589172362e-05,5.958777904510498e-06,1.4305670738220214e-05,1.2058403015136719e-05,1.7011777877807615e-05,2.3276086807250975e-05,6.504531383514404e-06,3.182194328308105e-05,1.1197668075561523e-05,2.1342378616333008e-05,9.842070579528809e-06,1.208118438720703e-05,2.3432464599609373e-05,1.4848126411437988e-05,6.797039031982422e-06,3.9972295761108395e-06,-2.3365598678588865e-05,-9.689305305480956e-06,-8.234561920166016e-05,-8.695258331298827e-05,-3.7492706298828125e-05,-3.708176803588867e-05,-1.4222902297973632e-05,-1.077902889251709e-05,3.1052310466766354e-06,-4.226224422454834e-06,1.0871931076049804e-05,4.041244029998779e-06,1.7524297714233397e-05,6.2677741050720214e-06,9.325098037719727e-06,1.081690788269043e-05,1.4843994140624999e-05,1.2467139244079589e-05,1.5551042556762694e-05,1.004853057861328e-05,2.8500270843505858e-05,2.17928409576416e-05,1.4700940132141112e-05,1.3327978134155274e-05,1.5742249488830565e-05,2.8826339721679686e-05,2.093468475341797e-05,5.1095089912414544e-06,3.1372787952423093e-06,1.1969356536865234e-05,-7.478930950164795e-06,-5.9915283203125e-05,-4.213408279418945e-05,-1.4626299858093261e-05,7.360621929168701e-06,1.2100357055664062e-05
sub-01,alpaca_03s.jpg,3054.67,3035.736,-8.541361236572265e-05,3.622068166732788e-06,-3.991028213500976e-05,-9.645030212402343e-05,-5.51901741027832e-05,-3.297243499755859e-05,2.6648333072662353e-06,-5.987292289733887e-06,-3.5257831573486325e-05,-2.8324258804321288e-05,-3.025534868240356e-06,3.1641318798065186e-06,4.978862762451171e-06,4.325133800506592e-06,-8.172114372253417e-06,1.7457197189331055e-05,1.5558326721191404e-05,2.4964231491088865e-05,7.68190622329712e-06,1.2344910621643065e-05,6.703269958496093e-05,9.786111831665038e-06,6.186403751373291e-06,1.8233821868896483e-05,4.2939750671386715e-05,5.800972366333007e-05,4.5190803527832026e-05,1.830043029785156e-05,2.3244205474853515e-05,8.62840347290039e-05,-2.406117820739746e-05,-0.00014413720703125,-5.310177993774414e-05,-1.5573004722595214e-05,-1.5828164100646972e-05,-7.89723892211914e-05,-5.279733276367187e-05,-2.157614517211914e-05,2.9375121593475342e-06,6.098201274871826e-06,-9.32226848602295e-06,-1.431599736213684e-06,4.630757808685302e-06,7.248564720153808e-06,1.5300688743591309e-06,5.788122653961181e-06,4.819783687591552e-06,1.1619771003723144e-05,4.213642501831054e-05,-6.866456985473632e-06,3.3361363410949707e-06,6.998325824737549e-06,9.392960548400879e-06,-9.209070205688476e-06,1.779714012145996e-05,8.741217613220214e-06,2.2731327056884765e-05,5.532818603515625e-05,4.763934707641601e-05,5.635645294189453e-05,1.0913972854614257e-05,1.271835422515869e-05,5.610395431518554e-06,7.22886848449707e-06
sub-01,alpaca_04s.jpg,585.82,585.82,0.0004555960998535156,3.8604354858398435e-05,7.448712158203125e-05,0.0001107073745727539,-5.993050003051757e-05,-7.465647220611572e-06,-2.9361944198608397e-06,-2.4156223297119138e-05,-4.234800338745117e-05,-9.64344253540039e-05,-3.258536148071289e-05,-3.2398700714111325e-05,-4.2656757354736325e-05,-4.245172119140625e-05,-5.280519104003906e-05,-9.675654602050781e-05,-8.337956237792968e-05,-8.76600112915039e-05,-5.9591461181640625e-05,-6.210850524902343e-05,-0.00012797452545166015,-7.336485290527344e-05,-4.063578414916992e-05,-4.656138610839844e-05,-6.642401885986328e-05,-0.00010942155456542968,-4.460490036010742e-05,-1.5941681861877442e-05,3.089553451538086e-05,-2.49506139755249e-06,0.00040124536132812497,0.00038054174804687496,0.00018649755859375,0.00013973301696777344,5.330014038085937e-05,0.00013603794860839844,-4.0428024291992185e-05,4.976935386657714e-06,-2.2253379821777344e-05,-2.0443071365356445e-05,-2.895648384094238e-05,-3.111765670776367e-05,-3.993973922729492e-05,-4.56445198059082e-05,-6.0337646484375e-05,-5.079193496704101e-05,-5.8933963775634765e-05,-6.636811065673827e-05,-6.963365936279296e-05,-8.704884338378906e-05,-5.400177764892578e-05,-3.86916618347168e-05,-5.479561996459961e-05,-7.687833404541015e-05,-8.509542083740235e-05,-2.7326541900634763e-05,-2.738529586791992e-05,-6.934059143066406e-05,2.0838533401489257e-05,0.00025663299560546875,0.00013031167602539062,2.8130977630615232e-05,-1.0624273300170898e-05,-2.940876007080078e-05
sub-01,cat_01b.jpg,605.83,605.832,8.588617324829101e-06,-2.8549373149871826e-06,1.2324012756347656e-05,5.295324802398681e-06,9.70997905731201e-06,4.324153900146484e-06,-1.3820179939270018e-05,-8.107388496398926e-06,9.746061325073242e-06,3.370455741882324e-06,4.591858386993408e-06,-4.45308780670166e-06,-7.453359365463257e-07,4.029603004455566e-06,-1.3647151947021483e-05,1.8139448165893553e-05,1.0171780586242675e-05,9.735052108764648e-06,8.078576624393463e-08,1.5864205360412597e-05,-1.7403514862060547e-05,-7.551984310150146e-06,-3.7983310222625732e-06,-8.178319931030273e-06,-2.0448760986328126e-05,6.503934383392333e-06,7.150398254394531e-06,-1.1561821937561034e-05,2.820486545562744e-06,5.439113140106201e-06,-4.63460111618042e-06,5.268162250518798e-06,-5.232653141021728e-06,4.7322034835815426e-06,-7.170891284942627e-06,-6.900655627250671e-07,6.33409309387207e-06,-2.2009317398071288e-05,-8.806764602661133e-06,-4.102787971496582e-06,2.7630029678344724e-05,1.398702025413513e-06,-9.215204715728759e-07,5.405050277709961e-06,2.051953125e-05,8.856706619262695e-06,4.3200292587280275e-06,9.825699806213378e-06,1.0608453750610352e-05,-5.350269794464111e-06,-7.871243476867675e-06,-6.35841703414917e-06,-4.230531692504882e-06,-1.563063907623291e-05,3.655280545353889e-08,-9.54077434539795e-06,-9.72167682647705e-06,1.1927079200744629e-05,2.104161024093628e-06,-9.352501630783081e-07,-1.2476871013641357e-06,-8.044461250305175e-06,-1.463307762145996e-05,-7.145237922668456e-06
sub-01,cat_02s.jpg,2875.36,2875.36,0.0004172581787109375,5.4091529846191405e-05,7.325576019287108e-05,4.690851974487305e-05,-8.920374298095702e-05,-1.094441795349121e-05,4.4974904060363765e-06,-2.7709810256958006e-05,-7.168135833740235e-05,-4.5237091064453125e-05,-5.265751266479492e-05,-3.2064456939697265e-05,-5.122732925415039e-05,-4.6783554077148436e-05,-7.389494323730469e-05,-6.849649047851562e-05,-6.848133850097655e-05,-6.778471374511718e-05,-4.5565608978271485e-05,-5.7961128234863276e-05,-0.00011900814056396484,-5.052302551269531e-05,-3.5107341766357424e-05,-2.523000144958496e-05,-4.830079650878906e-05,-7.39439697265625e-05,-1.586665153503418e-05,4.279655933380126e-06,4.782361221313476e-05,3.262421035766602e-05,0.0002960576477050781,0.00032157281494140624,0.0001744983673095703,0.00013331536865234374,6.406040954589844e-05,0.00010122868347167968,-3.2946937561035155e-05,7.250772953033447e-06,-2.1571550369262694e-05,-5.094145584106445e-05,-6.777268981933593e-05,-4.113919448852539e-05,-4.471788024902344e-05,-5.364827728271484e-05,-7.29302520751953e-05,-5.88431396484375e-05,-5.715089035034179e-05,-5.123989486694336e-05,-6.381533432006836e-05,-5.85423583984375e-05,-4.9774024963378906e-05,-3.784080123901367e-05,-4.230239868164062e-05,-6.865867614746093e-05,-4.457784652709961e-05,-2.293500328063965e-05,-4.637186050415039e-06,-3.075018882751465e-05,3.712936782836914e-05,0.00020553633117675782,0.00011490220642089843,4.073600387573242e-05,-5.760524272918701e-07,-2.205445861816406e-05
sub-01,cat_03s.jpg,2821.53,2821.532,-3.8763629913330076e-05,1.0657571554183959e-06,-7.991272449493408e-06,-1.6351274490356446e-05,-1.292079210281372e-06,-2.3227405548095702e-05,1.6517887115478514e-06,1.0154216766357422e-05,5.968885421752929e-06,-6.711734294891357e-06,1.1499923706054687e-05,1.0874504089355469e-05,8.58366870880127e-06,1.991842460632324e-05,-5.292952537536621e-06,9.297975540161133e-06,2.8692245483398437e-06,3.876915693283081e-06,2.0353355407714845e-05,-8.487585067749023e-06,-1.610751724243164e-05,1.362671947479248e-05,6.842607498168945e-06,3.253734827041626e-06,3.4169218540191647e-06,5.694091796875e-06,7.688698768615722e-07,-2.1500763893127442e-06,-9.088645935058593e-06,-8.38837718963623e-06,-3.2911891937255855e-05,-3.770873260498047e-05,-2.1462404251098632e-05,-8.42551612854004e-06,-7.66173219680786e-06,-2.1898136138916016e-06,-8.169078826904296e-06,7.468833446502685e-06,2.3869194984436036e-06,4.032941162586212e-07,-5.8886289596557614e-06,1.0505006790161132e-05,1.5226897239685057e-05,2.6745765686035154e-05,-1.158456039428711e-05,1.909568405151367e-05,1.0992789268493651e-05,1.4051295280456543e-05,2.1555337905883786e-06,1.8733211517333984e-05,1.7866268157958984e-05,8.263788223266602e-06,1.3217262268066406e-05,-1.7782708406448363e-06,1.7131494522094724e-05,2.6991705894470215e-06,3.84431928396225e-07,8.240540504455565e-06,-3.6583802103996277e-07,-2.6586946487426756e-05,-1.3849974632263183e-05,-4.277727127075195e-06,-7.798707008361816e-06,-7.810087800025939e-07
sub-01,cat_04s.jpg,1540.84,1540.84,-0.00024183518981933593,-4.557375717163086e-05,-3.558192825317383e-05,5.442177772521973e-06,8.263046264648437e-05,1.8388719558715818e-05,3.876934289932251e-06,1.8434650421142577e-05,4.4010116577148434e-05,7.290264129638671e-05,3.45947265625e-05,1.476943302154541e-05,5.370021820068359e-06,2.1922098159790037e-05,4.8826507568359375e-05,4.1799560546875e-05,4.363027954101562e-05,4.6355785369873043e-05,2.639215850830078e-05,6.246970367431641e-05,7.473588562011718e-05,1.965343475341797e-05,1.1179032325744628e-05,5.14187479019165e-06,3.475373458862305e-05,7.196006774902343e-05,1.2881346702575683e-05,-1.0677720069885254e-05,-3.908975219726562e-05,-2.1518014907836914e-05,-0.0002319123077392578,-0.00015552313232421874,-9.720035552978515e-05,-9.519051361083984e-05,-2.487619590759277e-05,-4.1427146911621094e-05,4.185673141479492e-05,4.063714504241943e-06,1.0955221176147461e-05,2.802686309814453e-05,3.571889877319336e-05,2.2536985397338866e-05,1.3236522674560547e-05,3.7530399322509766e-05,5.0981777191162106e-05,2.3139251708984375e-05,2.3204376220703124e-05,2.967066764831543e-05,5.318169021606445e-05,2.768609809875488e-05,1.308852195739746e-05,1.1159136772155761e-05,1.6279706954956053e-05,3.668772125244141e-05,2.4840101242065427e-05,5.04514217376709e-06,-6.116154670715332e-06,2.9414278030395507e-05,-3.206151962280273e-05,-0.00017424888610839844,-8.407562255859374e-05,-3.6992557525634764e-05,1.2062113285064696e-06,1.2268454551696777e-05
sub-01,cheetah_01b.jpg,1504.74,1504.74,-8.222761535644531e-05,-2.41985969543457e-05,-3.0259813308715818e-05,-1.990106964111328e-05,2.635917282104492e-05,-3.5746941566467285e-06,-1.7097700119018555e-05,-6.8474955558776855e-06,2.3513166427612302e-05,3.789606475830078e-05,7.343466758728027e-06,-1.094440460205078e-05,2.0044114589691163e-06,7.958793640136718e-06,2.2899499893188474e-05,3.725601577758789e-05,4.235868072509765e-05,3.801409149169922e-05,1.547274589538574e-05,3.508064270019531e-05,3.430165863037109e-05,2.3680727005004883e-05,-6.337419152259826e-07,3.656066656112671e-06,3.168320465087891e-05,2.8347646713256835e-05,8.56175136566162e-06,-1.074148654937744e-05,-1.6266952514648437e-05,1.4916404485702514e-06,-6.646892547607422e-05,-8.050450897216796e-05,-5.440056228637695e-05,-3.1786417007446285e-05,-3.124920845031738e-05,-3.6067714691162105e-05,9.181011915206909e-07,-1.0388873100280762e-05,-1.5349790573120116e-05,1.171913433074951e-05,1.5112242698669433e-05,-4.878562927246094e-06,-2.151832580566406e-06,1.997232627868652e-05,2.4697195053100585e-05,1.586348247528076e-05,2.040228271484375e-05,2.8661491394042968e-05,4.823200988769531e-05,2.528455543518066e-05,4.543082237243652e-06,-7.092901229858398e-06,7.954860210418701e-06,3.256428527832031e-05,7.883732318878173e-06,-8.857721328735351e-06,-2.126521825790405e-06,1.655961227416992e-05,-1.602128219604492e-05,-4.906257629394531e-05,-2.501505661010742e-05,-2.012040328979492e-05,-1.627926445007324e-05,-7.737633705139159e-06
sub-01,cheetah_02s.jpg,3007.83,3007.828,0.000212692626953125,2.0148181915283202e-05,4.9857151031494135e-05,2.154579734802246e-05,-3.820360946655273e-05,-1.460104465484619e-06,-5.723396301269531e-06,-1.5915427207946776e-05,-2.570952606201172e-05,-3.1945007324218746e-05,-1.8081022262573243e-05,-1.9895198822021484e-05,-2.870787239074707e-05,-1.661744689941406e-05,-1.758113098144531e-05,-3.033634567260742e-05,-2.0097341537475585e-05,-1.3078016281127929e-05,-2.5537563323974608e-05,-4.5637260437011716e-05,-1.5193445682525633e-06,-2.525797080993652e-05,-2.329690170288086e-05,-2.2609218597412107e-05,-4.259111785888672e-05,-3.711555862426758e-05,-1.177000331878662e-05,-6.7824587821960446e-06,1.4729986190795897e-05,1.2873389244079589e-05,0.00014471908569335936,0.0001561190948486328,8.182508087158202e-05,6.743549346923828e-05,2.4534849166870117e-05,4.245155334472656e-05,-1.2906532287597655e-05,-2.4052999019622803e-06,-1.9178377151489257e-05,-1.867068290710449e-05,-2.9027084350585936e-05,-1.6426490783691405e-05,-2.027613067626953e-05,-1.2864530563354492e-05,-2.926363372802734e-05,-2.122920227050781e-05,-2.1948266983032227e-05,-2.255296516418457e-05,-2.6310733795166015e-05,-3.0302026748657226e-05,-2.4097728729248047e-05,-2.459665870666504e-05,-2.7370418548583982e-05,-3.979135131835937e-05,-2.1000457763671873e-05,-2.1095714569091795e-05,-1.1939974784851074e-05,-1.88600959777832e-05,1.3545785903930663e-05,0.00010570448303222655,5.315267562866211e-05,1.1111681938171385e-05,-1.3171782493591308e-05,-2.1696855545043945e-05
