,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,0.9999999999999998,0.10359249090802605,-0.07039126653992665,0.008549588926887147,0.79228243936692,0.4029869623601787,0.2210805084576184,0.13011047237489395,0.7440049799680646,0.46277118348931157,0.2874082283173824,0.1537856857582832,0.7361536397517559,0.4873223355152875,0.003882096927617272,0.10085224638794583,0.4373921399394375,0.21056137144358483,0.07039126653992667,0.2820114568747353,-0.24633841069379397,-0.04015668456257904,0.003882096927617264
F7-T7,0.10359249090802605,1.0,0.13869975137959992,0.005079312931204177,0.4910568250132037,0.41955146878708494,0.19555283404939852,0.13556752212796497,0.3843121084568753,0.21713772665049655,0.09004933242406508,0.06965469561749657,0.42242181029362313,0.1373331528145755,0.09182675977835315,-0.04368666277576883,0.30949244483181276,0.21124567853613885,-0.1386997513795999,-0.5990869348946141,0.3955629465036664,-0.09984979070187378,0.09182675977835311
T7-P7,-0.07039126653992667,0.13869975137959992,1.0,0.14931432755696378,0.11845819843282122,0.3082184453620513,0.3386791716926256,0.29180182781081665,0.10253968545721116,0.1616032036014878,0.166814463788919,0.16957591752198387,0.07464144198927651,0.06339876743177285,0.3266457443216322,0.05125565433901446,0.22498472726400723,0.2720336010683818,-0.9999999999999999,0.10019521646052046,0.2610736485984917,-0.060052169864451097,0.32664574432163224
P7-O1,0.008549588926887147,0.005079312931204177,0.14931432755696378,1.0,0.013312897336158902,0.06370561254830227,0.3838555153047154,0.5800963717648538,0.04423018243253661,0.1589992932818287,0.20323799357724995,0.4884254125509105,0.06118066896962606,0.07820285769606108,0.19267748765899798,0.37568500859667064,0.21088237299322185,0.32216284821099817,-0.1493143275569638,0.0073430019157483244,0.17571506154033836,0.003996848187740056,0.19267748765899795
FP1-F3,0.79228243936692,0.49105682501320363,0.11845819843282122,0.013312897336158902,0.9999999999999998,0.30262658175238716,0.021996018170730516,0.05272441796147477,0.8316138535308291,0.36201064519332293,0.12882114938309572,0.06673814733659873,0.7406646120567237,0.4049518712459335,0.0749323809888192,0.05019849364652579,0.3963477322048842,0.12618969938826635,-0.11845819843282122,-0.02861465209717479,0.036380139751727915,-0.0756671866669218,0.0749323809888192
F3-C3,0.4029869623601787,0.419551468787085,0.3082184453620513,0.06370561254830229,0.30262658175238716,1.0,0.39336278721468193,-0.004858259178212817,0.35733649118887967,0.5268877116964121,0.4349654268017755,0.09363796747143943,0.462946233093527,0.2201751924237673,0.15978215304196625,0.17140652364781706,0.6488571138876469,0.4174395841930505,-0.3082184453620513,0.03865727770426292,0.04653472138923588,-0.11286525747554106,0.15978215304196625
C3-P3,0.22108050845761837,0.1955528340493985,0.33867917169262557,0.3838555153047154,0.021996018170730516,0.39336278721468193,1.0,0.36458988156143207,0.11083887318053144,0.3422554770623015,0.48445701541100467,0.3414686225599398,0.24963788682399835,0.2017409286270257,0.17950531299968087,0.18002571233161285,0.3453183761970572,0.6539082998817061,-0.3386791716926255,-0.04063476093526778,0.11362169593951317,-0.017140449143015976,0.17950531299968087
P3-O1,0.13011047237489395,0.13556752212796497,0.29180182781081665,0.5800963717648538,0.05272441796147477,-0.004858259178212817,0.364589881561432,1.0,0.09490756403677908,0.1301695307349031,0.09766489749883518,0.5952346140234003,0.16256354391908248,0.22611226043124127,0.14016777871264113,0.0912121835996466,0.08406155384514023,0.178346260785444,-0.29180182781081665,-0.010144156863312302,0.13306646829348334,0.0038876999805377024,0.14016777871264116
FP2-F4,0.7440049799680647,0.3843121084568753,0.10253968545721118,0.04423018243253662,0.8316138535308291,0.3573364911888797,0.11083887318053144,0.09490756403677907,0.9999999999999999,0.31878063193309714,0.10074787000611819,0.04619449740597878,0.7830935450846324,0.5178017775678442,0.14300270578520846,0.02704214153186638,0.4004978383301332,0.13937011509513722,-0.10253968545721119,0.03904761531394338,-0.06907353439108566,0.026516333877708367,0.14300270578520846
F4-C4,0.4627711834893116,0.21713772665049652,0.1616032036014878,0.15899929328182874,0.36201064519332293,0.5268877116964122,0.3422554770623015,0.1301695307349031,0.3187806319330972,1.0,0.3488280177004056,0.0724082141639076,0.3276726876814143,0.5552534094435329,0.31041267114807786,0.10356853487493611,0.7179608302551465,0.32938086580951464,-0.16160320360148775,0.03924412373784995,-0.16444634077854686,0.1806782645077939,0.31041267114807786
C4-P4,0.2874082283173824,0.09004933242406508,0.166814463788919,0.20323799357724995,0.12882114938309572,0.43496542680177547,0.48445701541100467,0.09766489749883517,0.10074787000611819,0.34882801770040556,1.0,0.3213326765756747,0.18164714137651247,0.24262569906759926,0.3441329223183071,0.4455182916861696,0.3358546869218933,0.6846016173815211,-0.16681446378891904,0.16452713072022696,-0.28933800932698556,0.063159290603761,0.3441329223183071
