,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,0.9999999999999999,0.041516259688944616,0.007686464269412784,0.0015746029995750887,0.24546061720461337,0.09146952708294762,0.08329211211334107,0.014269730737318626,0.22959163426381846,0.04519239116110332,0.03712004372824552,0.012726181910149343,0.37888689367267525,0.08252678984503277,0.0061835245473196715,0.003271867892972259,0.05448296038843826,0.016187592409897825,0.007686464269412784,0.07163789434701201,0.07399751294024391,0.0013444342344918687,0.0061835245473196715
F7-T7,0.041516259688944616,0.9999999999999999,0.01084575059775493,0.006272890269679894,0.1541066931169394,0.04555067651900395,0.012692891487703866,0.0019374337140950946,0.035475856584667564,0.008885624645815387,0.005651487971100904,0.0045714794087925,0.0250497483803951,0.006754722074227896,0.026270188652573166,0.004911994519196814,0.026035610134825846,0.015385651507685914,0.010845750597754932,0.6402308511779773,0.06389157862461035,0.003664831971957201,0.026270188652573166
T7-P7,0.007686464269412784,0.01084575059775493,0.9999999999999999,0.030828732445925624,0.024040194318083043,0.051738632806611444,0.12626191724273858,0.09441154288880195,0.014721066921631066,0.013450942463240636,0.04158071210874303,0.055308332998742854,0.004511556294831363,0.005907012634771499,0.08802435482757448,0.0577943631124243,0.025706745421687886,0.08349391592177274,0.9999999999999999,0.02384918061612775,0.026370826377872282,0.006159228402482773,0.08802435482757448
P7-O1,0.0015746029995750887,0.006272890269679893,0.030828732445925624,1.0,0.002722799065309444,0.008266631296281938,0.15188566000900103,0.37229618326339636,0.0032678709548703277,0.017125757395868097,0.10404867890235986,0.23160768362170633,0.005097883234815375,0.005642125214401366,0.06854308735784809,0.23273856167774862,0.01558457162658123,0.12895667362238045,0.030828732445925624,0.006817100722701053,0.015742390293583576,0.0038136030064812145,0.06854308735784809
FP1-F3,0.24546061720461337,0.15410669311693936,0.024040194318083043,0.002722799065309444,1.0,0.07448571517285904,0.06910294811124561,0.012951762766798085,0.45935578038987707,0.03146493419463931,0.013188718645553703,0.0027201930425759303,0.2019197275667725,0.03379616100453247,0.02960325826841548,0.0019973963800702186,0.033939667696297776,0.010629241595898202,0.024040194318083043,0.06860226067658592,0.009531955092268628,0.0028443524416637837,0.02960325826841548
F3-C3,0.09146952708294759,0.045550676519003956,0.051738632806611444,0.008266631296281938,0.07448571517285904,0.9999999999999999,0.13546720202328394,0.015509638240431558,0.03388795067860609,0.17577029266866248,0.10925954539672458,0.010675062766155412,0.06335897024835985,0.029258293695663715,0.016409888377313473,0.030437862345968802,0.35257174337410685,0.13007947877549633,0.05173863280661144,0.015081259826122571,0.0010479938165792208,0.005456665898013346,0.016409888377313473
C3-P3,0.08329211211334107,0.012692891487703866,0.12626191724273855,0.15188566000900103,0.06910294811124561,0.13546720202328394,0.9999999999999999,0.09139878686760781,0.009556997457899737,0.05925183428972524,0.2692527330465513,0.13192257375543356,0.04322175633607597,0.018358940365605553,0.02955096821188743,0.13541445193694804,0.05430497395377039,0.4378394209463837,0.12626191724273855,0.025412750303990008,0.006065959233544366,0.0013866423920627197,0.02955096821188743
P3-O1,0.014269730737318626,0.0019374337140950946,0.09441154288880195,0.37229618326339636,0.012951762766798085,0.015509638240431558,0.09139878686760781,1.0,0.004919470337033274,0.0020492679483855667,0.04464118209988163,0.30870641537563226,0.017180160378345785,0.008953045811477607,0.015114010822129353,0.08287163514424091,0.022889361864611858,0.03306776319890317,0.09441154288880195,0.018788674180753872,0.003807334470087405,0.0022713614379756136,0.015114010822129353
FP2-F4,0.22959163426381843,0.03547585658466757,0.014721066921631065,0.0032678709548703277,0.45935578038987707,0.03388795067860609,0.009556997457899737,0.004919470337033274,1.0,0.06395517927736451,0.039676999475239144,0.0117558735052825,0.3684602746036996,0.0806671352163843,0.039564084202814605,0.002278799472836676,0.036033457799726804,0.006067225239119445,0.014721066921631066,0.008502849281097872,0.0011571607699003912,0.02506703345312409,0.039564084202814605
F4-C4,0.04519239116110332,0.008885624645815389,0.013450942463240636,0.017125757395868097,0.031464934194639305,0.17577029266866248,0.05925183428972524,0.0020492679483855667,0.06395517927736451,0.9999999999999999,0.06305300586295669,0.0250791641117505,0.04231495795110501,0.15803208342015249,0.05780483401566247,0.005160729948990286,0.33163233782412593,0.0718987087184169,0.013450942463240634,0.0022753524967627416,0.004904064303725615,0.08490133243757397,0.05780483401566247
C4-P4,0.03712004372824552,0.005651487971100903,0.04158071210874303,0.10404867890235985,0.013188718645553703,0.10925954539672458,0.26925273304655123,0.04464118209988163,0.039676999475239144,0.06305300586295667,0.9999999999999999,0.14630571783876292,0.030949768105020856,0.046778542968811475,0.1140577378372233,0.1501197562253038,0.08564392680256147,0.43776194275262886,0.04158071210874303,0.0036899405952102392,0.010823414649484003,0.006897106077563508,0.1140577378372233
P4-O2,0.012726181910149343,0.0045714794087925,0.055308332998742854,0.23160768362170628,0.0027201930425759303,0.010675062766155412,0.13192257375543356,0.30870641537563226,0.0117558735052825,0.0250791641117505,0.14630571783876292,0.9999999999999999,0.007523865747543485,0.003510223994509142,0.03281995364746111,0.5204767743603933,0.007343131760715143,0.1300167510730887,0.055308332998742854,0.0031244285246648028,0.01119382636316087,0.01324270575480726,0.03281995364746111
FP2-F8,0.37888689367267525,0.0250497483803951,0.004511556294831364,0.005097883234815375,0.20191972756677246,0.06335897024835985,0.04322175633607597,0.017180160378345785,0.3684602746036996,0.04231495795110501,0.030949768105020856,0.007523865747543485,0.9999999999999999,0.014368935155063477,0.03943971881038291,0.0012364076756891012,0.04781352824526859,0.01612128641945718,0.004511556294831362,0.009163218041242212,0.055224383497259645,0.003974197925235812,0.03943971881038291
F8-T8,0.08252678984503277,0.006754722074227896,0.005907012634771499,0.005642125214401366,0.03379616100453247,0.029258293695663715,0.018358940365605557,0.008953045811477607,0.0806671352163843,0.15803208342015249,0.04677854296881146,0.003510223994509143,0.014368935155063477,1.0,0.009773070915336331,0.017069087988009105,0.055675135847951814,0.03235566803589616,0.0059070126347715,0.0023109610595654067,0.04647550520105748,0.456434167010444,0.009773070915336331
T8-P8-0,0.006183524547319672,0.02627018865257316,0.08802435482757448,0.0685430873578481,0.02960325826841548,0.016409888377313473,0.029550968211887428,0.015114010822129353,0.039564084202814605,0.05780483401566247,0.1140577378372233,0.032819953647461125,0.03943971881038291,0.009773070915336331,0.9999999999999997,0.02110392766038082,0.03294299025477246,0.09000987283192584,0.0880243548275745,0.03170475124331352,0.055289861747032785,0.019194237509354325,0.9999999999999997
P8-O2,0.003271867892972259,0.004911994519196815,0.0577943631124243,0.23273856167774862,0.0019973963800702186,0.030437862345968802,0.13541445193694804,0.08287163514424091,0.002278799472836676,0.005160729948990288,0.1501197562253038,0.5204767743603934,0.0012364076756891012,0.017069087988009102,0.02110392766038082,0.9999999999999999,0.03033420420888847,0.17117658844532693,0.0577943631124243,0.008535388321860073,0.027466706520858333,0.014548769639378213,0.02110392766038082
FZ-CZ,0.05448296038843826,0.02603561013482585,0.025706745421687886,0.01558457162658123,0.033939667696297776,0.35257174337410685,0.05430497395377039,0.022889361864611858,0.0360334577997268,0.33163233782412593,0.08564392680256147,0.007343131760715143,0.04781352824526859,0.055675135847951814,0.03294299025477246,0.03033420420888847,0.9999999999999999,0.01962154459826336,0.025706745421687886,0.011741108101582255,0.002131598230471296,0.019035797807757587,0.03294299025477246
