,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,1.0,0.10359249090802605,-0.07039126653992644,0.008549588926887123,0.7922824393669208,0.40298696236018,0.22108050845761923,0.1301104723748937,0.7440049799680625,0.46277118348931184,0.28740822831738155,0.15378568575828294,0.7361536397517583,0.4873223355152864,0.0038820969276174965,0.10085224638794565,0.4373921399394353,0.21056137144358597,0.07039126653992646,0.28201145687473544,-0.24633841069379295,-0.04015668456257904,0.0038820969276174965
F7-T7,0.10359249090802605,1.0,0.1386997513795999,0.005079312931204184,0.49105682501320186,0.41955146878708527,0.1955528340493987,0.13556752212796505,0.3843121084568745,0.21713772665049674,0.09004933242406528,0.06965469561749656,0.4224218102936223,0.13733315281457595,0.09182675977835335,-0.04368666277576888,0.30949244483181243,0.211245678536139,-0.13869975137959986,-0.599086934894616,0.39556294650366625,-0.09984979070187427,0.09182675977835335
T7-P7,-0.07039126653992644,0.1386997513795999,1.0,0.14931432755696322,0.11845819843282115,0.30821844536205134,0.3386791716926269,0.29180182781081715,0.1025396854572108,0.1616032036014875,0.16681446378891884,0.16957591752198395,0.07464144198927629,0.06339876743177271,0.3266457443216326,0.051255654339014384,0.2249847272640065,0.272033601068381,-1.0,0.10019521646052042,0.26107364859849147,-0.06005216986445094,0.3266457443216326
P7-O1,0.008549588926887123,0.005079312931204185,0.1493143275569632,1.0,0.013312897336158865,0.06370561254830252,0.3838555153047146,0.5800963717648522,0.04423018243253646,0.1589992932818284,0.20323799357725014,0.48842541255090927,0.061180668969626144,0.07820285769606104,0.19267748765899823,0.37568500859667026,0.21088237299322116,0.3221628482109975,-0.1493143275569632,0.0073430019157483175,0.17571506154033817,0.003996848187740022,0.19267748765899823
FP1-F3,0.7922824393669208,0.49105682501320186,0.11845819843282114,0.013312897336158865,1.0,0.3026265817523878,0.02199601817073038,0.05272441796147475,0.8316138535308274,0.362010645193322,0.1288211493830951,0.06673814733659872,0.7406646120567192,0.40495187124593385,0.07493238098881905,0.05019849364652568,0.39634773220488206,0.12618969938826557,-0.11845819843282117,-0.02861465209717481,0.036380139751727894,-0.07566718666692197,0.07493238098881905
F3-C3,0.40298696236018006,0.41955146878708527,0.30821844536205134,0.06370561254830252,0.3026265817523878,1.0,0.39336278721468304,-0.004858259178212816,0.35733649118887917,0.5268877116964148,0.4349654268017772,0.09363796747143992,0.46294623309352484,0.22017519242376785,0.15978215304196686,0.1714065236478171,0.6488571138876456,0.4174395841930508,-0.30821844536205134,0.03865727770426304,0.04653472138923582,-0.11286525747554156,0.15978215304196686
C3-P3,0.2210805084576192,0.1955528340493987,0.3386791716926269,0.3838555153047146,0.021996018170730384,0.3933627872146831,1.0,0.3645898815614329,0.11083887318053139,0.3422554770623027,0.4844570154110036,0.34146862255993926,0.24963788682399862,0.2017409286270264,0.17950531299968148,0.18002571233161177,0.3453183761970581,0.6539082998817074,-0.3386791716926269,-0.04063476093526817,0.11362169593951324,-0.01714044914301606,0.17950531299968148
P3-O1,0.1301104723748937,0.13556752212796508,0.29180182781081715,0.5800963717648522,0.05272441796147476,-0.004858259178212817,0.3645898815614329,0.9999999999999999,0.09490756403677876,0.1301695307349034,0.09766489749883497,0.5952346140234009,0.16256354391908262,0.22611226043124172,0.14016777871264133,0.09121218359964636,0.08406155384514012,0.17834626078544438,-0.2918018278108172,-0.01014415686331228,0.13306646829348343,0.003887699980537614,0.14016777871264133
FP2-F4,0.7440049799680625,0.3843121084568746,0.1025396854572108,0.04423018243253646,0.8316138535308275,0.3573364911888792,0.11083887318053137,0.09490756403677876,1.0,0.3187806319330969,0.10074787000611801,0.04619449740597878,0.7830935450846328,0.5178017775678442,0.14300270578520843,0.027042141531866355,0.40049783833013247,0.13937011509513741,-0.10253968545721084,0.03904761531394331,-0.06907353439108563,0.02651633387770825,0.14300270578520843
F4-C4,0.4627711834893119,0.21713772665049677,0.1616032036014875,0.1589992932818284,0.36201064519332204,0.5268877116964148,0.3422554770623027,0.1301695307349034,0.3187806319330969,0.9999999999999999,0.34882801770040567,0.07240821416390757,0.32767268768141294,0.5552534094435331,0.3104126711480787,0.10356853487493599,0.717960830255143,0.32938086580951365,-0.16160320360148758,0.03924412373785004,-0.16444634077854683,0.18067826450779417,0.3104126711480787
C4-P4,0.28740822831738155,0.09004933242406528,0.16681446378891884,0.20323799357725014,0.1288211493830951,0.43496542680177713,0.48445701541100367,0.09766489749883497,0.10074787000611803,0.34882801770040567,1.0,0.3213326765756748,0.18164714137651305,0.2426256990676001,0.34413292231830717,0.4455182916861672,0.3358546869218927,0.6846016173815203,-0.16681446378891884,0.1645271307202267,-0.2893380093269847,0.06315929060376088,0.34413292231830717
P4-O2,0.15378568575828294,0.06965469561749657,0.16957591752198392,0.48842541255090927,0.06673814733659872,0.09363796747143993,0.34146862255993926,0.595234614023401,0.046194497405978786,0.07240821416390758,0.3213326765756748,1.0,0.09152990209989678,0.1659142612052343,0.19798496896285273,0.637839106930694,0.11254889453883206,0.34769282307207827,-0.16957591752198392,0.03986243112838035,-0.09834414166975394,-0.030852955735797636,0.19798496896285273
FP2-F8,0.7361536397517583,0.42242181029362236,0.07464144198927629,0.06118066896962615,0.7406646120567192,0.4629462330935248,0.24963788682399865,0.16256354391908262,0.7830935450846328,0.32767268768141294,0.18164714137651305,0.09152990209989678,1.0,0.17698351838028845,-0.1974113166934155,-0.006906979840272224,0.4019645675006068,0.2074277937888849,-0.07464144198927627,0.04690343749669691,0.2655213996507162,-0.24596263823936268,-0.1974113166934155
F8-T8,0.48732233551528636,0.13733315281457595,0.06339876743177271,0.07820285769606103,0.40495187124593385,0.22017519242376785,0.2017409286270264,0.22611226043124172,0.5178017775678442,0.5552534094435331,0.24262569906760012,0.1659142612052343,0.17698351838028845,0.9999999999999998,0.21448389468703927,-0.043323710413680855,0.4230847110191952,0.21705350826008613,-0.06339876743177271,0.04091050094115928,-0.3952319193995887,0.5573425738027895,0.21448389468703927
T8-P8-0,0.0038820969276174965,0.09182675977835333,0.32664574432163257,0.1926774876589982,0.07493238098881905,0.15978215304196686,0.17950531299968148,0.14016777871264133,0.14300270578520843,0.3104126711480787,0.3441329223183072,0.19798496896285275,-0.1974113166934155,0.21448389468703924,1.0,0.12568463749578543,0.23494327024419054,0.28845494976797753,-0.32664574432163257,-0.025602711408950873,-0.35891646829946255,0.09574961677175639,1.0
P8-O2,0.10085224638794567,-0.043686662775768874,0.051255654339014384,0.37568500859667026,0.050198493646525684,0.17140652364781708,0.18002571233161177,0.09121218359964636,0.027042141531866355,0.10356853487493597,0.44551829168616724,0.6378391069306939,-0.006906979840272225,-0.043323710413680855,0.12568463749578543,1.0,0.15814870500845354,0.34623123990085014,-0.051255654339014384,0.14215101978234482,-0.2653274768039682,-0.09701282451448788,0.12568463749578543
FZ-CZ,0.4373921399394353,0.30949244483181243,0.2249847272640065,0.21088237299322116,0.39634773220488206,0.6488571138876456,0.34531837619705813,0.08406155384514012,0.4004978383301325,0.717960830255143,0.33585468692189263,0.11254889453883207,0.4019645675006068,0.4230847110191952,0.2349432702441905,0.15814870500845354,1.0,0.2126452406869051,-0.2249847272640065,-0.034492275351885614,-0.018551295059630185,0.06796519113605101,0.2349432702441905
CZ-PZ,0.21056137144358594,0.211245678536139,0.2720336010683809,0.32216284821099744,0.12618969938826557,0.4174395841930508,0.6539082998817073,0.17834626078544438,0.13937011509513741,0.32938086580951365,0.6846016173815201,0.34769282307207827,0.20742779378888493,0.21705350826008613,0.2884549497679776,0.34623123990085014,0.21264524068690505,1.0,-0.2720336010683808,-0.004897841097406794,-0.045605525750589064,0.01989924270129088,0.2884549497679776
P7-T7,0.07039126653992646,-0.13869975137959986,-1.0,-0.14931432755696322,-0.11845819843282117,-0.30821844536205134,-0.3386791716926269,-0.2918018278108172,-0.10253968545721084,-0.16160320360148758,-0.16681446378891884,-0.16957591752198395,-0.07464144198927627,-0.06339876743177271,-0.3266457443216325,-0.051255654339014384,-0.2249847272640065,-0.2720336010683808,1.0,-0.10019521646052038,-0.26107364859849147,0.06005216986445094,-0.3266457443216325
T7-FT9,0.2820114568747354,-0.599086934894616,0.10019521646052042,0.007343001915748317,-0.028614652097174814,0.03865727770426305,-0.04063476093526817,-0.01014415686331228,0.03904761531394331,0.039244123737850044,0.1645271307202267,0.03986243112838035,0.046903437496696905,0.04091050094115928,-0.025602711408950873,0.1421510197823448,-0.03449227535188561,-0.004897841097406793,-0.10019521646052038,1.0,-0.39584699122779254,-0.22853485541266658,-0.025602711408950873
FT9-FT10,-0.24633841069379295,0.3955629465036662,0.26107364859849147,0.17571506154033814,0.03638013975172789,0.04653472138923582,0.11362169593951324,0.13306646829348343,-0.06907353439108563,-0.16444634077854686,-0.2893380093269847,-0.09834414166975393,0.2655213996507162,-0.3952319193995887,-0.35891646829946255,-0.2653274768039682,-0.018551295059630185,-0.045605525750589064,-0.26107364859849147,-0.3958469912277925,1.0,-0.44998779379148024,-0.35891646829946255
FT10-T8,-0.04015668456257904,-0.09984979070187429,-0.06005216986445093,0.003996848187740022,-0.07566718666692197,-0.11286525747554157,-0.01714044914301606,0.0038876999805376134,0.02651633387770825,0.18067826450779417,0.06315929060376088,-0.03085295573579764,-0.24596263823936268,0.5573425738027895,0.09574961677175639,-0.0970128245144879,0.06796519113605101,0.019899242701290884,0.06005216986445093,-0.22853485541266658,-0.4499877937914803,0.9999999999999999,0.09574961677175639
T8-P8-1,0.0038820969276174965,0.09182675977835333,0.32664574432163257,0.1926774876589982,0.07493238098881905,0.15978215304196686,0.17950531299968148,0.14016777871264133,0.14300270578520843,0.3104126711480787,0.3441329223183072,0.19798496896285275,-0.1974113166934155,0.21448389468703924,1.0,0.12568463749578543,0.23494327024419054,0.28845494976797753,-0.32664574432163257,-0.025602711408950873,-0.35891646829946255,0.09574961677175639,1.0
