,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,0.9999999999999999,0.041516259688944616,0.007686464269412784,0.0015746029995750887,0.24546061720461337,0.09146952708294759,0.08329211211334107,0.014269730737318626,0.22959163426381846,0.0451923911611033,0.03712004372824552,0.012726181910149343,0.37888689367267525,0.08252678984503276,0.0061835245473196715,0.003271867892972259,0.05448296038843826,0.016187592409897825,0.007686464269412784,0.07163789434701201,0.07399751294024391,0.0013444342344918682,0.0061835245473196715
F7-T7,0.041516259688944616,0.9999999999999999,0.010845750597754932,0.006272890269679893,0.15410669311693936,0.04555067651900395,0.012692891487703868,0.0019374337140950944,0.03547585658466757,0.008885624645815389,0.005651487971100902,0.0045714794087925,0.025049748380395098,0.0067547220742278985,0.026270188652573166,0.004911994519196816,0.026035610134825846,0.015385651507685916,0.010845750597754932,0.6402308511779774,0.06389157862461035,0.003664831971957201,0.026270188652573166
T7-P7,0.007686464269412784,0.010845750597754932,0.9999999999999999,0.030828732445925624,0.024040194318083043,0.05173863280661144,0.12626191724273858,0.09441154288880194,0.014721066921631066,0.013450942463240636,0.04158071210874303,0.055308332998742854,0.004511556294831362,0.0059070126347715,0.08802435482757448,0.0577943631124243,0.025706745421687886,0.08349391592177274,0.9999999999999999,0.02384918061612775,0.026370826377872282,0.006159228402482773,0.08802435482757448
P7-O1,0.0015746029995750887,0.006272890269679893,0.030828732445925634,0.9999999999999999,0.0027227990653094446,0.008266631296281938,0.15188566000900103,0.37229618326339636,0.0032678709548703277,0.017125757395868094,0.10404867890235986,0.23160768362170628,0.005097883234815375,0.005642125214401366,0.06854308735784809,0.23273856167774862,0.015584571626581228,0.12895667362238045,0.030828732445925624,0.006817100722701055,0.01574239029358358,0.0038136030064812153,0.06854308735784809
FP1-F3,0.24546061720461337,0.15410669311693936,0.024040194318083043,0.0027227990653094446,1.0,0.07448571517285904,0.06910294811124562,0.012951762766798085,0.459355780389877,0.03146493419463931,0.0131887186455537,0.0027201930425759303,0.20191972756677246,0.03379616100453247,0.029603258268415488,0.0019973963800702177,0.03393966769629777,0.010629241595898205,0.02404019431808305,0.06860226067658592,0.009531955092268628,0.0028443524416637846,0.029603258268415488
F3-C3,0.09146952708294759,0.04555067651900395,0.05173863280661144,0.008266631296281938,0.07448571517285904,0.9999999999999997,0.13546720202328397,0.015509638240431561,0.03388795067860608,0.17577029266866245,0.10925954539672458,0.010675062766155412,0.06335897024835985,0.029258293695663715,0.016409888377313473,0.030437862345968802,0.35257174337410685,0.13007947877549633,0.05173863280661144,0.015081259826122568,0.001047993816579221,0.005456665898013346,0.016409888377313473
C3-P3,0.08329211211334107,0.012692891487703868,0.12626191724273858,0.15188566000900103,0.06910294811124562,0.13546720202328397,0.9999999999999999,0.09139878686760783,0.009556997457899735,0.059251834289725226,0.26925273304655123,0.1319225737554336,0.04322175633607597,0.01835894036560555,0.029550968211887428,0.13541445193694807,0.05430497395377038,0.4378394209463837,0.12626191724273858,0.025412750303990008,0.006065959233544366,0.0013866423920627193,0.029550968211887428
P3-O1,0.014269730737318626,0.0019374337140950944,0.09441154288880194,0.37229618326339636,0.012951762766798085,0.015509638240431556,0.09139878686760783,0.9999999999999999,0.004919470337033274,0.002049267948385567,0.04464118209988163,0.30870641537563226,0.017180160378345785,0.008953045811477607,0.015114010822129353,0.08287163514424091,0.022889361864611858,0.033067763198903165,0.09441154288880195,0.018788674180753872,0.003807334470087405,0.002271361437975614,0.015114010822129353
FP2-F4,0.22959163426381846,0.03547585658466757,0.014721066921631066,0.0032678709548703277,0.45935578038987707,0.03388795067860608,0.009556997457899737,0.004919470337033274,0.9999999999999999,0.06395517927736451,0.039676999475239144,0.011755873505282498,0.3684602746036996,0.0806671352163843,0.039564084202814605,0.0022787994728366754,0.03603345779972679,0.006067225239119443,0.014721066921631066,0.008502849281097872,0.0011571607699003908,0.02506703345312409,0.039564084202814605
F4-C4,0.0451923911611033,0.008885624645815389,0.013450942463240636,0.017125757395868094,0.031464934194639305,0.17577029266866245,0.05925183428972524,0.0020492679483855667,0.06395517927736451,0.9999999999999999,0.06305300586295669,0.0250791641117505,0.04231495795110501,0.15803208342015249,0.05780483401566247,0.005160729948990286,0.33163233782412593,0.07189870871841689,0.013450942463240636,0.0022753524967627416,0.004904064303725614,0.08490133243757396,0.05780483401566247
