,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,1.0,0.10359249090802607,-0.07039126653992644,0.00854958892688712,0.7922824393669209,0.4029869623601799,0.22108050845761917,0.1301104723748937,0.7440049799680625,0.46277118348931195,0.28740822831738144,0.15378568575828294,0.7361536397517583,0.48732233551528636,0.003882096927617492,0.1008522463879457,0.4373921399394353,0.2105613714435859,0.07039126653992644,0.2820114568747355,-0.24633841069379295,-0.04015668456257902,0.003882096927617492
F7-T7,0.10359249090802607,1.0,0.13869975137959992,0.005079312931204169,0.49105682501320175,0.4195514687870851,0.1955528340493986,0.13556752212796508,0.3843121084568746,0.2171377266504968,0.09004933242406529,0.06965469561749656,0.4224218102936223,0.13733315281457595,0.09182675977835336,-0.04368666277576889,0.30949244483181243,0.21124567853613904,-0.1386997513795999,-0.599086934894616,0.3955629465036663,-0.09984979070187426,0.09182675977835336
T7-P7,-0.07039126653992644,0.13869975137959992,1.0,0.14931432755696314,0.1184581984328212,0.3082184453620513,0.33867917169262685,0.2918018278108172,0.10253968545721084,0.16160320360148756,0.16681446378891884,0.16957591752198392,0.07464144198927627,0.06339876743177272,0.32664574432163257,0.05125565433901435,0.2249847272640065,0.272033601068381,-1.0,0.10019521646052042,0.2610736485984915,-0.06005216986445088,0.32664574432163257
P7-O1,0.00854958892688712,0.005079312931204168,0.14931432755696317,0.9999999999999998,0.013312897336158865,0.06370561254830256,0.38385551530471457,0.5800963717648521,0.04423018243253645,0.1589992932818283,0.20323799357725014,0.48842541255090915,0.061180668969626144,0.07820285769606106,0.1926774876589982,0.3756850085966702,0.21088237299322116,0.32216284821099733,-0.14931432755696317,0.0073430019157483045,0.1757150615403381,0.0039968481877400335,0.1926774876589982
FP1-F3,0.7922824393669209,0.49105682501320175,0.1184581984328212,0.013312897336158865,1.0,0.3026265817523877,0.021996018170730384,0.05272441796147474,0.8316138535308274,0.362010645193322,0.12882114938309513,0.06673814733659868,0.7406646120567192,0.40495187124593385,0.07493238098881906,0.05019849364652567,0.39634773220488195,0.12618969938826557,-0.1184581984328212,-0.02861465209717481,0.036380139751727894,-0.07566718666692197,0.07493238098881906
F3-C3,0.40298696236017995,0.41955146878708505,0.3082184453620513,0.06370561254830256,0.30262658175238777,0.9999999999999999,0.39336278721468293,-0.004858259178212815,0.3573364911888791,0.5268877116964145,0.4349654268017771,0.09363796747143986,0.46294623309352473,0.2201751924237677,0.15978215304196686,0.17140652364781703,0.6488571138876456,0.4174395841930507,-0.3082184453620512,0.03865727770426301,0.0465347213892358,-0.11286525747554155,0.15978215304196686
C3-P3,0.22108050845761917,0.1955528340493986,0.3386791716926268,0.38385551530471457,0.021996018170730387,0.393362787214683,1.0,0.36458988156143296,0.11083887318053139,0.3422554770623027,0.4844570154110036,0.34146862255993926,0.2496378868239987,0.2017409286270264,0.17950531299968148,0.18002571233161171,0.3453183761970581,0.6539082998817072,-0.33867917169262673,-0.04063476093526821,0.1136216959395132,-0.017140449143016052,0.17950531299968148
P3-O1,0.1301104723748937,0.13556752212796508,0.2918018278108172,0.5800963717648521,0.052724417961474736,-0.004858259178212815,0.364589881561433,1.0,0.09490756403677879,0.1301695307349035,0.097664897498835,0.595234614023401,0.1625635439190827,0.2261122604312418,0.14016777871264136,0.09121218359964635,0.08406155384514018,0.17834626078544438,-0.2918018278108172,-0.010144156863312286,0.13306646829348345,0.003887699980537607,0.14016777871264136
FP2-F4,0.7440049799680625,0.38431210845687463,0.10253968545721084,0.04423018243253645,0.8316138535308275,0.3573364911888791,0.11083887318053137,0.09490756403677879,1.0,0.31878063193309697,0.10074787000611803,0.04619449740597875,0.7830935450846328,0.5178017775678444,0.14300270578520846,0.027042141531866355,0.4004978383301326,0.1393701150951374,-0.10253968545721084,0.0390476153139433,-0.06907353439108568,0.026516333877708236,0.14300270578520846
F4-C4,0.462771183489312,0.2171377266504968,0.16160320360148753,0.15899929328182832,0.36201064519332204,0.5268877116964145,0.3422554770623027,0.1301695307349035,0.31878063193309697,0.9999999999999999,0.34882801770040567,0.07240821416390761,0.32767268768141294,0.5552534094435332,0.31041267114807874,0.10356853487493599,0.717960830255143,0.32938086580951365,-0.16160320360148764,0.03924412373785003,-0.16444634077854683,0.18067826450779415,0.31041267114807874
