,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
FP1-F7,1.0,0.07462626548382054,0.055968150055295235,0.06070884545174445,0.6241607604800563,0.17378984585305582,0.04984620449297513,0.009868528168684266,0.367288605485463,0.18155849408602034,0.18669319100586065,0.07886567143645999,0.3766767504085265,0.19203766174801387,0.05369467472618442,0.09678009497600909,0.16844428664597716,0.11501468005976766,0.05596815005529523,0.17184368866400562,0.25816037397759,0.017904539268304136,0.05369467472618442
F7-T7,0.07462626548382054,1.0,0.16450249338997955,0.03474344851948266,0.2960484817700824,0.4283829319886978,0.31291293404166737,0.08579427009262285,0.2286810340375627,0.19766603814892242,0.1717893358054353,0.07565696873743184,0.279580262251578,0.14199901581997998,0.11206126003179398,0.030763035695887817,0.2508447150649803,0.22153281367927166,0.16450249338997955,0.47785274743137157,0.14562778865526377,0.029595828968914068,0.11206126003179398
T7-P7,0.055968150055295235,0.16450249338997955,1.0,0.20025181226120273,0.09567422269945956,0.29059690269727934,0.439663394290352,0.27149641427473087,0.10199351359364067,0.1821751475153511,0.2070043596447597,0.18626065803165218,0.08515337225436062,0.11475682872426153,0.29521806924909394,0.10412772992398851,0.22949080555701232,0.2657466703827088,1.0,0.07100761045621087,0.1938288475218932,0.07185344318999913,0.29521806924909394
P7-O1,0.06070884545174445,0.03474344851948266,0.20025181226120273,1.0,0.028683216459890755,0.04128729385040444,0.3357724505005499,0.5007660774338476,0.044863214099319516,0.13965724512812966,0.1591012265244115,0.42273519346889277,0.02818208655222429,0.12256614134502915,0.19456737072106925,0.3322958741410265,0.17167871612014343,0.24662276864770022,0.20025181226120278,0.10231434841256634,0.19997501292849662,0.09168212096743895,0.19456737072106925
FP1-F3,0.6241607604800563,0.2960484817700824,0.09567422269945956,0.028683216459890755,1.0,0.11678879696720686,0.012602706433825392,0.0446449578765638,0.5121199088504242,0.12860869390614568,0.09030457055698461,0.009080126590562865,0.38749767916524247,0.14332685619355248,0.09005743333101056,0.06961938504098875,0.1533081720843526,0.02868551688040053,0.0956742226994596,0.05157880378957465,0.055497710557542185,0.03783442942401649,0.09005743333101056
F3-C3,0.17378984585305582,0.4283829319886978,0.29059690269727934,0.04128729385040444,0.11678879696720686,1.0,0.2778409947217449,0.07676285042007946,0.18678462904266535,0.3868502120293015,0.3667422008651811,0.05529742968393949,0.25362543267078763,0.12482885517436013,0.1945880703024159,0.1850594468159567,0.5105181114326895,0.33518473108304087,0.29059690269727934,0.05937317222752503,0.06368462584751176,0.0508563555859985,0.1945880703024159
C3-P3,0.04984620449297513,0.31291293404166737,0.439663394290352,0.3357724505005499,0.012602706433825392,0.2778409947217449,1.0,0.26978509120108807,0.06847915670071561,0.2791211332813485,0.3787394008205951,0.29406076668598063,0.1281589596044682,0.23617994086576063,0.26113806829982955,0.16655084098371215,0.2864051247459592,0.5848078158380696,0.43966339429035195,0.23677713847244666,0.14086449725579475,0.10282727267497176,0.26113806829982955
P3-O1,0.009868528168684266,0.08579427009262285,0.27149641427473087,0.5007660774338476,0.0446449578765638,0.07676285042007946,0.26978509120108807,1.0,0.008938471982723429,0.07109319033804411,0.05575878571939028,0.5380873369488788,0.07043892957070884,0.20012093605441303,0.13187509430816252,0.13073606892739467,0.0405515581341633,0.13238323062936055,0.27149641427473087,0.06074991660950986,0.17062744209644393,0.04770215410320916,0.13187509430816252
FP2-F4,0.367288605485463,0.2286810340375627,0.10199351359364067,0.044863214099319516,0.5121199088504242,0.18678462904266535,0.06847915670071561,0.008938471982723429,1.0,0.09150022172950796,0.03279828314476129,0.03608818254385593,0.5963069872541892,0.256082330777383,0.134775870310562,0.035593641208068724,0.17533971391512027,0.048690476564548966,0.10199351359364067,0.017290838487561806,0.047138017506438784,0.12547093683858504,0.134775870310562
F4-C4,0.18155849408602034,0.19766603814892242,0.1821751475153511,0.13965724512812966,0.12860869390614568,0.3868502120293015,0.2791211332813485,0.07109319033804411,0.09150022172950796,1.0,0.2659073536986315,0.01707184602120709,0.10610825684595247,0.43804076000546377,0.3004289951410435,0.05578027843316936,0.5841736425997133,0.25888934619060294,0.18217514751535105,0.083634322607993,0.060006274779150943,0.267334502136847,0.3004289951410435
C4-P4,0.18669319100586065,0.1717893358054353,0.2070043596447597,0.1591012265244115,0.09030457055698461,0.3667422008651811,0.3787394008205951,0.05575878571939028,0.03279828314476129,0.2659073536986315,1.0,0.2526527799453895,0.08965385281416403,0.17005515426041087,0.4191523074500686,0.3764831781141887,0.2577441760416898,0.5874675819297926,0.20700435964475966,0.09328826860420909,0.2659282120996423,0.062056262512305435,0.4191523074500686
P4-O2,0.07886567143645999,0.07565696873743184,0.18626065803165218,0.42273519346889277,0.009080126590562865,0.05529742968393949,0.29406076668598063,0.5380873369488788,0.03608818254385593,0.01707184602120709,0.2526527799453895,1.0,0.02619984115874236,0.1219377411627262,0.2030482813423281,0.4991428721449182,0.061422555790849806,0.27821453526052137,0.18626065803165218,0.10642816184587196,0.0966175316536779,0.08410746881262521,0.2030482813423281
FP2-F8,0.3766767504085265,0.279580262251578,0.08515337225436062,0.02818208655222429,0.38749767916524247,0.25362543267078763,0.1281589596044682,0.07043892957070884,0.5963069872541892,0.10610825684595247,0.08965385281416403,0.02619984115874236,1.0,0.03896746382853312,0.09745078719025392,0.02263709170184015,0.16147255071079938,0.12699880192494317,0.08515337225436062,0.027114887876408235,0.15966172983718377,0.10725359478279063,0.09745078719025392
