subject,stimname,time_stimon,time_eeg,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,axe_01b.jpg,1413.44,1413.44,-6.444760131835938e-05,6.281501054763794e-08,-1.5806741714477537e-05,-1.4102176666259765e-05,8.869621276855468e-06,-1.8575811386108397e-06,1.249517822265625e-05,1.4037878036499022e-05,2.037454843521118e-06,1.8333400726318358e-05,7.206139087677002e-06,8.549819946289062e-06,-1.7688099145889281e-06,9.873520851135254e-06,1.388727283477783e-05,1.6131465911865232e-05,1.4168926239013672e-05,1.3701355934143065e-05,-4.557503700256347e-06,-5.238826751708984e-06,-3.336951971054077e-06,1.300974130630493e-06,4.9126343727111815e-06,6.0805029869079584e-06,-2.2497549057006835e-05,6.651536464691162e-06,-1.8244962692260741e-06,1.181042766571045e-05,-8.095462799072265e-06,-6.302151679992675e-06,-4.19704475402832e-05,-4.980737686157226e-05,-3.61258544921875e-05,-1.978420639038086e-05,-3.121007204055786e-06,-2.8464574813842772e-05,4.93587589263916e-06,5.453869819641113e-06,1.7496341705322264e-05,1.653467559814453e-05,1.3889320373535156e-05,1.218527889251709e-05,6.4187102317810055e-06,1.275028133392334e-05,2.030477714538574e-05,9.776077270507812e-06,7.558183193206786e-06,2.265681266784668e-06,1.4584820747375487e-05,6.670326590538025e-07,8.561763763427735e-06,1.105953598022461e-05,8.26994228363037e-06,4.703569889068603e-06,6.049826145172119e-06,1.1207976341247558e-05,5.144083976745605e-06,8.408244132995605e-06,-9.174305915832519e-06,-3.203281021118164e-05,-2.9607887268066405e-05,-3.6972322463989256e-06,1.5275725364685057e-05,1.0001232147216797e-05
sub-01,axe_02n.jpg,2375.51,2375.512,3.738164520263672e-05,1.0952410697937011e-06,1.7253638505935668e-06,-6.318587303161621e-06,-2.033684539794922e-05,-5.6693644523620605e-06,-7.922626286745071e-08,-5.9492073059082026e-06,-2.407744026184082e-05,-1.1428504943847656e-05,-1.1939027786254882e-05,-6.481481552124023e-06,6.98347806930542e-06,3.4339532256126403e-07,3.2459187507629393e-06,-4.2153891921043395e-07,4.137769699096679e-06,2.271431446075439e-06,1.0936396598815917e-05,1.0265262603759765e-05,-8.794692993164063e-06,1.39605176448822e-06,-2.2895853519439695e-06,2.055000782012939e-06,-8.384072303771973e-06,-1.774411964416504e-05,-9.115357398986816e-06,-3.1160457134246824e-06,3.394466400146484e-06,-5.276553153991699e-06,2.996268081665039e-05,1.87985725402832e-05,1.2248853683471678e-05,1.3994850158691406e-05,-2.9681618213653563e-06,-4.034359455108642e-06,-1.628662872314453e-05,-1.266406536102295e-06,-5.215128421783447e-06,-1.1259526252746582e-05,-1.0200162887573242e-05,-4.414844036102295e-06,-1.2049971818923949e-06,-3.283259570598602e-07,3.1795346736907957e-06,3.777225971221924e-06,8.314444541931153e-06,5.688849925994873e-06,7.679762840270995e-06,1.4261748313903807e-05,5.638562202453613e-06,-1.8460333347320556e-06,2.8069000244140626e-06,6.091747760772705e-06,-1.1697681427001953e-05,-4.944299697875976e-06,-4.238527297973633e-06,-1.2787758827209473e-05,-9.966000318527222e-07,1.2819811820983886e-05,4.74866247177124e-06,4.411104202270507e-06,1.9888582229614256e-06,-5.2771657705307e-07
sub-01,axe_03n.jpg,2798.73,2798.728,-4.256777954101562e-05,6.051933765411377e-06,-1.295905590057373e-05,-2.2122060775756836e-05,-1.6591480374336243e-07,-9.531510353088378e-06,5.938948154449463e-06,-1.3088815212249756e-06,2.0469419956207276e-06,4.529616832733154e-06,-5.9672002792358395e-06,9.708352088928223e-06,1.6922235488891602e-05,1.1886131286621093e-05,1.1072498321533203e-05,4.872124671936035e-06,-1.6293259859085082e-06,-3.901661157608032e-06,1.710223388671875e-05,-5.248584747314453e-06,-5.726986408233642e-06,1.0375849723815917e-05,1.785214042663574e-05,9.098164558410645e-06,3.895532131195068e-06,3.876618146896362e-06,-2.7656328678131103e-06,1.3759151458740233e-05,7.160953879356384e-07,-1.008234977722168e-05,-3.56148681640625e-05,-4.2664943695068355e-05,-1.431373119354248e-05,-3.0393762588500976e-06,-1.514675498008728e-06,-1.4602692604064941e-05,-9.55023956298828e-06,-2.499584913253784e-06,4.590414524078369e-06,-1.9730119705200195e-05,5.02075719833374e-06,5.440579414367676e-06,1.3487510681152342e-05,-2.7788099646568295e-07,8.171774864196776e-06,9.335887908935546e-06,8.432390213012694e-06,1.4619850158691406e-05,1.0096036195755004e-06,9.15477180480957e-06,1.0612295150756836e-05,1.2820094108581543e-05,1.3922800064086914e-05,8.316926002502441e-06,2.383333683013916e-06,1.481968307495117e-05,5.626109600067139e-06,-6.435970306396484e-06,-6.849342346191406e-06,-3.0051803588867185e-05,-3.356868982315063e-06,2.5336503982543943e-06,5.016768455505371e-06,9.447507858276367e-06
sub-01,axe_04n.jpg,2212.91,2212.908,-0.0003544095458984375,-4.15009651184082e-05,-7.587085723876953e-05,-6.400419616699219e-05,6.449581909179687e-05,-9.558009147644043e-06,5.452071189880371e-06,2.9355960845947263e-05,5.445096969604492e-05,7.363186645507812e-05,4.7577571868896484e-05,3.98348388671875e-05,4.2402923583984375e-05,5.467481994628906e-05,7.447792816162109e-05,7.234732818603515e-05,7.034801483154296e-05,6.222857666015625e-05,3.749446487426758e-05,4.21818733215332e-05,4.701436614990234e-05,4.6820728302001954e-05,3.6128047943115234e-05,3.1912014007568355e-05,4.577163696289062e-05,5.919505310058593e-05,1.5789870262145995e-05,9.564708709716796e-06,-4.164524459838867e-05,-3.575656509399414e-05,-0.0002817781066894531,-0.0002889315185546875,-0.00015354867553710937,-0.00011537899780273436,-4.817993927001953e-05,-0.00011830143737792968,2.192349815368652e-05,1.5410372018814086e-06,2.6480497360229492e-05,3.086178398132324e-05,6.107866668701172e-05,4.454009628295898e-05,4.866027069091797e-05,6.0720424652099605e-05,5.9647243499755854e-05,6.203817749023437e-05,5.9333915710449215e-05,4.505948638916015e-05,5.0632293701171875e-05,4.247615051269531e-05,4.5040687561035154e-05,3.83702278137207e-05,3.9136592864990234e-05,6.720464324951171e-05,5.182084655761719e-05,3.107445907592773e-05,8.460806846618652e-06,2.4997398376464844e-05,-3.6241065979003905e-05,-0.00021402210998535155,-0.00010491810607910156,-3.1053976058959956e-05,3.77199649810791e-06,2.708585739135742e-05
sub-01,chainsaw_01b.jpg,1793.92,1793.92,-0.00020687387084960935,-2.468630027770996e-05,-5.5510379791259764e-05,-5.2690345764160154e-05,1.930428695678711e-05,-1.4393462181091309e-05,-9.768178939819336e-06,8.113472461700439e-07,2.6606298446655273e-05,3.988142395019531e-05,1.2831775665283202e-05,2.0393207550048826e-05,3.1442632675170894e-05,2.7918468475341794e-05,3.6825801849365234e-05,5.1638160705566404e-05,3.8171031951904295e-05,4.3220993041992186e-05,3.750491714477539e-05,4.486933135986328e-05,6.056035995483398e-05,3.332421112060547e-05,2.6204227447509766e-05,2.283577537536621e-05,-2.1295230865478514e-05,4.636246871948242e-05,1.7844345092773436e-05,4.301168441772461e-06,-2.1667486190795896e-05,-1.0996453762054443e-06,-0.00013756027221679688,-0.0001927681884765625,-8.966648864746093e-05,-6.225094223022461e-05,-3.455324935913086e-05,-7.359355163574218e-05,-6.686614036560058e-06,-1.2111893653869629e-05,7.207414150238037e-06,1.4911393165588378e-05,2.172380447387695e-05,1.6313261032104492e-05,2.47742805480957e-05,2.0624546051025388e-05,3.8030189514160157e-05,3.8665340423583986e-05,3.6009323120117184e-05,3.482271575927734e-05,3.297529220581055e-05,4.162099456787109e-05,3.067342567443848e-05,2.3237104415893552e-05,3.232086944580078e-05,4.5457237243652345e-05,2.9222051620483396e-05,2.1319379806518552e-05,4.4288125038146975e-06,2.829316711425781e-05,-1.3683363914489745e-05,-8.637213897705078e-05,-6.373337173461914e-05,-1.9455224990844727e-05,-2.213437795639038e-06,1.716239356994629e-05
sub-01,chainsaw_02s.jpg,87.05,87.048,-0.0001446144561767578,-2.1260391235351563e-05,-3.445301818847656e-05,-2.91610050201416e-05,2.4793792724609372e-05,-7.808335781097413e-06,-1.2208293676376343e-06,1.7203837633132933e-06,2.287025451660156e-05,1.9101242065429688e-05,1.3187874794006347e-05,1.2432361602783202e-05,2.3296291351318358e-05,1.877761650085449e-05,4.211859512329101e-05,3.699258041381836e-05,3.2521530151367185e-05,2.6694068908691404e-05,2.5408927917480468e-05,5.44644021987915e-06,3.203772354125976e-05,2.610342025756836e-05,2.026955795288086e-05,2.4817031860351562e-05,7.471661567687988e-06,2.6899698257446286e-05,1.1791662216186524e-05,8.788575232028961e-08,-2.2499156951904296e-05,-7.478841304779052e-06,-0.00013528662109375,-0.00013521488952636718,-6.243068695068359e-05,-5.1492076873779296e-05,-2.6396562576293943e-05,-4.318917083740234e-05,5.265028953552246e-06,-1.574841022491455e-05,9.14536666870117e-06,5.47354507446289e-06,2.6870428085327147e-05,1.4464878082275389e-05,1.9533399581909177e-05,3.1983016967773434e-05,2.793124198913574e-05,2.8909008026123044e-05,3.507574462890625e-05,2.3088647842407226e-05,2.527914524078369e-06,4.276034545898437e-05,2.7774993896484372e-05,2.1451868057250977e-05,2.828633689880371e-05,1.0323338508605957e-05,4.986843490600586e-05,1.2455241203308105e-05,8.580615997314452e-06,1.8160959243774414e-05,-1.8133480072021484e-05,-9.607882690429686e-05,-4.7590808868408203e-05,-1.8326677322387695e-05,1.8356604874134063e-07,1.3432687759399414e-05
sub-01,chainsaw_03s.jpg,307.71,307.708,0.00023256672668457032,7.770702362060546e-06,2.2732481002807617e-05,-2.146646499633789e-05,-5.4092609405517575e-05,-2.551081085205078e-05,-2.1670083999633788e-05,-2.9344869613647458e-05,-4.491812515258789e-05,-3.1149803161621096e-05,-3.071845626831055e-05,-3.4556861877441404e-05,-3.5998413085937496e-05,-3.518163681030273e-05,-3.1144393920898435e-05,-2.9055309295654296e-05,-2.3965707778930664e-05,-1.0700011253356934e-05,-2.4626352310180664e-05,-4.830590724945068e-06,-1.8130239486694335e-05,-1.9873565673828123e-05,-3.0307867050170898e-05,-1.5987478256225585e-05,-1.1028963088989257e-05,4.630181789398193e-06,9.256498336791992e-06,-1.6031551361083982e-05,3.28888931274414e-05,6.940061187744141e-05,0.00018417318725585938,0.0001253715133666992,7.966971588134765e-05,5.717007446289062e-05,6.300062179565429e-06,2.8799152374267578e-05,-3.10360107421875e-05,-1.803780937194824e-05,-2.67388858795166e-05,-3.0532341003417966e-05,-3.374532318115234e-05,-3.006435394287109e-05,-3.534452056884766e-05,-2.9553281784057615e-05,-2.528975486755371e-05,-3.462758255004883e-05,-2.653549003601074e-05,-1.830940818786621e-05,-1.338539981842041e-05,-1.7824460983276366e-05,-3.543628311157226e-05,-3.7109062194824215e-05,-2.7375093460083007e-05,-9.514887809753418e-06,-1.2658716201782227e-05,-3.152281951904297e-05,2.6580542325973507e-07,1.791629600524902e-05,4.918021011352539e-05,0.00016838757324218748,6.148057556152344e-05,1.1559344291687012e-05,-1.4236318588256835e-05,-3.035245323181152e-05
sub-01,chainsaw_04s.jpg,894.37,894.368,-4.1010537147521975e-06,-1.423451453447342e-07,-4.382403492927551e-07,-1.1906492233276367e-05,-1.0695922851562499e-05,-8.355722427368163e-06,-9.112476348876952e-06,-5.280460357666015e-06,-1.7921066284179687e-05,-1.951957321166992e-05,-4.8127789497375485e-06,6.754084110260009e-06,1.0426837921142578e-05,2.9430296421051026e-06,-9.926472663879395e-06,-9.754722714424133e-07,2.785261392593384e-06,-8.367671966552734e-07,9.546952247619629e-06,2.8186044692993165e-06,1.3003779649734496e-06,1.36646728515625e-05,9.965894699096679e-06,9.905252456665039e-06,1.135430908203125e-05,4.953307628631592e-06,9.694398880004883e-06,4.407597064971924e-06,1.0082988739013672e-05,3.884631156921386e-06,-5.898090362548828e-06,-3.5641095638275143e-06,-5.856817722320556e-06,1.762349247932434e-06,1.0561002045869826e-07,-2.0298407077789306e-06,-1.9083940505981445e-05,-9.905350685119628e-06,-2.8732383251190186e-06,-1.249932861328125e-05,-1.195905303955078e-05,4.1896069049835205e-07,6.403570652008056e-06,-5.095217227935791e-06,-1.617102026939392e-06,1.09034526348114e-06,1.054456114768982e-06,6.080418109893798e-06,-8.817621469497681e-07,7.559949874877929e-06,1.504081630706787e-05,7.850881576538086e-06,1.3680972099304198e-05,-1.5825708389282226e-05,1.1152585029602051e-05,6.4714579582214355e-06,6.5192975997924805e-06,1.1936169624328613e-05,6.373902320861816e-06,-3.3170630931854246e-06,-1.369452667236328e-05,4.682183265686035e-06,-8.368987083435058e-06,3.8292939662933345e-06
sub-01,compass_01b.jpg,1460.41,1460.412,-9.442271423339843e-05,9.046313762664794e-07,-3.3573527336120603e-06,-2.4483362197875976e-05,1.393458080291748e-05,-2.653116464614868e-06,7.134692192077637e-06,6.0952153205871575e-06,1.2029146194458008e-05,1.700844192504883e-05,7.399685859680175e-06,1.1328493118286133e-05,1.1960731506347656e-05,9.636656761169433e-06,1.6402114868164063e-05,1.0516979217529296e-05,1.403624439239502e-05,6.160191059112548e-06,1.2242962837219238e-05,9.9330997467041e-06,4.207079315185547e-05,1.0984224319458008e-05,1.0849153518676757e-05,1.4845377922058105e-05,2.0083358764648436e-05,7.607163906097412e-06,-3.959031105041504e-06,1.4679588317871094e-05,-6.996935844421386e-06,-1.4695040702819823e-05,-8.042449188232422e-05,-8.542082214355468e-05,-3.600032043457031e-05,-1.9706512451171874e-05,-2.5699472427368164e-06,-2.2333026885986328e-05,7.234660625457763e-06,-4.888350486755371e-06,1.1498089790344238e-05,4.9405188560485834e-06,5.5408906936645505e-06,9.081801414489746e-06,8.698646545410155e-06,4.578996181488037e-06,8.09243106842041e-06,8.2546968460083e-06,1.206492805480957e-05,8.20171546936035e-06,7.844963073730468e-06,8.664219856262206e-06,5.920400142669678e-06,1.0278960227966309e-05,1.2078665733337401e-05,2.1741890907287595e-06,3.095280885696411e-06,1.0066787719726563e-05,9.809125900268554e-06,5.057526826858521e-07,-7.660597324371338e-06,-6.246567916870117e-05,-1.0813316345214843e-05,9.184179306030273e-07,1.779012107849121e-05,1.7671659469604492e-05
sub-01,compass_02s.jpg,369.33,369.328,-1.944678497314453e-05,5.99835729598999e-06,-2.2615249454975127e-07,-1.884895896911621e-05,-1.2646519660949706e-05,-4.784404754638672e-06,1.4555349349975585e-06,4.207644462585449e-06,-1.0897677421569824e-05,-1.0473325729370117e-05,2.6343042850494385e-06,2.0084692001342773e-05,2.075118064880371e-05,1.814381217956543e-05,-3.6226010322570798e-06,7.009923458099365e-06,7.277989387512207e-06,4.930777549743652e-06,1.5330266952514646e-05,-2.2784667968749998e-05,2.0119503021240233e-05,2.6762340068817137e-06,1.2800012588500976e-05,1.376976728439331e-06,-2.3910995483398435e-05,-1.53550386428833e-05,-1.0415903091430664e-05,1.2266713142395018e-05,-1.5433961868286134e-05,-2.15152587890625e-05,-3.319596481323242e-05,-1.6825315475463867e-05,-6.329057693481445e-06,-1.3546789169311522e-05,4.996806621551514e-06,-8.111780166625976e-06,-6.528551578521728e-06,-8.496382713317871e-06,1.261320686340332e-05,5.30799388885498e-06,5.535163402557373e-06,1.5745277404785157e-05,2.4032001495361326e-05,1.3512746810913085e-05,-1.2524993896484374e-05,1.8666540145874023e-05,1.2854110717773438e-05,3.9319238662719725e-06,-1.100043487548828e-05,4.37638521194458e-06,1.0826400756835938e-05,1.845013427734375e-05,8.092082023620605e-06,-9.85173225402832e-06,1.0084014892578124e-05,1.919239044189453e-05,5.295300960540771e-06,-1.6404767990112305e-05,-1.640040397644043e-05,-2.6406944274902344e-05,-2.2220165729522705e-06,2.21946907043457e-06,1.1803189277648925e-05,1.361058235168457e-05
sub-01,compass_03s.jpg,2240.44,2240.44,-2.149127721786499e-06,1.3190855979919433e-05,1.6555540084838868e-05,-6.359791278839111e-06,-2.0972564220428467e-06,4.2450160980224605e-06,2.7307844161987304e-06,4.110869884490967e-06,-2.776152454316616e-08,9.65883731842041e-06,1.5728446245193482e-06,4.431204795837402e-06,1.0794309616088866e-05,5.004455089569092e-06,-1.42832612991333e-05,-6.930233001708984e-06,-3.837307453155517e-06,-5.000293254852294e-06,1.230086326599121e-05,-9.222129821777344e-06,-3.191290855407715e-05,-2.67891263961792e-06,3.204996585845947e-06,-1.655943751335144e-06,2.769852638244629e-06,5.816846370697021e-06,3.037364959716797e-06,-1.9650989770889283e-06,6.73892879486084e-06,2.429770827293396e-07,-5.529366016387939e-06,-9.757730484008789e-06,-5.826943397521972e-06,7.660973072052002e-06,8.069881439208984e-06,-6.397599220275878e-06,-5.91676902770996e-06,-1.5677011013031005e-06,2.706249475479126e-06,-1.1742963790893554e-06,3.8009109497070312e-06,5.715488910675048e-06,4.6015791893005365e-06,2.3366451263427733e-06,-1.620285415649414e-05,-7.248669624328613e-06,-2.188117980957031e-06,6.416614055633544e-07,-6.00323486328125e-06,4.488498270511627e-07,5.355483293533325e-07,1.6865323781967162e-06,6.919641494750977e-06,8.515392303466797e-06,-3.408560752868652e-06,-9.129618108272552e-08,1.9102755188941956e-07,4.049995899200439e-06,-1.0032196044921875e-06,-1.9802019119262693e-05,4.478425025939941e-06,5.443094253540039e-06,5.1186900138854974e-06,9.105092883110046e-07
sub-01,compass_04s.jpg,2775.72,2775.72,-9.583401679992675e-06,-3.9417660236358644e-06,-6.967626094818115e-06,-5.024913787841797e-06,7.363262176513672e-06,-1.8465055227279663e-06,3.9192633628845215e-06,7.740724563598633e-06,1.6262420654296875e-05,-3.77877140045166e-06,4.969730854034424e-06,2.357623100280762e-06,-2.2925491333007813e-06,4.847553253173828e-06,1.4226548194885254e-05,7.2027125358581536e-06,6.597037315368652e-06,-9.050709754228591e-08,-5.137570858001709e-06,2.3895013332366943e-06,1.8257255554199216e-05,-5.374434947967529e-06,-2.9416399002075195e-06,-4.719141483306884e-06,6.9840121269226075e-06,-3.201657831668854e-07,-6.932113170623779e-06,-5.294889450073242e-06,-3.534938812255859e-06,-4.839303016662598e-06,-8.91398525238037e-06,-4.313124179840088e-06,-4.255691051483154e-06,-2.1396775245666505e-06,3.4452581405639648e-06,-1.900271415710449e-06,3.7556469440460203e-06,1.4463757514953612e-05,3.6212971210479734e-06,4.912598609924316e-06,1.2622011184692382e-05,3.249789237976074e-06,4.119767189025879e-06,1.1204970359802245e-05,7.91106653213501e-06,5.265360832214355e-06,-4.168535709381104e-06,-7.81777286529541e-06,-4.962407112121582e-06,-3.633994460105896e-07,1.3780745267868042e-06,-2.4697282314300537e-06,-3.4143559932708737e-06,1.3772302865982055e-07,-6.1202692985534665e-06,-9.363578796386719e-06,-1.004064440727234e-06,-4.462217807769775e-06,-6.174450397491455e-06,-4.357238709926605e-07,-1.98066463470459e-05,-3.358340263366699e-06,-3.773895978927612e-06,-7.366712093353271e-06
sub-01,corkscrew_01b.jpg,1636.09,1636.088,0.0001836243438720703,8.572229385375976e-06,1.9365381240844725e-05,4.036046981811524e-06,-3.173647308349609e-05,-9.45224380493164e-06,-1.618377685546875e-05,-2.1214162826538084e-05,-1.458240795135498e-05,-2.419381332397461e-05,-1.9197498321533204e-05,-2.4621410369873045e-05,-1.8964218139648438e-05,-2.5168584823608398e-05,-1.4847207069396972e-05,-2.5610916137695312e-05,-2.3359058380126953e-05,-2.1891651153564453e-05,-1.9097763061523436e-05,-2.8446420669555662e-05,-5.45251989364624e-06,-1.9090009689331055e-05,-2.5062955856323243e-05,-1.977572441101074e-05,-2.1650054931640624e-05,3.6603202819824215e-06,2.8053173422813416e-07,-2.3174287796020507e-05,1.2751123428344726e-05,4.297013092041016e-05,0.0001277290496826172,0.00012562860107421874,6.327966690063476e-05,3.912987899780273e-05,6.3624477386474606e-06,3.351252365112305e-05,-1.01959228515625e-05,-1.0187979698181151e-05,-2.0518692016601563e-05,-1.9097244262695313e-05,-1.0970359802246092e-05,-1.9948060989379884e-05,-2.024231147766113e-05,-1.9909389495849607e-05,-1.8616153717041014e-05,-2.2657638549804687e-05,-2.0042053222656248e-05,-2.6619764328002928e-05,-1.8085733413696288e-05,-2.2343820571899413e-05,-2.449482536315918e-05,-1.8981151580810546e-05,-2.2160085678100585e-05,-1.134763240814209e-05,-1.931269073486328e-05,-1.9274784088134764e-05,-9.691396713256835e-06,1.2911332130432129e-05,3.205876159667969e-05,0.00011750972747802734,4.3195377349853515e-05,1.142819046974182e-06,-1.7358867645263672e-05,-2.2880910873413084e-05
