region,x,y,z
V1,-13.2,-76.5,7.5
V2,-11.1,-70.4,10.2
V3,-9.3,-66.1,11.9
V3A,-12.8,-61.9,13.9
V4,-7.8,-57.8,13.1
V4t,-9.6,-54.7,11.8
MT,-22.4,-59.7,1.8
MSTd,-21.6,-53.1,13.6
MSTl,-20.9,-50.2,12.3
LIP,-18.7,-41.9,25.4
VIP,-22.1,-34.8,24.2
PIP,-17.4,-35.8,15.4
PO,-16.5,-32.2,19.8
FEF,-10.4,15.1,27.4
46,-8.1,31.9,25.9
7a,-17.2,-37.1,31.5
7b,-18.9,-32.7,27.8
SMA,-4.2,6.5,32.2
6,-12.6,-10.7,31.9
4,-17.1,-21.5,28.1
3a,-17.6,-31.5,24.8
3b,-18.9,-33.1,23.6
1,-18.3,-27.9,24.1
2,-19.1,-29.7,22.9
5,-18.4,-23.8,25.6
DP,-18.1,-48.5,17.3
MDP,-15.8,-45.7,19.1
MIP,-17.9,-39.1,21.2
FST,-22.0,-55.2,3.9
AITd,-18.4,-10.2,-14.5
AITv,-19.0,-14.6,-17.2
PITd,-20.5,-24.7,-9.8
PITv,-21.1,-28.5,-11.3
CITd,-17.4,-20.3,-7.1
CITv,-18.1,-22.9,-8.6
VOT,-19.7,-18.2,-12.4
TF,-14.8,-9.2,-11.8
TH,-13.1,-5.9,-9.6
35,-12.0,-3.4,-7.5
36,-11.5,-6.1,-8.2
Id,-23.6,-16.3,12.5
VP,-14.1,-64.8,6.7
Ig,-20.1,-23.9,22.6
STPa,-20.4,-13.6,3.4
STPp,-22.2,-16.8,2.1
Ri,-19.5,-18.7,14.3
SII,-21.9,-26.3,18.9
