canal,x,y,z
FP1-F7,-0.625,0.675,0.225
F7-T7,-0.85,0.275,0.05
T7-P7,-0.85,-0.275,0.05
P7-O1,-0.625,-0.675,0.225
FP1-F3,-0.45,0.675,0.5
F3-C3,-0.5,0.275,0.74
C3-P3,-0.5,-0.275,0.74
P3-O1,-0.45,-0.675,0.5
FP2-F4,0.45,0.675,0.5
F4-C4,0.5,0.275,0.74
C4-P4,0.5,-0.275,0.74
P4-O2,0.45,-0.675,0.5
FP2-F8,0.625,0.675,0.225
F8-T8,0.85,0.275,0.05
T8-P8-0,0.85,-0.275,0.05
P8-O2,0.625,-0.675,0.225
FZ-CZ,0.0,0.275,0.915
CZ-PZ,0.0,-0.275,0.915
P7-T7,-0.85,-0.275,0.05
T7-FT9,-0.925,0.175,0.0
FT9-FT10,0.0,0.35,0.0
FT10-T8,0.925,0.175,0.0
T8-P8-1,0.85,-0.275,0.05
