,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG Fp2,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,MK
EEG Fp1,1.0,-0.05992441143234034,-0.07063757979997504,-0.06471576130247163,-0.05325074837426038,0.001055583825191588,-0.01591117707282509,-0.02164473826062181,-0.07678253155027008,-0.03961511643947857,-0.07440062551002348,-0.05375727749426398,0.0004480080660490468,-0.09578715312158972,-0.09613303511871492,-0.08669860848850028,0.0702411398869251,-0.061048404500779266,-0.028274631263671333,-0.07929072971048252,-0.07713416417059078,0.028559354530708805,-0.031523979814674793,-0.06171297603189758,-0.060981186130109964,-0.041343090912095884,-0.10269654332780456,-0.07613214281438369,0.014103708923312093,,,0.010673178923009927,-0.0006048981690368934,0.04588242540517411
EEG F3,-0.05992441143234034,1.0,0.6015468980979759,0.4826139773173776,0.40511481726509696,0.3114650038268273,0.42752090671072696,0.445358106485124,0.594491069401437,0.6622094218430455,0.48116551082612147,0.5592370372957526,0.3767100105882606,0.28199758709633765,0.4649505736560372,0.4175282499487884,-0.35728172957852283,-0.026265476917689948,0.1126072769556266,0.24625474980700607,0.2993221757008984,-0.016415193975610507,0.04639986631654246,0.14808135698068314,0.20041008468474733,0.039897436283452194,0.36023733341049613,0.09689043227269699,0.16646842713905052,,,0.29754106456421825,0.06410292419056657,-0.022401447610960426
EEG C3,-0.07063757979997504,0.6015468980979759,1.0,0.9485851280101296,0.8580718239482471,0.18148940035558966,0.5585961343773538,0.8022844748214258,0.9356875561494733,0.7615907566643922,0.9555255339430754,0.9122019103225226,0.4661013149081857,0.34749564408158645,0.9184622569575169,0.9068605769756085,-0.6716153642078253,0.08684518139440522,0.44424274501723643,0.7212439783635348,0.7610327407954384,0.03636507674086232,0.33259736484418234,0.5196639616556462,0.46237900512370766,0.3082766298753152,0.8494794876720029,0.4835293911468987,0.3499528528933321,,,0.5321504997186436,0.08751126682720922,0.0019716719592293556
EEG P3,-0.06471576130247163,0.4826139773173776,0.9485851280101296,1.0,0.9383914898713728,0.19766525500193283,0.6047291886513588,0.8498149392299177,0.8639522685883769,0.7192008156235796,0.9761008776361259,0.9208584507562578,0.5132842262683249,0.22583394802260734,0.9002149406714797,0.9552563450634125,-0.6167930731648137,0.11230165446126905,0.4982385464105205,0.8060366913406818,0.8692661570948976,0.13308006871781936,0.4295973473263244,0.6373820742120213,0.4679232948525959,0.3881311557686685,0.8965719304592384,0.5804061689718881,0.4465384621554974,,,0.5999757797562861,0.1141450569975116,-0.008953628398618246
EEG O1,-0.05325074837426038,0.40511481726509696,0.8580718239482471,0.9383914898713728,1.0,0.24210820958853393,0.6321413838856594,0.8806490673477285,0.7649969004136825,0.6657146387282834,0.9228741287177907,0.8533163771540476,0.5657286183594118,0.11191946771748491,0.8252130125739126,0.9311712454508563,-0.5678811421737322,0.14440622430811045,0.45288627137817533,0.8383075403396733,0.9306269929130635,0.22845688869788497,0.526950663143126,0.7423572103000793,0.4475672229774474,0.4652353296389315,0.8745679348668566,0.650449806191844,0.5356858904069884,,,0.6685712115528339,0.14133123992562333,-0.013059943486001395
EEG F7,0.001055583825191588,0.3114650038268273,0.18148940035558966,0.19766525500193283,0.24210820958853393,1.0,0.7166591858192554,0.42695999695536313,0.06828855722536671,0.5992675334276959,0.10990808317415608,0.3340813319660283,0.8245769851713401,-0.3097273837018245,-0.029209509143160048,0.07892671280358197,0.034235662285387686,-0.23757964969201775,-0.10441394257655374,0.01239831940099318,0.1757954082766342,0.21233732649553022,0.12160790871969232,0.16454609628686956,-0.09038866960211506,0.0500383794718811,-0.00703484129785509,-0.002990141449259213,0.31660211540393257,,,0.3852854462105094,0.10064508634932227,0.012757114487684452
EEG T3,-0.01591117707282509,0.42752090671072696,0.5585961343773538,0.6047291886513588,0.6321413838856594,0.7166591858192554,1.0,0.7440203222913274,0.4605188759319442,0.7784917610791565,0.5441612850201242,0.6220637398901651,0.8438254406988279,-0.04162724103073501,0.43311266111305896,0.5193837361668504,-0.3251323774117015,-0.07729160220330321,0.18038931934706456,0.41277907082526905,0.5485015394028092,0.22496040292193228,0.31599895286176083,0.4381831862753297,0.18610652998317267,0.24650346829407915,0.4385814618957172,0.30182406458338007,0.4643984007783758,,,0.5833390078316641,0.12957400443549186,-0.00023532838276353667
EEG T5,-0.02164473826062181,0.445358106485124,0.8022844748214258,0.8498149392299177,0.8806490673477285,0.42695999695536313,0.7440203222913274,1.0,0.6822818872608641,0.7572692958821616,0.8104688236571348,0.8338412010493395,0.7241329913649112,0.04708309515686575,0.6977670382007377,0.7940452095928576,-0.489805447159294,0.06660496827141218,0.3908939597180147,0.6843284048749858,0.8014264406064405,0.24409597557611384,0.4669725344347639,0.6507727607002308,0.34388057069163025,0.4051508230777057,0.7222055389086034,0.5229075836180512,0.5531674243578034,,,0.7118769773656239,0.16700517225148423,-0.004924868368158355
EEG Fc1,-0.07678253155027008,0.594491069401437,0.9356875561494733,0.8639522685883769,0.7649969004136825,0.06828855722536671,0.4605188759319442,0.6822818872608641,1.0,0.6648081677288824,0.9027751920915523,0.7997820214048035,0.31905010652903054,0.5153011629404342,0.9302187490306018,0.853210027662381,-0.6711658736641215,0.122551579812377,0.4450744080919381,0.666985876272987,0.6603726691502079,-0.03089136116788286,0.2628743549601848,0.42215535549039956,0.49805390587008574,0.2543806199390526,0.8163817749003286,0.4258910423108057,0.252588334015339,,,0.4229095063191952,0.0543124887832034,-0.0029511550403006387
EEG Fc5,-0.03961511643947857,0.6622094218430455,0.7615907566643922,0.7192008156235796,0.6657146387282834,0.5992675334276959,0.7784917610791565,0.7572692958821616,0.6648081677288824,1.0,0.667294880081734,0.8064011687120399,0.7512175313771565,0.11092369422047939,0.5728873753763897,0.6059269859318404,-0.4690542231772546,-0.06881000337254747,0.21137673535467388,0.442477679866388,0.5598454708432802,0.09843895365272151,0.2379338198968567,0.39876825515980996,0.23729098316498226,0.20236343706854582,0.5178109914702668,0.2896417501285962,0.3764039447340706,,,0.5696805179457404,0.10934748841390043,0.010804322264301882
