,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,MK
EEG Fp1,1.0,0.27476826020145484,-0.05118509059266845,-0.21565039172755782,0.22562885493012175,0.39384007087032136,0.0063475634066007805,-0.23458316214284622,0.11488498937004085,0.07549300939623253,-0.18461308050037578,-0.10430314791548115,0.16320909251609952,-0.07781449209887081,-0.4265689779418405,-0.29407957751617986,-0.0767039386836826,-0.4425016213829754,-0.3606526430708571,-0.047162795491404924,-0.1714667205963762,-0.2639014279658926,-0.2118330784440547,-0.063822239745311,-0.23461930069382142,-0.03725940958250252,-0.3241274506748791,-0.37965486922322117,,,0.131106098483897,0.0759724935369446,0.14480567933696073,-0.0009932439813359253
EEG F3,0.27476826020145484,1.0,0.051992443207074426,-0.10148944933180058,-0.0320618151115992,0.325110444593482,0.07462468967072818,-0.18821571952777233,0.44024422090398707,0.5012293909148695,-0.04636292231998968,-0.12983018983971598,0.2113450231383223,0.08503656832938786,-0.3386957094834636,-0.30920383956116354,0.0018065100504269071,-0.38062818669905824,-0.3945034873711432,0.19708260894040203,-0.2872384951324097,-0.27852994317833846,-0.07249171861651471,-0.04521228350580345,-0.3508761605674563,-0.06137434836300981,-0.33410420095304477,-0.4300114411093124,,,-0.12659642318310574,0.0728427088217082,0.04882307378917723,-0.005570590803867794
EEG C3,-0.05118509059266845,0.051992443207074426,1.0,0.19755348344672286,0.11295005078072665,0.0016851042351612062,0.06711885706402242,0.09289650830852403,0.12104247538182587,0.10850895978645766,0.21189114348656812,0.01733664287663885,0.05343467458903437,-0.06943612361542124,0.16238943375149714,0.1671697735769773,-0.029920557373499926,0.1012724308758342,0.11603436152045028,0.144912559753185,0.033923486160108325,0.09053922686685319,-0.027341602014137406,0.15273453117343452,0.033783698065601615,0.01964525125050251,0.11492383915299031,0.07902875842864583,,,0.12862158942632188,0.11698821882595738,0.04292659712067679,0.003977599605370146
EEG P3,-0.21565039172755782,-0.10148944933180058,0.19755348344672286,1.0,0.3490602596868579,0.20419836944050915,0.5442612418836237,0.1439143494215901,0.12322519982086219,0.38992763937088315,0.9129509909600827,0.48560627883572927,0.4520736987665144,-0.020356909369027894,0.6446563990229369,0.8342195175414637,-0.2945345570869391,0.41512421869247296,0.7544501683633643,0.17112795000050834,0.11014996261981348,0.44939430155091964,-0.012852329584237121,0.018186037852975307,0.15924020842250122,0.1348869118034692,0.6457746454710886,0.3410854951536344,,,0.3542705264974288,0.004786860350607339,-0.1625163535822437,0.012819902825405285
EEG O1,0.22562885493012175,-0.0320618151115992,0.11295005078072665,0.3490602596868579,1.0,0.19351018396232667,0.2966858849739192,-0.19866234270497973,0.0010133291134355187,0.15438397788843855,0.38444459834158895,-0.007840750106067667,0.25577700947368615,-0.049582224076057835,0.17929120132459503,0.24718991119296577,-0.06835217053499802,0.15591066243341362,0.24932449062364098,0.10649507609575805,0.04252526158688203,0.1840713681858525,-0.017530932599015135,0.03507256234699386,0.08881335427901622,0.06978759229470684,0.23104584910533763,0.1185950890614217,,,0.3994032720247005,0.014335887783109014,-0.18743522061527312,0.0320286979079543
EEG F7,0.39384007087032136,0.325110444593482,0.0016851042351612062,0.20419836944050915,0.19351018396232667,1.0,0.6143150817291542,-0.12606262886371625,0.16012700728041682,0.59373554812758,0.1590252401130808,0.06105296033170785,0.7739871624612855,0.0320502618426666,-0.11894610959574431,0.03224497367522193,-0.16268868149003088,-0.1904855139339712,-0.036288442859450765,0.20923316245959248,-0.12602919384147365,0.009856112225981992,-0.09147378057765347,-0.04831213310710997,-0.1947951305937452,0.01626285968085745,-0.00042027373260708636,-0.2057275732547081,,,0.1364154706188513,0.05691702197847206,0.08251423001402582,0.004243313269562484
EEG T3,0.0063475634066007805,0.07462468967072818,0.06711885706402242,0.5442612418836237,0.2966858849739192,0.6143150817291542,1.0,0.056987475976227935,0.10187513462903,0.5673914090676904,0.4604639748084271,0.287060869113816,0.7889146444173757,0.02680249635998306,0.24294701214243197,0.39021460433689104,-0.16140011099300267,0.19949329487362613,0.406219432236872,0.24977486386611814,0.12055063311344198,0.41298654365716597,-0.0420328212823436,0.014901062645559364,0.1094633039704675,0.06906424976311913,0.4378644128523661,0.22910608469564203,,,0.2452609197072342,0.061271523616787754,-0.09021384982395733,0.011535364523284422
EEG T5,-0.23458316214284622,-0.18821571952777233,0.09289650830852403,0.1439143494215901,-0.19866234270497973,-0.12606262886371625,0.056987475976227935,1.0,-0.03740069352798076,-0.03436145796751114,0.037164623856097194,0.03730051599788516,-0.02485116003932521,0.036342844581783454,0.08212820920662645,0.13248822903784904,0.03587189509292493,0.1402282597018072,0.17783466503772558,0.06986034759885378,0.23662212670888877,0.26283193799695614,-0.054988235613446505,0.019283564795800092,0.1440513395511405,0.022175447282026528,0.2350621795653001,0.30619069444512426,,,-0.08501131414218432,0.18180975570769534,0.04218643197874951,0.0034010980468497077
EEG Fc1,0.11488498937004085,0.44024422090398707,0.12104247538182587,0.12322519982086219,0.0010133291134355187,0.16012700728041682,0.10187513462903,-0.03740069352798076,1.0,0.3010363497612103,0.17393872089397763,0.10206529784652409,0.16615365942875265,0.09288802123996101,-0.017110845809838602,-0.008287921692843713,-0.1984245030764551,-0.1948728271335408,-0.09412660073269986,0.10324763523549724,-0.17508947561520957,-0.07773694420477074,-0.04011788323330729,0.10365637535370809,-0.20238618199137742,-0.007977799488421018,-0.09041858276256028,-0.1778382572728064,,,0.012709060887474723,0.07577506142811795,-0.09828170799391661,-0.010188092460266125
EEG Fc5,0.07549300939623253,0.5012293909148695,0.10850895978645766,0.38992763937088315,0.15438397788843855,0.59373554812758,0.5673914090676904,-0.03436145796751114,0.3010363497612103,1.0,0.37072783073720916,0.1461620191579152,0.580098108608116,0.04158811379167189,0.09000429468447378,0.18266134517685315,-0.1422690273941031,-0.012802736779451068,0.11988403476310894,0.2668053655625634,-0.08552173292137825,0.14552486637176204,-0.058623934800024556,-0.02437868695720708,-0.0890312394674618,0.028917924650265346,0.14247430985551085,-0.07465725752411968,,,0.15432473432820573,0.048759867922468364,-0.035156047510153075,0.0024579456177708466
