,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,MK
EEG Fp1,1.0,0.009803740123514284,-0.033433616276629115,0.027518120768477847,0.012275724368072206,0.004628343556763064,-0.07084576406136425,-0.01133893762902401,0.16155901447508034,0.003827109662199706,0.03571435973111185,0.045300958236742545,0.018122972441759616,0.08720987811964752,0.17186387670829834,0.18067608874299215,-0.008981888457321936,0.054014642391721435,0.036490269733586794,0.2271620662206145,0.025228488881373898,0.04006694284218115,0.15994923017100926,0.2748019667532012,0.19895834850997715,0.17816971408364923,0.029988195793496795,0.0458207672256331,,,0.030683413509368974,0.03850806358604452,-0.04431299467116522,0.020159471001286337
EEG F3,0.009803740123514284,1.0,0.04686707571693739,0.35267200512698743,0.1220454735529963,-0.05534020543072416,-0.03823066791134194,0.1539747226543807,0.02098603518112438,0.3037839408770986,0.5502133255653077,0.5101195335401202,-0.007095173808589933,-0.0692969721523267,0.28120677094556423,0.058999825452300286,-0.24164041389532956,0.21841828676836594,0.1327362359470697,0.06725469649978104,0.008279041485167218,-0.021058332029153862,0.06591121984579712,0.04482057730607627,0.11865939842016027,0.13655526414344257,0.11072801470492533,0.03652191013988262,,,-0.0074191317848285076,0.012361944522912888,0.18844534892997458,0.01914184082174967
EEG C3,-0.033433616276629115,0.04686707571693739,1.0,0.03714414887395543,0.017564811401077785,-0.04748235678077157,-0.12106150478253887,0.00214504760418976,0.3433547262359933,0.12532528145412972,0.0522623699193837,0.0833845561771758,-0.04347515409547024,-0.01284759956799669,0.009264510654576343,0.1692308233111538,0.03528827136522856,-0.015505179165771491,0.0020640008093500335,-0.01629679943574924,-0.035913795759498275,-0.029786295673683946,0.16341236756820168,0.006574943410834978,0.0905178638031081,-0.023503985354606297,-0.014255295475305569,-0.03490696013889192,,,-0.015250742690947559,0.07557427629598391,-0.04821783866306072,0.011660851419799131
EEG P3,0.027518120768477847,0.35267200512698743,0.03714414887395543,1.0,0.8462953068582499,0.5620580733915527,0.21710273066499824,0.8074346811497635,0.030170364117760896,0.4959393658205285,0.9309961136166593,0.7527596649580647,0.4571365059261515,-0.05595950499150495,0.4011220704567959,0.12639969693757278,-0.31496601374453337,0.2978527443967359,0.7575094693472542,0.13984452204446898,0.5120302535099693,0.5274075702973862,0.08435856808978193,0.039469347985420046,0.06179383974162914,0.41943620097435697,0.4168588340031183,0.44121974718448126,,,0.1613312978587542,0.012706939766683486,0.2648722895929661,0.01904628687895239
EEG O1,0.012275724368072206,0.1220454735529963,0.017564811401077785,0.8462953068582499,1.0,0.6045078770144312,0.2526482565335405,0.7245701721385581,0.0038794733089030937,0.4186616567487432,0.730320436336736,0.47040472049719395,0.49033752760265703,-0.02616399777055514,0.33341798050208155,0.1188166494083087,-0.2623702230043211,0.20233195875831522,0.6547075576052797,0.1368808678047894,0.5527312425292159,0.5434908214109365,0.10499694239817965,0.05429750227450228,0.062200966581677807,0.35648666400704193,0.2751727927164862,0.4471992014175642,,,0.18409427129893846,0.027800323542563253,0.3017700478107011,0.01895531961086836
EEG F7,0.004628343556763064,-0.05534020543072416,-0.04748235678077157,0.5620580733915527,0.6045078770144312,1.0,0.4994633508347466,0.5475248024302525,0.015806434245829306,0.44937421579062736,0.4411445925533567,0.1892951237054185,0.8353421507112898,-0.03312883261703528,0.2353921576715347,0.07412756232893608,-0.18985457503945588,0.031987499613291344,0.4543955389776625,0.12383776732022087,0.7720447266077953,0.7077829281244852,0.06246311112710705,0.03160634093756306,0.010314638322144696,0.25738156032537035,0.09596711902606002,0.6683733710825974,,,0.3406910629905671,0.021843840812130734,0.3767240841935087,0.017865457543341474
EEG T3,-0.07084576406136425,-0.03823066791134194,-0.12106150478253887,0.21710273066499824,0.2526482565335405,0.4994633508347466,1.0,0.3005074549495854,-0.05992471843677083,0.11234283652060391,0.1395446572053992,0.022081162040357195,0.4949177793900698,0.04387593204619369,0.1158307751903572,0.10806877194862481,-0.0061420213931062066,-0.026457248625889516,0.19029139535700806,0.09435407669250838,0.41149740896964465,0.3719940265935513,0.050875158005033796,0.043533613412194576,0.12829025786227777,0.14335044763180246,0.026092795605390854,0.3792684452186623,,,0.09389050926280731,-0.0036085555218589235,0.18354032457391617,-0.0020003925225654177
EEG T5,-0.01133893762902401,0.1539747226543807,0.00214504760418976,0.8074346811497635,0.7245701721385581,0.5475248024302525,0.3005074549495854,1.0,-0.030280426734838082,0.40139942492798164,0.6857527552660856,0.6017569019366421,0.45382375443612766,-0.06532873319173237,0.23720464775038944,0.03836367680115313,-0.2597073424539423,0.14939472569771745,0.5762076498458033,0.07848168522296937,0.44201872571944184,0.45309130982251666,0.00020068634084894493,-0.022571023395410495,-0.04686399274035287,0.31954094397136223,0.28671326450250983,0.3383795595739772,,,0.15072803531047876,-0.04923285739846463,0.17271886874165243,0.006019114677733371
EEG Fc1,0.16155901447508034,0.02098603518112438,0.3433547262359933,0.030170364117760896,0.0038794733089030937,0.015806434245829306,-0.05992471843677083,-0.030280426734838082,1.0,0.011204520819523774,0.04508831538257737,0.002482386127009274,0.01249471915990481,0.09116336317689852,0.2112478631482792,0.2523009761430535,0.013747779304039557,0.006548102892930022,0.024275312051494347,0.131431014322143,-0.005334642838555913,0.005088133818811292,0.1805459662176513,0.07434076729934938,0.10077064614461016,0.07683070283552751,2.4119059388608262e-05,0.016027760658789504,,,0.019874612209194127,0.13001934048803004,0.0009526634889189825,0.025754042563664148
EEG Fc5,0.003827109662199706,0.3037839408770986,0.12532528145412972,0.4959393658205285,0.4186616567487432,0.44937421579062736,0.11234283652060391,0.40139942492798164,0.011204520819523774,1.0,0.5021484290286458,0.3485427658968968,0.3634877235714869,-0.0677971520866298,0.19851240227009526,0.03216402087917851,-0.20295408864539705,0.12624537994978408,0.35182138705055926,0.029784273214461972,0.3497705306584788,0.3526159051130465,0.06694145336959648,0.08559873613661673,0.013931913008884172,0.13205971136087746,0.12560689509252126,0.3208400636244208,,,0.14849387742913062,0.026098305981201154,0.2763954019118712,0.011560568743521404
