,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,B,C,D,PLET,61,62,63,64,MK
EEG Fp1,1.0,0.8269617623864299,-0.03427068501411907,-0.32469320524939943,-0.34431179896500147,0.7305855950906253,0.027162451621322508,-0.2254995216096206,-0.007363525120251706,-0.007988919034165888,-0.007049560953762063,-0.006681013092231672,-0.007796060860187276,0.7255307819682193,-0.0913164137949963,-0.009654358698720217,0.35319135251600775,-0.14153683410248769,-0.32756083955302184,-0.34360848905771846,0.22574367288126193,-0.22292203330142527,-0.2903324864304623,-0.0052087685585757324,-0.007832702470537752,-0.009183120338579378,-0.006195388225534902,-0.0042604459700796085,,,-0.0299191990513702,-0.055765678255432244,0.8779191980068725,-0.008796951639534655,-0.004999256829984225,0.05519585594688924,0.041900487750610685,0.04395990804892174,,-0.008039928950669696,-0.006699269169406547,-0.008271422429606195,-0.008620167443041695,-0.03392555693762792
EEG F3,0.8269617623864299,1.0,0.20279074244945478,-0.23876193780735372,-0.22954668261047587,0.8998085644967043,0.3561788103958313,-0.03145162698960841,-0.01772422423448206,-0.018061936088747,-0.01744011602744194,-0.015928858273806402,-0.01725827188706694,0.6214273214251624,-0.17234692835429838,-0.028895619369496583,0.23461647294494986,-0.2037468952725305,-0.33960455522579525,-0.30917656542934874,0.09215055313456029,-0.17513161232197585,-0.22902542967617445,-0.015162843443238578,-0.01746518263712113,-0.018285194240260302,-0.01613611080814398,-0.014447309160193428,,,-0.038830513096840526,-0.061542307556136024,0.6118226229913792,-0.018276649849900566,-0.0152135907332562,0.0430019195190435,0.03451343245176394,0.03548498424960052,,-0.018251751407050893,-0.017480978710111672,-0.017878062513339524,-0.01924597666652061,-0.02350011092734383
EEG C3,-0.03427068501411907,0.20279074244945478,1.0,0.5005286090938936,0.4688481007392628,0.32150466341531847,0.7133621582272042,0.6017313065570522,0.050284642559553686,0.04887894067232369,0.05059583741826154,0.04966524098693499,0.050264439107373216,-0.2783145502303429,-0.2530215540761653,-0.003747686810920573,-0.24828440987657185,-0.09316208107701819,0.11416833011098346,0.2538101628363652,-0.07913350751290187,0.15577704029993536,0.24293693830074067,0.050760598619141895,0.050826536471141395,0.050164495201485935,0.049754507914736755,0.05014314115899803,,,-0.03828748190785039,-0.018326950052585885,-0.1546228438349036,0.04966516941474697,0.04938454189198127,-0.017685617456319223,-0.01799220645401478,-0.03855402629289098,,0.049377508453606805,0.04875757305712947,0.04998657939012157,0.04786097472240561,-0.006338946922350891
EEG P3,-0.32469320524939943,-0.23876193780735372,0.5005286090938936,1.0,0.7813754783024862,-0.14885895967624704,0.3742502135776136,0.6248601169645424,0.002174864786440859,0.0029117610890508753,0.002638900609070549,0.0031805594429348575,0.003604653449946741,-0.3623906779619543,0.04437148356760002,0.02678771413963459,-0.16773775953206368,0.2059435006882077,0.5290930049078502,0.6805448242479699,-0.005383746677270158,0.32632640386126666,0.5210895652751154,0.0017561571496348264,0.004550203831948359,0.0029678306453182752,0.0008643671760037016,0.002639626061512138,,,-0.01158335684624555,-0.013298868356104257,-0.30274872291242033,0.00361123587127801,0.0008225707562397927,-0.026325122934513268,-0.028087730657774996,-0.03049948641537535,,0.0016671993766100108,0.0024047697864195087,0.0028714232541253945,0.002147279332583673,0.0051499954044304614
EEG O1,-0.34431179896500147,-0.22954668261047587,0.4688481007392628,0.7813754783024862,1.0,-0.10882347254714374,0.49531200778761864,0.8521499059072031,-0.007825295508634972,-0.007840379335531184,-0.007055001768002246,-0.007795157209670287,-0.006851895487442543,-0.37561283040383214,0.00883396295612986,0.026919324139572758,-0.1491749651576939,0.22246870977662472,0.5659125560996623,0.7845111582531907,0.04804056191854175,0.42078403336277104,0.6748562933248247,-0.007552723279602394,-0.006502637199656724,-0.0073238809040379,-0.008805185476097753,-0.009197042290694471,,,-0.009528160557118241,-0.0030020208782279584,-0.30183105052880105,-0.007140419407761803,-0.008938379518280137,-0.017117459231488778,-0.01584587237241427,-0.019104615807829763,,-0.008193263054563471,-0.00831850113346568,-0.0076681060998974,-0.00816764921130626,0.006987726945497994
EEG F7,0.7305855950906253,0.8998085644967043,0.32150466341531847,-0.14885895967624704,-0.10882347254714374,1.0,0.5014139158271124,0.0946959805270051,-0.034087794526027206,-0.03410004522650848,-0.033099106494883145,-0.03194416020817876,-0.03282679280006407,0.37856890938936866,-0.2169154926936318,-0.03278815338125371,0.026118146496664482,-0.2772837505335699,-0.29546586070636294,-0.2120284957131948,-0.07388951923314376,-0.1805034637330262,-0.15777217502121405,-0.030494588145294103,-0.0336243234981427,-0.033623785906515616,-0.031953164281234375,-0.030430489284746377,,,-0.027570375213215707,-0.029927745302921284,0.42654081893926016,-0.034670346036380514,-0.030777243361005503,0.023653738595488638,0.01956316524227777,0.029535394034959767,,-0.033554088129031316,-0.033392675388626274,-0.03386350120632332,-0.03494883290925324,-0.03395054543675395
EEG T3,0.027162451621322508,0.3561788103958313,0.7133621582272042,0.3742502135776136,0.49531200778761864,0.5014139158271124,1.0,0.737220224936131,-0.025252222583693026,-0.02539727254857369,-0.023880111540111874,-0.02385105318429161,-0.02404769119985146,-0.15473302103535458,-0.2211574446267826,-0.0212135795194917,-0.148767430744134,-0.064433847181918,0.09979810589422014,0.24751510487626693,0.005834871033189494,0.2500422463459058,0.29763090010680365,-0.023373194211864873,-0.023662871963238637,-0.02370559586613365,-0.024449746735035773,-0.024133249141474404,,,-0.00746805367357955,-0.01209694661699407,-0.1026807063412489,-0.02417194091949362,-0.024133008502858214,0.0010000411886124465,0.0025830447108265995,0.005278371729356248,,-0.024521987160898,-0.025028889813528937,-0.024358441940070575,-0.02569288515849624,-6.484044050333907e-05
EEG T5,-0.2254995216096206,-0.03145162698960841,0.6017313065570522,0.6248601169645424,0.8521499059072031,0.0946959805270051,0.737220224936131,1.0,-0.028687986369382648,-0.02874063024032348,-0.027663757748465752,-0.027993107156951188,-0.027829978967816044,-0.3001166000712314,-0.0857928739220028,0.02175768152854942,-0.14807595817818991,0.0840799330920807,0.34142753109751767,0.5314070555527997,0.057713006630092004,0.37093901789554695,0.5277888281283426,-0.027776018327644935,-0.027105109272541023,-0.027877325645003555,-0.028765014854629956,-0.02937335657369103,,,0.0007306925009789629,-0.006920115401271507,-0.2259822570710519,-0.027610740255492247,-0.028930347763306802,-0.01499249862559671,-0.013082315161803363,-0.0067238483571669914,,-0.02869369670327003,-0.02846541797219061,-0.028217505525890828,-0.02859705293442196,0.004953117236085738
EEG Fc1,-0.007363525120251706,-0.01772422423448206,0.050284642559553686,0.002174864786440859,-0.007825295508634972,-0.034087794526027206,-0.025252222583693026,-0.028687986369382648,1.0,0.9979313455762079,0.9981905365973616,0.997423215270163,0.9982071685997685,0.05680593534575455,0.11495307440018483,-0.20864319191635597,0.08048754016848472,0.1581620927174081,0.05641809213270129,0.006002467230119427,0.018824596602683128,0.027450809801266154,0.006607670449810901,0.9982279087686505,0.9978075460145138,0.9981053494763615,0.9972343346747398,0.9979829037321886,,,0.09811988609818653,0.11712485609127825,0.007302618882574006,0.9971305128336125,0.9979463455099151,-0.28814834085435526,-0.2595612415016228,-0.4912846523420023,,0.9981185965131563,0.9975180110439447,0.9981454530157936,0.9956549304719353,-0.005451708713945622
EEG Fc5,-0.007988919034165888,-0.018061936088747,0.04887894067232369,0.0029117610890508753,-0.007840379335531184,-0.03410004522650848,-0.02539727254857369,-0.02874063024032348,0.9979313455762079,1.0,0.9980396449713478,0.9979970038498241,0.9981030160885012,0.05704239661814793,0.12079761074647623,-0.19808382095684565,0.08087136261285405,0.15857014801244165,0.05706781949511866,0.006171859471834864,0.018491889579776377,0.027920703974826187,0.007386860231055629,0.9978744888703641,0.9978689683849113,0.9980425249651275,0.9977754592424194,0.9980417177462897,,,0.10662157856879038,0.12002584214725434,0.006575327269787859,0.9976164559135526,0.9981811334637762,-0.286695005261498,-0.2588692066766449,-0.4856779576550483,,0.9980183258845502,0.9980126017394889,0.998034315604275,0.9966999887827885,-0.004933618481573752
