,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,B,C,D,PLET,61,62,63,64,MK
EEG Fp1,1.0,0.6392832786497894,0.06503790778286073,-0.188746038696022,-0.1148207676294267,0.6014602648728451,0.19818838145398035,-0.06547194066919865,0.3891747950859724,0.4246660916507762,-0.23603857637562545,0.012147285278492372,0.2823249548905575,0.6070478157421141,0.08636383657125694,-0.2021329931653563,0.3591371591367936,0.07081958018810916,-0.09406035911621434,-0.06941333210469967,0.28958219794549905,0.1172495877948391,-0.028140869580971138,0.23693683910748103,0.2204001556935208,-0.07836490199792435,-0.01066565259474284,0.11900716044953415,,,0.018270144462630013,0.022795082612967657,0.7810220686985189,0.01581643186153388,0.014094133885148692,0.051947237970195674,0.059813987297297526,0.06733335786226764,,0.011935235260748914,0.011158108377925857,0.014231800077029516,0.013062220150125396,0.030346039659626862
EEG F3,0.6392832786497894,1.0,0.4593818400880396,-0.20235497082086157,-0.3081645412550353,0.5342663599966306,0.17437429794673262,-0.12409787646823289,0.7580389898786197,0.5782437809651374,-0.26578683526450325,0.1927954892018509,0.10271813507382846,0.47134691599973233,-0.20449108635001673,-0.4960778868568519,-0.08074115527161674,-0.30886819142921235,-0.35471407440665575,-0.3566390325529181,-0.17633533311426133,-0.2685926271767235,-0.3461564921922504,-0.09710913469327237,-0.21553697996276647,-0.5058955400122513,-0.3590776794715687,-0.28924194955126137,,,0.01240774853286486,0.03344717515025015,0.22503283329871537,0.10780114442269355,0.10747813478735255,0.034320826077204596,0.034153289181202966,0.03143442465678446,,0.10600866701507408,0.10709225494082411,0.10761773972376608,0.10645121256479309,0.0329112093434525
EEG C3,0.06503790778286073,0.4593818400880396,1.0,0.36627761948311593,0.15763387548044136,0.20785770324785194,0.31659210336363813,0.37929134828481653,0.14519200092209383,0.2794494022083157,0.39960870746977867,0.712745261265319,0.31748388918920795,-0.30793745235217895,-0.5846362967958098,-0.18980392633594112,-0.37418651092982513,-0.3404440422061662,-0.15081595645448792,-0.013196190450218482,-0.31547305947552606,-0.2710246252275449,-0.10375918678238912,-0.49620192440672517,-0.3746052903578154,-0.3919850010193786,-0.23550100944996832,-0.1309926565512223,,,-0.006364633119218656,0.02372680773652578,-0.22860316172753462,0.10501258358244658,0.10768169964117381,0.0008322236728331665,4.853613234927051e-05,-0.013375612103407437,,0.1075208523211758,0.10748510532168383,0.10816957728131918,0.10908803583840895,0.024665015637487613
EEG P3,-0.188746038696022,-0.20235497082086157,0.36627761948311593,1.0,0.8474790801585802,0.21223334840496869,0.5965379219451186,0.8939931733457848,-0.541262547059155,0.2878262138421922,0.9174432442370517,0.7713854293865003,0.5289085465544348,-0.6309082428900088,-0.47771887721127426,0.5751330890381189,-0.28741825976108126,-0.06373948900966744,0.44893052881463963,0.660170635059194,0.025644803340102204,0.20648301511245803,0.48645177115233135,-0.42595176679409835,-0.02104782789254902,0.2516754020626598,0.27762991956950706,0.3227895835366666,,,-0.02384108910254549,-0.0725715062430294,-0.25220390864235176,0.0906159207464959,0.09399623288723898,0.05552999858446136,0.055901360732187336,0.0357999189988106,,0.09601955573974258,0.09598804953829584,0.09664632244977325,0.09778856210674454,-0.016879748708420822
EEG O1,-0.1148207676294267,-0.3081645412550353,0.15763387548044136,0.8474790801585802,1.0,0.16742229566968636,0.5681031451237277,0.8850514857701992,-0.5873303494754258,0.1835007034619256,0.7484532855840554,0.5866339863621918,0.6451660047424005,-0.4945659690665524,-0.2421565612941729,0.6703107437413417,-0.039761654155626866,0.18921544981589916,0.6516360406860642,0.889042022677191,0.27332293559498394,0.44959042728035514,0.7482303641340565,-0.17533650318351712,0.2261408303062802,0.49594251797008276,0.5225505556045336,0.5811068765790136,,,0.025980523075428807,-0.0484601876128201,-0.06394327844741914,0.09111359169559345,0.09486210805945874,0.0478555050420356,0.04930674786627698,0.028734288274224373,,0.09650106480889022,0.09592587329840005,0.09761729106887601,0.09741370915291848,-0.006204575684736241
EEG F7,0.6014602648728451,0.5342663599966306,0.20785770324785194,0.21223334840496869,0.16742229566968636,1.0,0.6931461759055746,0.33488021517302907,0.22574914850649214,0.7734231183193783,0.12100935511398879,0.4223027608034528,0.5884066456469141,0.16712235617465368,-0.21464802154042922,-0.08774828271483691,-0.09662478937875772,-0.21478226060580827,-0.037402731751326516,0.07344602109294743,0.042310554097317495,0.0370185917423267,0.01911682372239664,-0.16435153133984445,-0.016238512393104993,-0.17281517587108686,-0.10196982233887719,0.0640822077115332,,,0.01660278766124332,0.08383995237532973,0.2299412812805716,0.12960399178601628,0.13135729566702026,-0.0009574105865744416,0.007030506381974396,-0.0007119617005461315,,0.12987387540040132,0.12877917740744305,0.13065415120203946,0.12981059245943724,0.002709557084983747
EEG T3,0.19818838145398035,0.17437429794673262,0.31659210336363813,0.5965379219451186,0.5681031451237277,0.6931461759055746,1.0,0.7570747626848695,-0.18429620028444865,0.6949332214840445,0.5043176008531857,0.6759037146059305,0.8048551374415385,-0.29249058497608416,-0.3535584213853445,0.1820361866638458,-0.2137568232248894,-0.15912089166179577,0.1787031141260987,0.4014433461517825,0.045545054990756166,0.14104829364562765,0.2864058567710291,-0.3381268821117001,-0.0033031862440967073,0.011213888992576837,0.07592544003582524,0.2866042996140064,,,0.0035096173373574415,0.03339429085703657,-0.03802376251581497,0.08931347395529611,0.09191100813794563,-0.009265517289061012,-0.005257236780141343,-0.01978309278236075,,0.09042072040845463,0.08968127918862139,0.08994728631313885,0.08917870662857623,0.004210663536616117
EEG T5,-0.06547194066919865,-0.12409787646823289,0.37929134828481653,0.8939931733457848,0.8850514857701992,0.33488021517302907,0.7570747626848695,1.0,-0.47756130975155464,0.39878142525440063,0.7839535104628296,0.8086521908561695,0.7316689961802619,-0.5655212903267334,-0.4184811472138842,0.43943806878358826,-0.2228270479381626,-0.032495669461730305,0.3997352829791896,0.6852405912395146,0.0784670143630107,0.24912997510386328,0.5314936997085629,-0.39044233246438115,0.030369302909069886,0.22487918773241167,0.2800487848858271,0.4219801295696618,,,0.011088630381982024,-0.004131530007586265,-0.15805805797023845,0.07828644732371225,0.08152880993340332,0.0011994679473352663,0.0022276881433513462,-0.015297607854158993,,0.08053217492911473,0.08070180500269358,0.08099301237261188,0.08099573262254715,0.0002970476574476424
EEG Fc1,0.3891747950859724,0.7580389898786197,0.14519200092209383,-0.541262547059155,-0.5873303494754258,0.22574914850649214,-0.18429620028444865,-0.47756130975155464,1.0,0.2195946774657408,-0.6129061016751108,-0.21414573000856874,-0.27077759664635004,0.6221038507156985,0.0484333198741703,-0.6022604353970099,-0.008545467656856622,-0.26264593548779736,-0.4539116793282087,-0.5640256711149513,-0.21054422400998493,-0.32701691146676776,-0.49745469083737937,0.12066421354987701,-0.20845536081841096,-0.5235200343452439,-0.4251416636683638,-0.44046114795191604,,,0.038130750042090426,0.027964247936369632,0.13741316699777578,0.09544600792915488,0.09500279905240744,0.046796226034852395,0.04147958310961867,0.038164934273200155,,0.0952467668920754,0.09471020966662275,0.09646825205424966,0.09580446230139261,-0.009953918212099965
EEG Fc5,0.4246660916507762,0.5782437809651374,0.2794494022083157,0.2878262138421922,0.1835007034619256,0.7734231183193783,0.6949332214840445,0.39878142525440063,0.2195946774657408,1.0,0.20054211644100417,0.5234035118455491,0.5137950584216501,0.037476715590449426,-0.3118578862175787,-0.1172869235905406,-0.20258968745085648,-0.2730234520057215,-0.08047669573717894,0.05307646833116147,-0.09207461581933397,-0.055544456203223694,-0.016293598017854828,-0.28110266334787154,-0.11652073733765539,-0.24934530984626932,-0.15376612567625786,-0.011181367312724134,,,-0.010416796164308247,0.02857511594813017,0.050703448409570806,0.08715152346141526,0.08813089696632373,-0.007399287363832526,-0.005158866085651601,-0.013227816936483887,,0.08675461157128984,0.08738692530912373,0.08734889390669709,0.0862101344561991,0.014753639962864808
