,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,PLET,61,62,63,64,EEG T3,EEG CZ,3,23,33,31,A,B,C,D,MK
EEG Fp1,1.0,0.726051812944564,0.013874866527032246,-0.048961044304135164,-0.2573921697952214,0.5074634400838247,0.013552507215759553,0.2661639872907644,0.2611647491230419,0.0067225818735818545,-0.06855414354582393,-0.17344542095230003,0.16463591963039076,-0.2175090003775947,0.40668006260418327,-0.03191970104405569,-0.07864663445716763,-0.10374666037368496,0.34066015924369414,-0.05653618994047522,-0.22121242142995706,0.24941640519106148,0.055499907420925025,-0.19667227447855776,-0.0851184407119529,-0.35026704112466284,,,-0.09353348202635339,-0.0966332649767672,0.9084262865668397,0.1333119862704867,0.13201522200632626,,0.13233791729634375,0.1339909312119133,0.13290242205107264,0.13395917388779338,-0.02724738186848,-0.06903954742333752,0.13719050166235813,0.1340028912880337,0.14937056686801045,0.1336590668764264,0.014988903974142839,0.07045456914517483,0.08178427589777743,0.07951368463021408,0.0025701865573544906
EEG F3,0.726051812944564,1.0,0.14795488656842304,0.0827334302101222,-0.12031342200319503,0.6166748686075925,0.0261492001672937,0.5535053965583782,0.5454059598184753,0.40208689386528046,0.48383687795049296,0.29054386813666583,0.10259690808895204,-0.003044803818077745,0.3235674828734066,0.2689359464141148,0.07604434965759321,0.08732680614850838,0.3780299453426706,-0.020320492066986887,0.031986166044568685,0.49785531702565816,0.43459789131173837,0.1578211273009195,0.12097036998993194,-0.07713976761854537,,,-0.00475607515391985,-0.020389953489737878,0.701474817763246,0.04693770419511063,0.045978291400057575,,0.04434367559061148,0.047010100991106835,0.04392905062891175,0.045210978984908334,0.32651381983507294,0.1690930558143679,0.0415083426912157,0.04823332614923203,0.03202191542650947,0.048252103304446084,0.05855976910458341,0.3390563925078979,0.3422053548071849,0.3596539291681696,0.001025702774245999
EEG C3,0.013874866527032246,0.14795488656842304,1.0,0.2507301550464466,0.2637914192284131,0.11500663391701452,0.014550179483167901,0.19371255743358434,0.0909824427182367,0.27014456865288516,0.2700877311751998,0.27974401150841194,-0.0568762696578916,0.07469912749924536,0.13261879743836782,0.2385657248733026,0.3646395690942621,0.07450606148817114,0.13914576346359522,0.09275300504467791,0.22454784594865385,0.14010919036529496,0.1257555904150476,0.12864422301266146,0.1126487332313454,0.042817764806119436,,,-0.0035955854987133077,0.03460074064222776,-0.03008529333383626,0.030819959464592737,0.03016281159676571,,0.02628554392171228,0.026321110522478507,0.02670486173763875,0.02722363954303736,0.29907492147627407,0.353958118588232,0.02838473390108294,0.03160809324258636,0.020789848138873735,0.031253980356120516,-0.002848470400048145,-0.12548735586437323,-0.11909701664055522,-0.132211820448987,0.0027994167239377564
EEG P3,-0.048961044304135164,0.0827334302101222,0.2507301550464466,1.0,0.37180774772603714,0.13248804279503212,0.05710799729624786,0.32945448182277565,0.16341604983344213,0.24222359134331214,0.3281482387879572,0.3279974942024289,0.05517978321658278,0.060049606119965855,0.1949907240600649,0.272460761700339,0.19454978750586566,0.23306286881255173,0.15663748570992056,0.3405479877434349,0.32976711045613666,0.1412954486154868,0.31729031969362237,0.24062413875366384,0.31758007628731816,0.2805618258191799,,,0.056609651737384824,0.09540419993798958,-0.10935292191173915,0.10102063026617705,0.10130441791581814,,0.09750594707290455,0.09513862400969136,0.09996122907614158,0.10003104981275891,0.4846377851187934,0.43603542509492943,0.09265719363109087,0.10134547418835307,0.08415101199215339,0.1012293993488174,0.0015021929501383012,-0.17008384288408757,-0.1650857303547099,-0.18511407594723375,-0.013762190709947395
EEG O1,-0.2573921697952214,-0.12031342200319503,0.2637914192284131,0.37180774772603714,1.0,-0.010142767398357904,0.051740098170350676,0.09272722717578713,0.055342617607992105,0.18034576817752865,0.2634277167455088,0.21332018511814585,0.0782946260424336,0.3021924183440514,0.07050475335724235,0.265387308392527,0.18176781773122727,0.39897179191162546,0.01590848681393743,0.17806137370064412,0.41559267572658054,0.03297149351716299,0.18049837683064004,0.34152608993834627,0.24827858480664675,0.2398276411734809,,,0.0971100452197818,0.08281203200746727,-0.2868435536052473,0.04030512912640119,0.04015438080713499,,0.037796438460749975,0.03666092516033125,0.03847337190018463,0.03806364564280711,0.3602105063393229,0.4225468900327431,0.0368015503321583,0.04043736518498695,0.029096080276009826,0.04035975175209075,0.0027873884693383104,-0.2417579529088685,-0.2342186295965795,-0.25463279512754416,0.0024464243409512408
EEG F7,0.5074634400838247,0.6166748686075925,0.11500663391701452,0.13248804279503212,-0.010142767398357904,1.0,0.055772549160726916,0.532423130153213,0.5421289687894236,0.20655256397626812,0.24162383986611494,0.36854144127669436,0.08891794863982992,0.05523345111818162,0.3110151471214422,0.09379457495890367,0.04276844928884142,0.11948203986332769,0.09684183213646037,0.019579308858483763,0.04689085361331153,0.24053177865610093,0.04938202549171255,-0.008470114223390985,0.039223398525589745,-0.14721989968367974,,,-0.017931664930053607,-0.009129266296736648,0.4191991166959651,0.08341625144680563,0.0826536087292588,,0.08061259555669856,0.08024559099287103,0.08199614009699854,0.08323916204181746,0.44915693963777903,0.25350978636795,0.08295203011555367,0.08489513325566041,0.07317937617262166,0.084628840618375,-0.013349665910486313,-0.05261582652320546,-0.04246705599938737,-0.05939156005606233,0.002143261720694364
EEG T5,0.013552507215759553,0.0261492001672937,0.014550179483167901,0.05710799729624786,0.051740098170350676,0.055772549160726916,1.0,0.0517506873462586,0.11254941811176267,0.15786573195888176,0.05030994921638155,0.08616790532526945,0.1843735443777676,0.06713751162047858,0.25000061401908635,0.2665530826517915,0.05939206008807863,0.3337903772792093,0.03399622121176513,0.0764257579558691,0.11017255244896597,0.22576125677638634,0.025199105984907356,0.10384784789967703,0.13230997590341245,0.10096792748675998,,,0.035716891043863594,0.19168212119649922,-0.02081000437439574,0.11293341266333035,0.1106108213611199,,0.1161285434234618,0.11765690180889216,0.11454305598774887,0.11942187989089008,0.09806914941481365,0.14605516172792637,0.14970876788275975,0.11539857164411678,0.1694240742416579,0.11723928533177631,-0.11870900113144221,-0.040244351851623936,0.01762314359511549,-0.009923976440376257,-0.0002553383153418696
EEG Fc1,0.2661639872907644,0.5535053965583782,0.19371255743358434,0.32945448182277565,0.09272722717578713,0.532423130153213,0.0517506873462586,1.0,0.4570682737392881,0.47062413347741566,0.5399060953001051,0.35872814323167634,0.03224823947154346,0.17512220786952298,0.2431049270315051,0.3680083879183198,0.211994836868537,0.2339325905017169,0.3085646183718029,0.04233814116474625,0.2447889635644711,0.4235934428410465,0.48118858392168845,0.27823522205392665,0.19261828759799324,0.2262352384441827,,,0.045018046694125395,0.031980208416520106,0.22473255362457953,0.10532228481551667,0.10480610408851469,,0.10193471070047673,0.102828673488318,0.10163746722043106,0.10241055762004746,0.4059327366966605,0.34718068559064796,0.09580824332934366,0.106984795293242,0.08171550241552168,0.10700528937762674,0.039100079172359775,0.1709219240385052,0.18231280945066924,0.1883098083407112,-0.00012820433727932877
EEG Fc5,0.2611647491230419,0.5454059598184753,0.0909824427182367,0.16341604983344213,0.055342617607992105,0.5421289687894236,0.11254941811176267,0.4570682737392881,1.0,0.4845402952932765,0.5333147890068876,0.5106844281360317,0.09146630023292886,0.24220175669871877,0.21734866684278079,0.32290811412641324,0.17386389713087974,0.2582887377903815,0.16151682901677725,0.14124406653993224,0.2850378245112743,0.39587662962324466,0.32875640913611603,0.23879945659852375,0.2954513548052338,0.1490387131934032,,,0.07260353608680621,0.09229863138368474,0.19272722095737693,0.09257032624162749,0.09119410214168723,,0.08797002810040219,0.08755852673987888,0.08869705755162434,0.08980223864702916,0.543465655250884,0.41584605457391416,0.09324012310170418,0.09483496933255052,0.07681598600220314,0.09424389727804248,-0.008304186841665236,0.06123269297650663,0.07449048805690615,0.06686332747989704,-0.004201716951927738
EEG Cp1,0.0067225818735818545,0.40208689386528046,0.27014456865288516,0.24222359134331214,0.18034576817752865,0.20655256397626812,0.15786573195888176,0.47062413347741566,0.4845402952932765,1.0,0.6661299353554346,0.5506113974800184,0.09117170837175373,0.28632267084164276,0.06809924805361535,0.4322251905369877,0.26601521822589086,0.3315418869717201,0.32701512979337044,0.13984680134564081,0.34439117679909753,0.4698722505544918,0.5413609683634961,0.3937998883543754,0.32117504910382877,0.3325983067470483,,,0.08966023575523634,0.12013784661759945,-0.020741498217276187,0.09002502420681308,0.08861963269784046,,0.08425675191959019,0.08585621735185281,0.0833349758370297,0.08484066367740146,0.44948867901746276,0.4228885426559019,0.10326345011927847,0.09323167404743517,0.075597986286996,0.09251495969054432,0.020129316470682983,0.22963288642041277,0.2533589078353801,0.25358126620498844,0.005595467397331791
