,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,PLET,61,62,63,64,EEG T3,EEG CZ,3,23,33,31,A,B,C,D,MK
EEG Fp1,1.0,0.2645916455198686,-0.13757576335914343,0.022254574015874974,0.23668582324264345,0.5622195425987194,0.2354995722670917,0.05988858402281802,0.447230989548518,0.006267853081784807,-0.05999161331753447,0.5448677341397743,0.15182344727217992,0.05510054803348885,-0.06624859283332477,-0.2452571511904418,0.08483313787423682,0.06339873581211959,0.4166762443892476,0.42126254855006934,0.2884712306514881,-0.026845810951176767,0.33639258809045236,-0.058487026273087515,-0.12743246313179388,0.4035211418786462,,,0.22633367648936595,0.23135755618053,0.8437542719479199,0.21854124988868862,0.21581051132647755,,0.19990170881208957,0.20042316434516155,0.19703897392353475,0.19647260698184707,0.4259756525750372,-0.03180644817108317,0.21669459254328657,0.22157731691250704,0.1998789583159379,0.22096936095102557,0.12195501710206484,-0.0421097875243984,-0.015653693471235935,-0.06803627586967433,0.028113762910091638
EEG F3,0.2645916455198686,1.0,0.49247560316634803,0.11260398478201382,-0.056113917901676275,-0.14968408324003177,0.0007183878689003123,0.5679131591902966,0.09144725758419778,0.07193718692945893,0.3408675803614862,-0.03298108540066557,0.09823351979868714,-0.13669860562617228,-0.09246133875308035,-0.2349126317423603,-0.1659474271454068,-0.05618646668057526,0.12636056830006434,0.07938199963262003,-0.03222224979207027,-0.1041548714396066,0.08093194725790924,-0.22959527446726674,-0.20553371238859694,0.027428113216072747,,,0.05839183014143519,0.07350757919455043,0.14446337240279997,0.01777225747813439,0.01693765754380183,,0.007371388253780877,0.007204670539070781,0.00591281186771033,0.005652892053397781,-0.1618990473961321,-0.12027861787687162,0.019523292363638447,0.02073164796961008,0.012940787133831788,0.020204443513551246,0.014696073788331668,-0.010036893159888793,-0.006080742908169633,-0.0006848245305732696,0.007318594439190809
EEG C3,-0.13757576335914343,0.49247560316634803,1.0,0.5033072683999545,0.05103580577409086,-0.5136318851144591,0.04501441872549292,0.5947488900782477,-0.3792491788801516,0.25989907588314726,0.8097154591207795,-0.33563902155599656,0.00201941366247086,0.18870845552221788,-0.15014464619523205,0.025096164163523553,0.03539541230929281,-0.01885010475863762,-0.1323978452684625,-0.14846113193137533,-0.047125060713895814,-0.06594821724169878,-0.11706914724593896,0.0875466302997819,0.03622857242638744,-0.1047001839756491,,,-0.05660462403994446,-0.02390469522818416,-0.17856231152134486,-0.023347680221367288,-0.02232913468437581,,-0.018078039272220188,-0.018327262037827436,-0.017665033467706367,-0.018450475320148527,-0.563940420839359,0.22876311266455474,-0.02177384739812249,-0.02328810190739283,-0.015600903157770794,-0.023546182642295493,-0.08296034494639186,-0.028480983904664053,-0.025943928143659273,-0.021029897300084976,0.006562531855449858
EEG P3,0.022254574015874974,0.11260398478201382,0.5033072683999545,1.0,0.6160144620627896,0.050082062629598544,0.4565291470126391,0.3208793303398405,0.07906836059277808,0.2991213716268779,0.7044086434259176,0.22810270684696493,0.15080289814024678,0.7030659672506342,-0.22943306846360798,0.06521681854582158,0.5457922994103297,0.16262745381480662,0.21287972021936988,0.27209826957087785,0.3191514170043961,-0.09365283278853946,0.2529046509683645,0.48463933146573235,0.21211059160111645,0.2668604801645095,,,0.09981892491490112,0.2155446771917328,0.054165295271808425,0.19228208454043927,0.19285656431194634,,0.20515096973965224,0.20431376117237982,0.20519887250041263,0.204589284829108,0.10076657685964205,0.5522642461315047,0.18999929699310916,0.18785824322534989,0.20059286374246565,0.18768261543675166,-0.1175218160401796,-0.1325083876262178,-0.10093652049362019,-0.18005750800039572,0.002020604012786428
EEG O1,0.23668582324264345,-0.056113917901676275,0.05103580577409086,0.6160144620627896,1.0,0.4367854693516756,0.6971269699576911,0.008070363428049149,0.3730784176472738,0.1633329181416713,0.29984373198888253,0.5585394798606265,-0.005645460742126973,0.7646950495141375,-0.1747334761971096,0.03741874007767736,0.7324022110260678,0.1398734708151369,0.42712569023849234,0.5305413597551422,0.6279084844274542,-0.0790059825587716,0.4751955724383345,0.5267733295228815,0.23280493646338363,0.4840655395502185,,,0.2193908559371874,0.3401514362259445,0.2998371642113607,0.07263647944257424,0.0720190160491548,,0.07523141924025632,0.07609834427691242,0.07560685048093696,0.0766888786914133,0.5097270476309442,0.46437137433418385,0.06958262591899318,0.07061590033527694,0.07027527989301907,0.07031932864290089,-0.07645067974860809,-0.009015347536841542,-0.010824665415739504,-0.03151135893331089,0.005727308816651908
EEG F7,0.5622195425987194,-0.14968408324003177,-0.5136318851144591,0.050082062629598544,0.4367854693516756,1.0,0.39051655620364784,-0.26497857079148424,0.7544087193702153,-0.07395321282651626,-0.2321743610528861,0.8313670874942043,0.08203145915819676,0.23389100260080703,-0.10214537372589748,-0.21105893968586933,0.28956980875728494,0.08379806333213752,0.5549676971455535,0.5989949753254213,0.3954040646595788,-0.10613491193070344,0.5308165968823375,0.11317456939347122,-0.053618928935345936,0.4904959562656934,,,0.26672221661281165,0.348331979996154,0.5656135488684397,0.09905089633169718,0.09652114762457525,,0.08942731245353634,0.09074475958201411,0.08873372243745353,0.09030881468240128,0.8825422637280731,0.03327486884608991,0.09508820916685813,0.09869527103815377,0.08448544251155055,0.09843787543990684,0.018206177385436374,0.006649229084869441,0.008737435659980803,-0.005279677914433559,0.015990750135927833
EEG T5,0.2354995722670917,0.0007183878689003123,0.04501441872549292,0.4565291470126391,0.6971269699576911,0.39051655620364784,1.0,0.06392551887954566,0.3316053265938832,0.12942935299841737,0.23685643707039195,0.48683762236283534,0.23563973839254138,0.5373775781952531,-0.17256199269445466,-0.03795267185832695,0.4627839627014746,0.22460638379948758,0.32351600534464575,0.403685149717559,0.47651661974945736,-0.024221607913750397,0.35992564686569073,0.32149342072782605,0.1471537973237563,0.3771565371541242,,,0.18410855381126612,0.30719796472183086,0.25078225739780147,0.21094414748973833,0.21164541323545666,,0.21175063099722122,0.21349082659729254,0.21527614222867722,0.2177845725482882,0.44336314862133097,0.2668766582919803,0.21167655292225365,0.21004454364406433,0.2178367635646668,0.21000425043801338,-0.0885190973635543,-0.13417863276117076,-0.12010315075391613,-0.19231326204552204,0.02558390061747343
EEG Fc1,0.05988858402281802,0.5679131591902966,0.5947488900782477,0.3208793303398405,0.008070363428049149,-0.26497857079148424,0.06392551887954566,1.0,-0.15684414420542733,0.15185639252402577,0.4360080416973436,-0.1728262328618002,0.11087330056204088,0.040641627236877906,-0.16890979764762873,-0.14103613769390266,-0.09271979520199254,0.06287314311168955,0.014416425846069161,-0.02102055267667902,-0.04157035866458923,-0.04677310563636834,-0.024319000711465078,-0.11718838084379893,-0.11500091881028332,-0.031255988649451345,,,-0.02299229489951323,0.02178127749418005,-0.032467090462026435,0.10783739122174325,0.107331856211041,,0.10560917562792418,0.10471510957943764,0.10378438209334369,0.10254625663659099,-0.3119538366528607,0.1589989091387412,0.10854405052994336,0.10816874177609431,0.10681804150761855,0.10805794507746179,-0.013859582083547413,-0.06447060278458182,-0.03729698220630209,-0.08654351922519622,-0.004522494751007447
EEG Fc5,0.447230989548518,0.09144725758419778,-0.3792491788801516,0.07906836059277808,0.3730784176472738,0.7544087193702153,0.3316053265938832,-0.15684414420542733,1.0,-0.03960749125008721,-0.11341432770108281,0.6004809624835887,0.08401711853529228,0.18103257418712135,-0.07440715337948375,-0.18330508272282126,0.22210338503144963,0.05579636829977272,0.5055394704130515,0.5335085852281809,0.3255217038203872,-0.08853984405543094,0.5371923031554274,0.06909315116812605,-0.07453712959437579,0.3524357507209467,,,0.22628819203033568,0.31947048593561694,0.42605279963184334,0.09184516450783968,0.08953663466567341,,0.08467379469338436,0.08565815226754288,0.08403603564815466,0.08656671444369687,0.7579161490140994,0.0029397938081557333,0.08744396234824614,0.09051415730126758,0.07914940106411535,0.09026878529358456,-0.008461496507941335,-0.009546474633817767,-0.005115196820308632,-0.011819641216338576,0.005999454685015125
EEG Cp1,0.006267853081784807,0.07193718692945893,0.25989907588314726,0.2991213716268779,0.1633329181416713,-0.07395321282651626,0.12942935299841737,0.15185639252402577,-0.03960749125008721,1.0,0.2603769654077607,-0.0026084915959006458,0.07558658831139568,0.2788710292406715,-0.07627273602356265,0.039819006824902546,0.14691177051653456,0.08150205694963394,0.02850226503716458,0.04025111252373397,0.06287712177354961,0.11511809500010993,0.04336708827102778,0.12477785425896391,0.0662320625686299,0.045861545510664105,,,0.007430497346726515,0.05289108316969821,-0.017251076778394107,0.24579258807390802,0.24721323380821295,,0.2580122831246828,0.2580653702133264,0.26003366861162547,0.2605646803068476,-0.05873475124721965,0.2573112751861869,0.2446816713577571,0.24182296735205652,0.2583753982265382,0.24219456038129236,-0.06755458867353313,-0.18503740738885752,-0.14126209245181023,-0.23788784573118985,0.0014226905823935074
