subject,stimname,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,apple_01b.jpg,-0.000237205,-3.57E-05,-5.33E-05,-4.70E-05,4.1309013366699214e-05,-2.03E-06,-2.79E-06,1.6285301208496094e-05,3.9801795959472656e-05,4.869093704223633e-05,2.6300458908081053e-05,2.7893756866455077e-05,2.8704072952270508e-05,3.042172813415527e-05,4.730823135375977e-05,3.339010620117187e-05,3.262996673583984e-05,4.1915863037109376e-05,2.357722282409668e-05,5.207551956176758e-05,5.6724407196044916e-05,2.8201704025268554e-05,2.4946964263916013e-05,1.4362141609191894e-05,4.814513397216797e-05,4.98998908996582e-05,1.5127226829528807e-05,-1.42E-06,-2.19E-05,4.1721567511558533e-07,-0.000184821,-0.000199215,-0.000101551,-9.37E-05,-3.93E-05,-6.70E-05,1.0044442176818848e-05,-4.18E-06,1.5724682807922363e-05,1.434356117248535e-05,3.9729511260986324e-05,2.4638036727905273e-05,2.8973337173461913e-05,3.658533477783203e-05,4.191968536376953e-05,2.8496932983398437e-05,2.300276947021484e-05,2.175260543823242e-05,4.578810119628906e-05,3.4035354614257814e-05,2.811699867248535e-05,2.9354124069213867e-05,2.310861587524414e-05,5.088122940063476e-05,2.0631166458129882e-05,1.784930419921875e-05,2.9736716747283932e-06,2.7464387893676756e-05,-1.56E-05,-0.000117169,-6.39E-05,-2.45E-05,-8.11E-07,1.9484415054321287e-05
sub-01,apple_02s.jpg,-8.16E-05,-1.16E-05,-1.80E-05,-1.81E-05,1.2736829757690428e-05,8.687915205955504e-07,1.0345144271850585e-05,1.245773696899414e-05,4.718727111816406e-06,3.169231033325195e-05,5.555726051330566e-06,2.625215721130371e-05,2.4788408279418944e-05,1.695197296142578e-05,-8.27E-06,5.270619869232178e-06,1.2588557243347168e-05,1.9943602085113525e-06,3.3259558677673337e-07,7.694116592407227e-06,2.2992055892944335e-05,-1.82E-06,2.0586904525756835e-05,1.0686985969543456e-05,1.0020788192749023e-05,1.5943926811218262e-05,6.180962562561035e-06,1.1478670120239258e-05,-1.19E-05,-3.48E-06,-6.72E-05,-7.23E-05,-3.24E-05,-2.16E-05,-1.08E-05,-2.31E-05,1.6951777935028075e-06,4.266757488250732e-06,1.582484245300293e-05,6.536106586456298e-06,-1.61E-05,1.734025764465332e-05,2.2667665481567383e-05,1.0760543823242186e-05,-4.47E-06,1.1090087890625e-05,1.1497467041015625e-05,1.3863965272903442e-06,7.634497642517089e-06,-2.04E-06,1.7067527770996093e-05,2.1280399322509764e-05,8.547675132751465e-06,-1.63E-06,-4.94E-06,1.5833523750305176e-05,8.386653900146484e-06,8.413367271423339e-06,-2.33E-06,-4.89E-05,-2.20E-05,-7.15E-06,9.162766456604003e-06,2.027482223510742e-05
sub-01,apple_03s.jpg,-3.88E-05,-8.78E-06,-1.12E-05,-1.98E-05,-2.42E-06,-7.12E-06,5.332834720611572e-06,-1.79E-06,2.1053698062896727e-06,1.736406326293945e-05,-1.45E-06,4.4970293045043945e-06,8.462153434753418e-06,9.574967384338378e-06,1.1236354827880859e-05,2.088351249694824e-05,1.2193838119506836e-05,6.6566424369812006e-06,7.140807628631591e-06,-7.33E-06,-1.81E-06,3.0067738890647885e-07,7.237757682800293e-06,-7.39E-07,8.62408447265625e-06,1.753340148925781e-05,6.398299694061279e-06,7.665353417396545e-07,-2.32E-06,6.866689205169677e-06,-2.12E-05,-4.77E-05,-2.27E-05,-1.31E-05,-6.94E-06,-1.90E-05,-1.18E-05,-1.30E-05,3.2157392501831055e-06,-9.32E-07,3.4951093196868893e-06,3.5507590770721435e-06,1.0351263999938965e-05,8.69701099395752e-06,1.564244747161865e-05,1.4146162033081054e-05,1.669851303100586e-05,1.4192347526550293e-05,1.002608299255371e-06,-5.85E-07,1.1342117309570313e-05,7.565701961517334e-06,2.4268975257873534e-06,-1.17E-06,8.296536445617675e-06,-2.27E-06,3.387831926345825e-06,1.1394865989685058e-05,2.4987318515777586e-06,-2.25E-05,-4.82E-06,1.013788104057312e-06,-1.39E-06,4.477308988571167e-07
sub-01,apple_04s.jpg,-0.000108926,8.000600814819335e-06,-1.04E-05,-2.11E-05,1.3745917320251465e-05,-2.91E-05,-1.36E-06,-5.72E-06,1.6476194381713866e-05,4.112921905517578e-05,9.507288336753845e-07,1.3159673690795897e-05,1.2714516639709472e-05,1.2868330478668212e-06,4.154020845890045e-07,2.736895751953125e-05,7.387304782867431e-06,-4.64E-07,9.315228462219239e-06,2.7280248641967773e-05,9.530463218688964e-06,6.14622974395752e-06,1.3047863006591796e-05,1.0272881507873534e-05,2.076850891113281e-05,3.224268341064453e-05,1.717011260986328e-05,1.597249984741211e-05,-1.18E-05,1.2814829349517822e-06,-6.20E-05,-7.95E-05,-3.63E-05,-2.64E-05,-1.39E-06,-4.04E-05,1.0545732975006103e-06,-9.40E-06,1.1245473861694336e-05,-1.04E-05,1.7787373065948486e-06,1.849088817834854e-07,6.169667243957519e-06,2.9303884506225584e-06,7.506511688232422e-06,4.971125602722168e-06,7.2529931068420406e-06,6.954489707946777e-06,8.614683151245116e-06,1.0546567916870117e-05,1.0833294868469237e-05,1.248334789276123e-05,8.90141487121582e-06,1.9242122650146485e-05,1.316545295715332e-05,1.8257139205932617e-05,1.0274995803833007e-05,2.2534496307373045e-05,8.745575904846191e-06,-5.33E-05,-2.88E-05,5.039141178131104e-06,1.357906436920166e-05,1.8728126525878907e-05
sub-01,avocado_01b.jpg,-1.43E-05,-7.50E-06,1.6452670097351073e-06,3.7461605072021485e-06,3.0010323524475097e-06,9.517220497131347e-06,-4.77E-07,-8.55E-07,2.581994295120239e-06,9.45185661315918e-06,9.457242012023925e-06,-2.16E-06,2.361950635910034e-06,8.634507179260253e-06,1.7076141357421876e-05,4.0948667526245115e-06,-9.20E-07,1.706334114074707e-06,-6.99E-06,1.6877205371856688e-06,1.8120595932006835e-05,-1.03E-05,-3.52E-06,-1.09E-05,2.94322509765625e-05,-2.17E-06,-1.02E-05,-9.41E-06,-1.43E-05,-2.77E-06,-6.63E-06,-1.79E-06,6.795478820800781e-06,-8.24E-06,-4.93E-06,1.9222105026245116e-05,2.355079650878906e-06,4.382459819316864e-07,-2.83E-06,9.04398250579834e-06,2.218377590179443e-06,5.317134380340576e-06,3.631201028823852e-06,9.089696884155274e-06,1.3883950233459473e-05,6.603745460510254e-06,-1.73E-06,-4.39E-06,1.6480356454849242e-06,-7.30E-06,-8.45E-06,-4.69E-06,-1.05E-05,5.335010528564453e-06,-1.77E-05,-4.78E-06,-3.01E-06,-1.73E-08,7.696463465690613e-07,-5.13E-07,-5.86E-06,-8.32E-06,-4.78E-06,-5.60E-06
sub-01,avocado_02s.jpg,-0.00016973,-1.06E-05,-3.40E-05,-4.36E-05,2.624515724182129e-05,-4.75E-06,8.138795852661133e-06,9.119068145751952e-06,1.55527286529541e-05,5.464864349365234e-05,1.7665964126586914e-05,1.8990545272827148e-05,1.2107297897338866e-05,1.7157121658325194e-05,1.639777374267578e-05,1.1240041732788086e-05,1.7244979858398436e-05,2.3213172912597655e-05,1.4923778533935545e-05,1.6472782135009764e-05,3.077980041503906e-05,1.4034736633300781e-05,1.5882796287536622e-05,1.7396528244018552e-05,1.8891397476196287e-05,4.277748489379883e-05,2.759104347229004e-05,1.0952809333801269e-05,-1.02E-07,1.369481086730957e-05,-0.000120887,-0.000148516,-7.10E-05,-4.44E-05,-1.60E-05,-3.98E-05,-8.36E-06,-2.01E-06,1.5080550193786621e-05,1.8317195892333985e-05,2.67681827545166e-05,1.583938980102539e-05,1.6396076202392578e-05,2.0616931915283204e-05,-4.38E-06,1.041673755645752e-05,1.4708512306213379e-05,3.3653211593627927e-06,1.8494016647338865e-05,7.632306575775147e-06,1.4549946784973144e-05,1.7749252319335936e-05,1.799582099914551e-05,1.1130232810974121e-05,2.5057939529418946e-05,2.3884660720825193e-05,1.928627014160156e-05,3.148828887939453e-05,8.812448501586914e-06,-7.63E-05,-4.53E-05,-3.05E-07,1.4710955619812011e-05,1.6587163925170898e-05
sub-01,avocado_03s.jpg,-0.000185815,-2.22E-05,-3.44E-05,-6.22E-05,2.232992935180664e-05,-3.11E-06,-8.62E-06,1.1856958389282226e-05,2.015631866455078e-05,1.5119749069213867e-05,2.365668487548828e-05,2.4124568939208982e-05,4.127470016479492e-05,3.6953495025634765e-05,3.2790527343749996e-05,4.4117057800292965e-05,5.665240097045898e-05,6.567828369140625e-05,3.9655563354492185e-05,5.260432815551758e-05,-7.55E-05,2.2101514816284177e-05,2.4214611053466797e-05,1.2355225563049315e-05,2.6774541854858398e-05,3.289578628540039e-05,1.501901626586914e-05,-8.40E-06,-1.54E-05,-1.01E-05,-0.000142443,-0.000213125,-8.22E-05,-5.06E-05,-2.46E-05,-7.21E-05,8.87251091003418e-06,-1.19E-05,9.998799324035644e-06,1.1825880050659179e-05,2.5555253982543945e-05,2.5398847579956053e-05,3.582010650634765e-05,4.069408416748047e-05,4.485005950927734e-05,4.743510818481445e-05,5.5195827484130854e-05,5.715182495117187e-05,5.976563262939453e-05,3.840185546875e-05,3.712449264526367e-05,2.3981201171875e-05,2.5616859436035156e-05,2.656970405578613e-05,1.985759162902832e-05,2.6605980470776558e-08,6.472221851348877e-06,1.690004348754883e-05,-1.23E-05,-0.000117701,-5.44E-05,-1.38E-05,-1.56E-05,-1.27E-06
sub-01,avocado_04s.jpg,-0.000355874,-5.28E-05,-7.95E-05,-5.83E-05,7.566723632812499e-05,-1.90E-06,-9.53E-06,1.6933593749999998e-05,6.03748664855957e-05,9.485894775390624e-05,4.223489761352539e-05,3.020285415649414e-05,4.2159759521484376e-05,4.316145706176757e-05,5.647764205932617e-05,6.936112213134765e-05,6.972720336914062e-05,7.968099212646484e-05,4.953255844116211e-05,8.407168579101563e-05,0.000109959,5.2076942443847654e-05,3.48824348449707e-05,2.316359519958496e-05,4.0528182983398435e-05,7.799869537353516e-05,1.9991983413696287e-05,-1.77E-06,-4.94E-05,-2.72E-05,-0.000276637,-0.000306374,-0.000160737,-0.00011604,-5.86E-05,-0.000108739,1.6374351501464843e-05,-2.05E-05,1.0864247322082518e-05,3.829076766967773e-05,5.876192474365234e-05,2.7837249755859374e-05,4.123875045776367e-05,5.2313034057617185e-05,6.594889068603515e-05,5.649868774414062e-05,5.458174133300781e-05,6.706729125976563e-05,8.437584686279296e-05,6.628575134277343e-05,5.0834285736083985e-05,2.917728233337402e-05,3.725659942626953e-05,7.253063201904296e-05,3.876075744628906e-05,1.566040802001953e-05,2.624314129352569e-07,3.436221694946289e-05,-4.07E-05,-0.000212825,-0.000118143,-4.33E-05,-9.31E-06,1.5796567916870116e-05
sub-01,banana_01b.jpg,-0.000338578,-4.98E-05,-5.34E-05,2.645746040344238e-05,0.000153808,2.6379068374633788e-05,-6.99E-06,2.048811149597168e-05,8.571833038330078e-05,0.0001422,4.17198257446289e-05,2.749340057373047e-05,3.7704933166503905e-05,3.632927322387695e-05,4.654250717163086e-05,8.264138031005859e-05,8.522245025634765e-05,0.00010144,1.5136489868164063e-05,0.00010455,0.000170434,-3.46E-05,1.7279027938842773e-05,-1.01E-05,4.39730339050293e-05,6.145161819458007e-05,-1.40E-05,-8.34E-06,-6.38E-05,-5.40E-05,-0.000309052,-0.000209319,-0.000142193,-0.0001435,-5.24E-05,-5.25E-05,7.417816925048828e-05,-1.06E-06,2.1271259307861326e-05,3.619731140136719e-05,7.5014892578125e-05,3.0843814849853515e-05,3.96644401550293e-05,2.8961771011352537e-05,0.000129029,5.259385299682617e-05,6.000125885009765e-05,6.0743312835693356e-05,0.000133896,-4.23E-05,2.9583976745605466e-05,3.4001853942871095e-05,-1.62E-06,-6.69E-05,-1.58E-05,1.1029075622558594e-05,-1.79E-05,4.786419868469238e-06,-6.34E-05,-0.000240958,-0.00013051,-5.12E-05,5.474132537841797e-06,2.0119207382202148e-05
sub-01,banana_02s.jpg,1.1304539680480957e-05,-2.41E-06,-5.77E-07,5.0914940834045405e-06,5.249341487884521e-06,-2.69E-06,-3.30E-06,-3.77E-07,4.928070545196533e-06,2.731458854675293e-05,-2.77E-06,-8.25E-06,-4.23E-06,-3.98E-06,1.90720157623291e-05,3.5590436458587643e-06,5.504629135131836e-06,4.243089199066162e-06,-5.61E-06,3.355962991714477e-06,1.716105842590332e-05,-5.45E-06,-1.09E-05,-8.00E-06,1.1812121391296386e-05,1.3246769905090332e-05,8.748185038566589e-07,-1.00E-05,-5.34E-06,7.84933042526245e-06,1.3067057609558105e-05,4.668483257293701e-06,3.197190284729004e-06,-3.04E-07,-6.90E-06,5.522881507873535e-06,5.850609302520752e-06,-1.99E-06,-5.76E-06,-2.77E-05,1.520721435546875e-06,-3.01E-06,-4.80E-06,-4.35E-06,6.951179504394531e-07,-6.05E-07,3.1958067417144775e-06,2.7432029247283936e-06,-6.81E-06,-7.88E-06,-1.16E-05,-4.17E-06,-6.63E-06,4.861518383026123e-06,-2.90E-06,-1.71E-05,-7.80E-06,4.4361186027526854e-06,2.9325566291809082e-06,5.111716747283935e-06,1.1631948471069336e-05,-5.58E-06,-5.11E-06,-5.11E-06
