subject,stimname,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,alpaca_01b.jpg,-0.000165126,-1.94E-05,-2.56E-05,-5.73E-05,1.1050742864608765e-06,-6.24E-06,4.44633150100708e-06,1.2044095993041991e-05,7.797353267669678e-06,5.748199462890625e-05,1.825094985961914e-05,2.7821573257446287e-05,3.4130298614501955e-05,2.89997444152832e-05,2.7586172103881835e-05,2.3315149307250977e-05,3.175123786926269e-05,3.0042610168457028e-05,3.1319740295410154e-05,3.7334857940673825e-05,7.939437866210937e-06,2.251395797729492e-05,2.5564741134643552e-05,1.829678726196289e-05,1.929750633239746e-05,7.372049808502197e-06,1.6927419900894164e-06,7.430776596069336e-06,-1.91E-05,-2.57E-05,-0.000142031,-0.000160101,-7.34E-05,-5.58E-05,-1.63E-05,-6.14E-05,-1.37E-06,4.1414493322372435e-07,1.5764456748962403e-05,2.1444667816162108e-05,1.9555233001708983e-05,2.0940113067626953e-05,3.133688354492187e-05,2.4277278900146482e-05,2.9326065063476562e-05,3.6965515136718746e-05,4.0164970397949215e-05,3.83843879699707e-05,3.485014343261718e-05,3.562709045410156e-05,4.422744369506836e-05,3.0792322158813474e-05,2.690390968322754e-05,3.582004165649414e-05,1.6753660202026366e-05,1.894309425354004e-05,6.860846042633057e-06,2.3587875366210935e-06,-2.29E-05,-0.000107478,-6.72E-05,-1.26E-05,6.0889277458190915e-06,1.77818603515625e-05
sub-01,alpaca_02s.jpg,-0.000113206,-1.51E-05,-1.38E-05,-1.94E-05,9.450721740722655e-06,4.5744466781616206e-06,-1.31E-06,3.0148358345031737e-06,2.0493608474731445e-05,1.5866074562072754e-05,6.455060958862304e-06,9.038040161132812e-06,1.1404858589172362e-05,5.958777904510498e-06,1.4305670738220214e-05,1.2058403015136719e-05,1.7011777877807615e-05,2.3276086807250975e-05,6.504531383514404e-06,3.182194328308105e-05,1.1197668075561523e-05,2.1342378616333008e-05,9.842070579528809e-06,1.208118438720703e-05,2.3432464599609373e-05,1.4848126411437988e-05,6.797039031982422e-06,3.9972295761108395e-06,-2.34E-05,-9.69E-06,-8.23E-05,-8.70E-05,-3.75E-05,-3.71E-05,-1.42E-05,-1.08E-05,3.1052310466766354e-06,-4.23E-06,1.0871931076049804e-05,4.041244029998779e-06,1.7524297714233397e-05,6.2677741050720214e-06,9.325098037719727e-06,1.081690788269043e-05,1.4843994140624999e-05,1.2467139244079589e-05,1.5551042556762694e-05,1.004853057861328e-05,2.8500270843505858e-05,2.17928409576416e-05,1.4700940132141112e-05,1.3327978134155274e-05,1.5742249488830565e-05,2.8826339721679686e-05,2.093468475341797e-05,5.1095089912414544e-06,3.1372787952423093e-06,1.1969356536865234e-05,-7.48E-06,-5.99E-05,-4.21E-05,-1.46E-05,7.360621929168701e-06,1.2100357055664062e-05
sub-01,alpaca_03s.jpg,-8.54E-05,3.622068166732788e-06,-3.99E-05,-9.65E-05,-5.52E-05,-3.30E-05,2.6648333072662353e-06,-5.99E-06,-3.53E-05,-2.83E-05,-3.03E-06,3.1641318798065186e-06,4.978862762451171e-06,4.325133800506592e-06,-8.17E-06,1.7457197189331055e-05,1.5558326721191404e-05,2.4964231491088865e-05,7.68190622329712e-06,1.2344910621643065e-05,6.703269958496093e-05,9.786111831665038e-06,6.186403751373291e-06,1.8233821868896483e-05,4.2939750671386715e-05,5.800972366333007e-05,4.5190803527832026e-05,1.830043029785156e-05,2.3244205474853515e-05,8.62840347290039e-05,-2.41E-05,-0.000144137,-5.31E-05,-1.56E-05,-1.58E-05,-7.90E-05,-5.28E-05,-2.16E-05,2.9375121593475342e-06,6.098201274871826e-06,-9.32E-06,-1.43E-06,4.630757808685302e-06,7.248564720153808e-06,1.5300688743591309e-06,5.788122653961181e-06,4.819783687591552e-06,1.1619771003723144e-05,4.213642501831054e-05,-6.87E-06,3.3361363410949707e-06,6.998325824737549e-06,9.392960548400879e-06,-9.21E-06,1.779714012145996e-05,8.741217613220214e-06,2.2731327056884765e-05,5.532818603515625e-05,4.763934707641601e-05,5.635645294189453e-05,1.0913972854614257e-05,1.271835422515869e-05,5.610395431518554e-06,7.22886848449707e-06
sub-01,alpaca_04s.jpg,0.000455596,3.8604354858398435e-05,7.448712158203125e-05,0.000110707,-5.99E-05,-7.47E-06,-2.94E-06,-2.42E-05,-4.23E-05,-9.64E-05,-3.26E-05,-3.24E-05,-4.27E-05,-4.25E-05,-5.28E-05,-9.68E-05,-8.34E-05,-8.77E-05,-5.96E-05,-6.21E-05,-0.000127975,-7.34E-05,-4.06E-05,-4.66E-05,-6.64E-05,-0.000109422,-4.46E-05,-1.59E-05,3.089553451538086e-05,-2.50E-06,0.000401245,0.000380542,0.000186498,0.000139733,5.330014038085937e-05,0.000136038,-4.04E-05,4.976935386657714e-06,-2.23E-05,-2.04E-05,-2.90E-05,-3.11E-05,-3.99E-05,-4.56E-05,-6.03E-05,-5.08E-05,-5.89E-05,-6.64E-05,-6.96E-05,-8.70E-05,-5.40E-05,-3.87E-05,-5.48E-05,-7.69E-05,-8.51E-05,-2.73E-05,-2.74E-05,-6.93E-05,2.0838533401489257e-05,0.000256633,0.000130312,2.8130977630615232e-05,-1.06E-05,-2.94E-05
sub-01,cat_01b.jpg,8.588617324829101e-06,-2.85E-06,1.2324012756347656e-05,5.295324802398681e-06,9.70997905731201e-06,4.324153900146484e-06,-1.38E-05,-8.11E-06,9.746061325073242e-06,3.370455741882324e-06,4.591858386993408e-06,-4.45E-06,-7.45E-07,4.029603004455566e-06,-1.36E-05,1.8139448165893553e-05,1.0171780586242675e-05,9.735052108764648e-06,8.078576624393463e-08,1.5864205360412597e-05,-1.74E-05,-7.55E-06,-3.80E-06,-8.18E-06,-2.04E-05,6.503934383392333e-06,7.150398254394531e-06,-1.16E-05,2.820486545562744e-06,5.439113140106201e-06,-4.63E-06,5.268162250518798e-06,-5.23E-06,4.7322034835815426e-06,-7.17E-06,-6.90E-07,6.33409309387207e-06,-2.20E-05,-8.81E-06,-4.10E-06,2.7630029678344724e-05,1.398702025413513e-06,-9.22E-07,5.405050277709961e-06,2.051953125e-05,8.856706619262695e-06,4.3200292587280275e-06,9.825699806213378e-06,1.0608453750610352e-05,-5.35E-06,-7.87E-06,-6.36E-06,-4.23E-06,-1.56E-05,3.655280545353889e-08,-9.54E-06,-9.72E-06,1.1927079200744629e-05,2.104161024093628e-06,-9.35E-07,-1.25E-06,-8.04E-06,-1.46E-05,-7.15E-06
sub-01,cat_02s.jpg,0.000417258,5.4091529846191405e-05,7.325576019287108e-05,4.690851974487305e-05,-8.92E-05,-1.09E-05,4.4974904060363765e-06,-2.77E-05,-7.17E-05,-4.52E-05,-5.27E-05,-3.21E-05,-5.12E-05,-4.68E-05,-7.39E-05,-6.85E-05,-6.85E-05,-6.78E-05,-4.56E-05,-5.80E-05,-0.000119008,-5.05E-05,-3.51E-05,-2.52E-05,-4.83E-05,-7.39E-05,-1.59E-05,4.279655933380126e-06,4.782361221313476e-05,3.262421035766602e-05,0.000296058,0.000321573,0.000174498,0.000133315,6.406040954589844e-05,0.000101229,-3.29E-05,7.250772953033447e-06,-2.16E-05,-5.09E-05,-6.78E-05,-4.11E-05,-4.47E-05,-5.36E-05,-7.29E-05,-5.88E-05,-5.72E-05,-5.12E-05,-6.38E-05,-5.85E-05,-4.98E-05,-3.78E-05,-4.23E-05,-6.87E-05,-4.46E-05,-2.29E-05,-4.64E-06,-3.08E-05,3.712936782836914e-05,0.000205536,0.000114902,4.073600387573242e-05,-5.76E-07,-2.21E-05
sub-01,cat_03s.jpg,-3.88E-05,1.0657571554183959e-06,-7.99E-06,-1.64E-05,-1.29E-06,-2.32E-05,1.6517887115478514e-06,1.0154216766357422e-05,5.968885421752929e-06,-6.71E-06,1.1499923706054687e-05,1.0874504089355469e-05,8.58366870880127e-06,1.991842460632324e-05,-5.29E-06,9.297975540161133e-06,2.8692245483398437e-06,3.876915693283081e-06,2.0353355407714845e-05,-8.49E-06,-1.61E-05,1.362671947479248e-05,6.842607498168945e-06,3.253734827041626e-06,3.4169218540191647e-06,5.694091796875e-06,7.688698768615722e-07,-2.15E-06,-9.09E-06,-8.39E-06,-3.29E-05,-3.77E-05,-2.15E-05,-8.43E-06,-7.66E-06,-2.19E-06,-8.17E-06,7.468833446502685e-06,2.3869194984436036e-06,4.032941162586212e-07,-5.89E-06,1.0505006790161132e-05,1.5226897239685057e-05,2.6745765686035154e-05,-1.16E-05,1.909568405151367e-05,1.0992789268493651e-05,1.4051295280456543e-05,2.1555337905883786e-06,1.8733211517333984e-05,1.7866268157958984e-05,8.263788223266602e-06,1.3217262268066406e-05,-1.78E-06,1.7131494522094724e-05,2.6991705894470215e-06,3.84431928396225e-07,8.240540504455565e-06,-3.66E-07,-2.66E-05,-1.38E-05,-4.28E-06,-7.80E-06,-7.81E-07
sub-01,cat_04s.jpg,-0.000241835,-4.56E-05,-3.56E-05,5.442177772521973e-06,8.263046264648437e-05,1.8388719558715818e-05,3.876934289932251e-06,1.8434650421142577e-05,4.4010116577148434e-05,7.290264129638671e-05,3.45947265625e-05,1.476943302154541e-05,5.370021820068359e-06,2.1922098159790037e-05,4.8826507568359375e-05,4.1799560546875e-05,4.363027954101562e-05,4.6355785369873043e-05,2.639215850830078e-05,6.246970367431641e-05,7.473588562011718e-05,1.965343475341797e-05,1.1179032325744628e-05,5.14187479019165e-06,3.475373458862305e-05,7.196006774902343e-05,1.2881346702575683e-05,-1.07E-05,-3.91E-05,-2.15E-05,-0.000231912,-0.000155523,-9.72E-05,-9.52E-05,-2.49E-05,-4.14E-05,4.185673141479492e-05,4.063714504241943e-06,1.0955221176147461e-05,2.802686309814453e-05,3.571889877319336e-05,2.2536985397338866e-05,1.3236522674560547e-05,3.7530399322509766e-05,5.0981777191162106e-05,2.3139251708984375e-05,2.3204376220703124e-05,2.967066764831543e-05,5.318169021606445e-05,2.768609809875488e-05,1.308852195739746e-05,1.1159136772155761e-05,1.6279706954956053e-05,3.668772125244141e-05,2.4840101242065427e-05,5.04514217376709e-06,-6.12E-06,2.9414278030395507e-05,-3.21E-05,-0.000174249,-8.41E-05,-3.70E-05,1.2062113285064696e-06,1.2268454551696777e-05
sub-01,cheetah_01b.jpg,-8.22E-05,-2.42E-05,-3.03E-05,-1.99E-05,2.635917282104492e-05,-3.57E-06,-1.71E-05,-6.85E-06,2.3513166427612302e-05,3.789606475830078e-05,7.343466758728027e-06,-1.09E-05,2.0044114589691163e-06,7.958793640136718e-06,2.2899499893188474e-05,3.725601577758789e-05,4.235868072509765e-05,3.801409149169922e-05,1.547274589538574e-05,3.508064270019531e-05,3.430165863037109e-05,2.3680727005004883e-05,-6.34E-07,3.656066656112671e-06,3.168320465087891e-05,2.8347646713256835e-05,8.56175136566162e-06,-1.07E-05,-1.63E-05,1.4916404485702514e-06,-6.65E-05,-8.05E-05,-5.44E-05,-3.18E-05,-3.12E-05,-3.61E-05,9.181011915206909e-07,-1.04E-05,-1.53E-05,1.171913433074951e-05,1.5112242698669433e-05,-4.88E-06,-2.15E-06,1.997232627868652e-05,2.4697195053100585e-05,1.586348247528076e-05,2.040228271484375e-05,2.8661491394042968e-05,4.823200988769531e-05,2.528455543518066e-05,4.543082237243652e-06,-7.09E-06,7.954860210418701e-06,3.256428527832031e-05,7.883732318878173e-06,-8.86E-06,-2.13E-06,1.655961227416992e-05,-1.60E-05,-4.91E-05,-2.50E-05,-2.01E-05,-1.63E-05,-7.74E-06
sub-01,cheetah_02s.jpg,0.000212693,2.0148181915283202e-05,4.9857151031494135e-05,2.154579734802246e-05,-3.82E-05,-1.46E-06,-5.72E-06,-1.59E-05,-2.57E-05,-3.19E-05,-1.81E-05,-1.99E-05,-2.87E-05,-1.66E-05,-1.76E-05,-3.03E-05,-2.01E-05,-1.31E-05,-2.55E-05,-4.56E-05,-1.52E-06,-2.53E-05,-2.33E-05,-2.26E-05,-4.26E-05,-3.71E-05,-1.18E-05,-6.78E-06,1.4729986190795897e-05,1.2873389244079589e-05,0.000144719,0.000156119,8.182508087158202e-05,6.743549346923828e-05,2.4534849166870117e-05,4.245155334472656e-05,-1.29E-05,-2.41E-06,-1.92E-05,-1.87E-05,-2.90E-05,-1.64E-05,-2.03E-05,-1.29E-05,-2.93E-05,-2.12E-05,-2.19E-05,-2.26E-05,-2.63E-05,-3.03E-05,-2.41E-05,-2.46E-05,-2.74E-05,-3.98E-05,-2.10E-05,-2.11E-05,-1.19E-05,-1.89E-05,1.3545785903930663e-05,0.000105704,5.315267562866211e-05,1.1111681938171385e-05,-1.32E-05,-2.17E-05
