,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
EEG Fp1,1.0,0.216346194871318,0.6509407555859673,0.4733018681866866,0.7723453302232681,0.26902144451342114,0.6209044374921467,0.25275437011868,0.5300916225751648,0.4389532249169183,0.3840783556812038,0.1444394911907315,0.42599981739737325,0.25521098963607414,0.2581426428944524,0.1828509700041189,0.5749582615381458,0.5607899384825501,0.3404506390671765,-0.7238078839072766,-0.012919147376228282
EEG Fp2,0.216346194871318,1.0,0.465855866026142,0.5552882331230653,0.3741656293345012,0.25807673585377594,0.28642748748180236,0.34876387600649444,0.3557653864968795,0.45307937942618604,0.20565336713532456,0.15559734803530012,0.2892692627877015,0.23283638716225843,0.15385857942645137,0.11352100711365834,0.45449928483060825,0.42476342368683295,0.27683469385163395,-0.21675606291025717,-0.054597335305237964
EEG F3,0.6509407555859674,0.465855866026142,1.0,0.8369370022712421,0.6860237149994333,0.3516606998896952,0.7178351352118245,0.504318540895344,0.8125862407226524,0.6925496458987279,0.5355227705298339,0.319932118498614,0.6083330451340795,0.4881284335716491,0.4044126737955795,0.32305143957059573,0.8394503628176035,0.7904813467882773,0.5386831774640634,-0.43591592562593295,-0.03846335742227139
EEG F4,0.4733018681866866,0.5552882331230653,0.8369370022712421,1.0,0.5146070794412306,0.5412676250821766,0.592070685887327,0.6793563318738552,0.77064835847338,0.7834036852550447,0.4351131905546426,0.45116810778533123,0.5906201023481004,0.552254637538648,0.4073308166846368,0.36918827697806544,0.8482612123079032,0.8258511993934694,0.5657889450224068,-0.17626221770635456,-0.04649044669082022
EEG F7,0.7723453302232681,0.37416562933450126,0.6860237149994332,0.5146070794412306,1.0,0.2680037916441782,0.6421680982122482,0.288543625506272,0.5191226002139058,0.41385783513704183,0.38596006840744773,0.10784358006007448,0.4144628965006076,0.21639589620207544,0.22397919939325572,0.15490191667698214,0.5587057543680652,0.46167315968002615,0.29696993031438546,-0.7347235286361734,-0.02242390210050243
EEG F8,0.26902144451342114,0.25807673585377594,0.35166069988969517,0.5412676250821765,0.26800379164417815,1.0,0.25045662439259486,0.3281117727030927,0.29800049983672955,0.3676396620185636,0.13471279453069018,0.17799377840076128,0.1412169154567718,0.08855370920811048,0.03397462885057615,0.013531646065713603,0.5304703217681651,0.2990437145760722,0.1905237810674502,0.02675412965175539,0.04778042364641223
EEG T3,0.6209044374921467,0.2864274874818024,0.7178351352118245,0.592070685887327,0.6421680982122482,0.25045662439259486,1.0,0.4903098870075611,0.8045986546490028,0.6342780382952168,0.7449863673597032,0.399380630356292,0.6971700921768617,0.5580241647640284,0.5846527391679661,0.46519272690259,0.6043083107852406,0.7047076368138445,0.6243146691965854,-0.7203588416836697,-0.028051212229423084
EEG T4,0.25275437011867996,0.3487638760064944,0.5043185408953439,0.6793563318738552,0.288543625506272,0.3281117727030928,0.4903098870075612,1.0,0.6412607749325883,0.7160448528546544,0.49188760076799065,0.7541012707872188,0.5997551448948802,0.7219922574413863,0.5702132986746151,0.5912129782699602,0.4650288898134493,0.6751964910104972,0.6368838305115245,0.002493371278557069,-0.07802819834802194
EEG C3,0.530091622575165,0.3557653864968795,0.8125862407226524,0.7706483584733801,0.5191226002139058,0.29800049983672955,0.8045986546490029,0.6412607749325883,1.0,0.826874256269593,0.7105461747790067,0.5313819621264617,0.7743931937925793,0.7466246139615537,0.7053117221760192,0.608915901669015,0.7031442064403761,0.9100672166302183,0.8245803060121726,-0.4424558569714727,-0.03840466206435277
EEG C4,0.43895322491691835,0.45307937942618604,0.6925496458987279,0.7834036852550448,0.41385783513704183,0.3676396620185635,0.6342780382952168,0.7160448528546545,0.826874256269593,1.0,0.569855889526612,0.5906893772838584,0.7182085520295198,0.7250377026166076,0.626343636539341,0.5839211009285261,0.6608457320126758,0.8670187300776588,0.7571703043046911,-0.2495941675011809,-0.0591470977807686
EEG T5,0.3840783556812038,0.20565336713532456,0.5355227705298339,0.43511319055464254,0.3859600684074478,0.13471279453069018,0.7449863673597034,0.49188760076799065,0.7105461747790068,0.569855889526612,1.0,0.46299985569366964,0.7234345420437378,0.6421421374072652,0.7165644254153807,0.6009290494646276,0.4292219183951632,0.6265288597932245,0.6786618144673812,-0.589591690100994,-0.03090963557811825
EEG T6,0.1444394911907315,0.15559734803530012,0.319932118498614,0.4511681077853312,0.10784358006007447,0.17799377840076128,0.399380630356292,0.7541012707872189,0.5313819621264617,0.5906893772838584,0.46299985569366964,1.0,0.5878388023697756,0.8107753701497313,0.670446427945084,0.7380216045604056,0.2599943782523298,0.5395065634233499,0.6733032284359729,-0.0035582771376586673,-0.06673524422025405
