subject,stimname,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz,Cz
sub-01,axe_01b.jpg,-6.44E-05,6.281501054763794e-08,-1.58E-05,-1.41E-05,8.869621276855468e-06,-1.86E-06,1.249517822265625e-05,1.4037878036499022e-05,2.037454843521118e-06,1.8333400726318358e-05,7.206139087677002e-06,8.549819946289062e-06,-1.77E-06,9.873520851135254e-06,1.388727283477783e-05,1.6131465911865232e-05,1.4168926239013672e-05,1.3701355934143065e-05,-4.56E-06,-5.24E-06,-3.34E-06,1.300974130630493e-06,4.9126343727111815e-06,6.0805029869079584e-06,-2.25E-05,6.651536464691162e-06,-1.82E-06,1.181042766571045e-05,-8.10E-06,-6.30E-06,-4.20E-05,-4.98E-05,-3.61E-05,-1.98E-05,-3.12E-06,-2.85E-05,4.93587589263916e-06,5.453869819641113e-06,1.7496341705322264e-05,1.653467559814453e-05,1.3889320373535156e-05,1.218527889251709e-05,6.4187102317810055e-06,1.275028133392334e-05,2.030477714538574e-05,9.776077270507812e-06,7.558183193206786e-06,2.265681266784668e-06,1.4584820747375487e-05,6.670326590538025e-07,8.561763763427735e-06,1.105953598022461e-05,8.26994228363037e-06,4.703569889068603e-06,6.049826145172119e-06,1.1207976341247558e-05,5.144083976745605e-06,8.408244132995605e-06,-9.17E-06,-3.20E-05,-2.96E-05,-3.70E-06,1.5275725364685057e-05,1.0001232147216797e-05
sub-01,axe_02n.jpg,3.738164520263672e-05,1.0952410697937011e-06,1.7253638505935668e-06,-6.32E-06,-2.03E-05,-5.67E-06,-7.92E-08,-5.95E-06,-2.41E-05,-1.14E-05,-1.19E-05,-6.48E-06,6.98347806930542e-06,3.4339532256126403e-07,3.2459187507629393e-06,-4.22E-07,4.137769699096679e-06,2.271431446075439e-06,1.0936396598815917e-05,1.0265262603759765e-05,-8.79E-06,1.39605176448822e-06,-2.29E-06,2.055000782012939e-06,-8.38E-06,-1.77E-05,-9.12E-06,-3.12E-06,3.394466400146484e-06,-5.28E-06,2.996268081665039e-05,1.87985725402832e-05,1.2248853683471678e-05,1.3994850158691406e-05,-2.97E-06,-4.03E-06,-1.63E-05,-1.27E-06,-5.22E-06,-1.13E-05,-1.02E-05,-4.41E-06,-1.20E-06,-3.28E-07,3.1795346736907957e-06,3.777225971221924e-06,8.314444541931153e-06,5.688849925994873e-06,7.679762840270995e-06,1.4261748313903807e-05,5.638562202453613e-06,-1.85E-06,2.8069000244140626e-06,6.091747760772705e-06,-1.17E-05,-4.94E-06,-4.24E-06,-1.28E-05,-9.97E-07,1.2819811820983886e-05,4.74866247177124e-06,4.411104202270507e-06,1.9888582229614256e-06,-5.28E-07
sub-01,axe_03n.jpg,-4.26E-05,6.051933765411377e-06,-1.30E-05,-2.21E-05,-1.66E-07,-9.53E-06,5.938948154449463e-06,-1.31E-06,2.0469419956207276e-06,4.529616832733154e-06,-5.97E-06,9.708352088928223e-06,1.6922235488891602e-05,1.1886131286621093e-05,1.1072498321533203e-05,4.872124671936035e-06,-1.63E-06,-3.90E-06,1.710223388671875e-05,-5.25E-06,-5.73E-06,1.0375849723815917e-05,1.785214042663574e-05,9.098164558410645e-06,3.895532131195068e-06,3.876618146896362e-06,-2.77E-06,1.3759151458740233e-05,7.160953879356384e-07,-1.01E-05,-3.56E-05,-4.27E-05,-1.43E-05,-3.04E-06,-1.51E-06,-1.46E-05,-9.55E-06,-2.50E-06,4.590414524078369e-06,-1.97E-05,5.02075719833374e-06,5.440579414367676e-06,1.3487510681152342e-05,-2.78E-07,8.171774864196776e-06,9.335887908935546e-06,8.432390213012694e-06,1.4619850158691406e-05,1.0096036195755004e-06,9.15477180480957e-06,1.0612295150756836e-05,1.2820094108581543e-05,1.3922800064086914e-05,8.316926002502441e-06,2.383333683013916e-06,1.481968307495117e-05,5.626109600067139e-06,-6.44E-06,-6.85E-06,-3.01E-05,-3.36E-06,2.5336503982543943e-06,5.016768455505371e-06,9.447507858276367e-06
sub-01,axe_04n.jpg,-0.00035441,-4.15E-05,-7.59E-05,-6.40E-05,6.449581909179687e-05,-9.56E-06,5.452071189880371e-06,2.9355960845947263e-05,5.445096969604492e-05,7.363186645507812e-05,4.7577571868896484e-05,3.98348388671875e-05,4.2402923583984375e-05,5.467481994628906e-05,7.447792816162109e-05,7.234732818603515e-05,7.034801483154296e-05,6.222857666015625e-05,3.749446487426758e-05,4.21818733215332e-05,4.701436614990234e-05,4.6820728302001954e-05,3.6128047943115234e-05,3.1912014007568355e-05,4.577163696289062e-05,5.919505310058593e-05,1.5789870262145995e-05,9.564708709716796e-06,-4.16E-05,-3.58E-05,-0.000281778,-0.000288932,-0.000153549,-0.000115379,-4.82E-05,-0.000118301,2.192349815368652e-05,1.5410372018814086e-06,2.6480497360229492e-05,3.086178398132324e-05,6.107866668701172e-05,4.454009628295898e-05,4.866027069091797e-05,6.0720424652099605e-05,5.9647243499755854e-05,6.203817749023437e-05,5.9333915710449215e-05,4.505948638916015e-05,5.0632293701171875e-05,4.247615051269531e-05,4.5040687561035154e-05,3.83702278137207e-05,3.9136592864990234e-05,6.720464324951171e-05,5.182084655761719e-05,3.107445907592773e-05,8.460806846618652e-06,2.4997398376464844e-05,-3.62E-05,-0.000214022,-0.000104918,-3.11E-05,3.77199649810791e-06,2.708585739135742e-05
sub-01,chainsaw_01b.jpg,-0.000206874,-2.47E-05,-5.55E-05,-5.27E-05,1.930428695678711e-05,-1.44E-05,-9.77E-06,8.113472461700439e-07,2.6606298446655273e-05,3.988142395019531e-05,1.2831775665283202e-05,2.0393207550048826e-05,3.1442632675170894e-05,2.7918468475341794e-05,3.6825801849365234e-05,5.1638160705566404e-05,3.8171031951904295e-05,4.3220993041992186e-05,3.750491714477539e-05,4.486933135986328e-05,6.056035995483398e-05,3.332421112060547e-05,2.6204227447509766e-05,2.283577537536621e-05,-2.13E-05,4.636246871948242e-05,1.7844345092773436e-05,4.301168441772461e-06,-2.17E-05,-1.10E-06,-0.00013756,-0.000192768,-8.97E-05,-6.23E-05,-3.46E-05,-7.36E-05,-6.69E-06,-1.21E-05,7.207414150238037e-06,1.4911393165588378e-05,2.172380447387695e-05,1.6313261032104492e-05,2.47742805480957e-05,2.0624546051025388e-05,3.8030189514160157e-05,3.8665340423583986e-05,3.6009323120117184e-05,3.482271575927734e-05,3.297529220581055e-05,4.162099456787109e-05,3.067342567443848e-05,2.3237104415893552e-05,3.232086944580078e-05,4.5457237243652345e-05,2.9222051620483396e-05,2.1319379806518552e-05,4.4288125038146975e-06,2.829316711425781e-05,-1.37E-05,-8.64E-05,-6.37E-05,-1.95E-05,-2.21E-06,1.716239356994629e-05
sub-01,chainsaw_02s.jpg,-0.000144614,-2.13E-05,-3.45E-05,-2.92E-05,2.4793792724609372e-05,-7.81E-06,-1.22E-06,1.7203837633132933e-06,2.287025451660156e-05,1.9101242065429688e-05,1.3187874794006347e-05,1.2432361602783202e-05,2.3296291351318358e-05,1.877761650085449e-05,4.211859512329101e-05,3.699258041381836e-05,3.2521530151367185e-05,2.6694068908691404e-05,2.5408927917480468e-05,5.44644021987915e-06,3.203772354125976e-05,2.610342025756836e-05,2.026955795288086e-05,2.4817031860351562e-05,7.471661567687988e-06,2.6899698257446286e-05,1.1791662216186524e-05,8.788575232028961e-08,-2.25E-05,-7.48E-06,-0.000135287,-0.000135215,-6.24E-05,-5.15E-05,-2.64E-05,-4.32E-05,5.265028953552246e-06,-1.57E-05,9.14536666870117e-06,5.47354507446289e-06,2.6870428085327147e-05,1.4464878082275389e-05,1.9533399581909177e-05,3.1983016967773434e-05,2.793124198913574e-05,2.8909008026123044e-05,3.507574462890625e-05,2.3088647842407226e-05,2.527914524078369e-06,4.276034545898437e-05,2.7774993896484372e-05,2.1451868057250977e-05,2.828633689880371e-05,1.0323338508605957e-05,4.986843490600586e-05,1.2455241203308105e-05,8.580615997314452e-06,1.8160959243774414e-05,-1.81E-05,-9.61E-05,-4.76E-05,-1.83E-05,1.8356604874134063e-07,1.3432687759399414e-05
sub-01,chainsaw_03s.jpg,0.000232567,7.770702362060546e-06,2.2732481002807617e-05,-2.15E-05,-5.41E-05,-2.55E-05,-2.17E-05,-2.93E-05,-4.49E-05,-3.11E-05,-3.07E-05,-3.46E-05,-3.60E-05,-3.52E-05,-3.11E-05,-2.91E-05,-2.40E-05,-1.07E-05,-2.46E-05,-4.83E-06,-1.81E-05,-1.99E-05,-3.03E-05,-1.60E-05,-1.10E-05,4.630181789398193e-06,9.256498336791992e-06,-1.60E-05,3.28888931274414e-05,6.940061187744141e-05,0.000184173,0.000125372,7.966971588134765e-05,5.717007446289062e-05,6.300062179565429e-06,2.8799152374267578e-05,-3.10E-05,-1.80E-05,-2.67E-05,-3.05E-05,-3.37E-05,-3.01E-05,-3.53E-05,-2.96E-05,-2.53E-05,-3.46E-05,-2.65E-05,-1.83E-05,-1.34E-05,-1.78E-05,-3.54E-05,-3.71E-05,-2.74E-05,-9.51E-06,-1.27E-05,-3.15E-05,2.6580542325973507e-07,1.791629600524902e-05,4.918021011352539e-05,0.000168388,6.148057556152344e-05,1.1559344291687012e-05,-1.42E-05,-3.04E-05
sub-01,chainsaw_04s.jpg,-4.10E-06,-1.42E-07,-4.38E-07,-1.19E-05,-1.07E-05,-8.36E-06,-9.11E-06,-5.28E-06,-1.79E-05,-1.95E-05,-4.81E-06,6.754084110260009e-06,1.0426837921142578e-05,2.9430296421051026e-06,-9.93E-06,-9.75E-07,2.785261392593384e-06,-8.37E-07,9.546952247619629e-06,2.8186044692993165e-06,1.3003779649734496e-06,1.36646728515625e-05,9.965894699096679e-06,9.905252456665039e-06,1.135430908203125e-05,4.953307628631592e-06,9.694398880004883e-06,4.407597064971924e-06,1.0082988739013672e-05,3.884631156921386e-06,-5.90E-06,-3.56E-06,-5.86E-06,1.762349247932434e-06,1.0561002045869826e-07,-2.03E-06,-1.91E-05,-9.91E-06,-2.87E-06,-1.25E-05,-1.20E-05,4.1896069049835205e-07,6.403570652008056e-06,-5.10E-06,-1.62E-06,1.09034526348114e-06,1.054456114768982e-06,6.080418109893798e-06,-8.82E-07,7.559949874877929e-06,1.504081630706787e-05,7.850881576538086e-06,1.3680972099304198e-05,-1.58E-05,1.1152585029602051e-05,6.4714579582214355e-06,6.5192975997924805e-06,1.1936169624328613e-05,6.373902320861816e-06,-3.32E-06,-1.37E-05,4.682183265686035e-06,-8.37E-06,3.8292939662933345e-06
sub-01,compass_01b.jpg,-9.44E-05,9.046313762664794e-07,-3.36E-06,-2.45E-05,1.393458080291748e-05,-2.65E-06,7.134692192077637e-06,6.0952153205871575e-06,1.2029146194458008e-05,1.700844192504883e-05,7.399685859680175e-06,1.1328493118286133e-05,1.1960731506347656e-05,9.636656761169433e-06,1.6402114868164063e-05,1.0516979217529296e-05,1.403624439239502e-05,6.160191059112548e-06,1.2242962837219238e-05,9.9330997467041e-06,4.207079315185547e-05,1.0984224319458008e-05,1.0849153518676757e-05,1.4845377922058105e-05,2.0083358764648436e-05,7.607163906097412e-06,-3.96E-06,1.4679588317871094e-05,-7.00E-06,-1.47E-05,-8.04E-05,-8.54E-05,-3.60E-05,-1.97E-05,-2.57E-06,-2.23E-05,7.234660625457763e-06,-4.89E-06,1.1498089790344238e-05,4.9405188560485834e-06,5.5408906936645505e-06,9.081801414489746e-06,8.698646545410155e-06,4.578996181488037e-06,8.09243106842041e-06,8.2546968460083e-06,1.206492805480957e-05,8.20171546936035e-06,7.844963073730468e-06,8.664219856262206e-06,5.920400142669678e-06,1.0278960227966309e-05,1.2078665733337401e-05,2.1741890907287595e-06,3.095280885696411e-06,1.0066787719726563e-05,9.809125900268554e-06,5.057526826858521e-07,-7.66E-06,-6.25E-05,-1.08E-05,9.184179306030273e-07,1.779012107849121e-05,1.7671659469604492e-05
sub-01,compass_02s.jpg,-1.94E-05,5.99835729598999e-06,-2.26E-07,-1.88E-05,-1.26E-05,-4.78E-06,1.4555349349975585e-06,4.207644462585449e-06,-1.09E-05,-1.05E-05,2.6343042850494385e-06,2.0084692001342773e-05,2.075118064880371e-05,1.814381217956543e-05,-3.62E-06,7.009923458099365e-06,7.277989387512207e-06,4.930777549743652e-06,1.5330266952514646e-05,-2.28E-05,2.0119503021240233e-05,2.6762340068817137e-06,1.2800012588500976e-05,1.376976728439331e-06,-2.39E-05,-1.54E-05,-1.04E-05,1.2266713142395018e-05,-1.54E-05,-2.15E-05,-3.32E-05,-1.68E-05,-6.33E-06,-1.35E-05,4.996806621551514e-06,-8.11E-06,-6.53E-06,-8.50E-06,1.261320686340332e-05,5.30799388885498e-06,5.535163402557373e-06,1.5745277404785157e-05,2.4032001495361326e-05,1.3512746810913085e-05,-1.25E-05,1.8666540145874023e-05,1.2854110717773438e-05,3.9319238662719725e-06,-1.10E-05,4.37638521194458e-06,1.0826400756835938e-05,1.845013427734375e-05,8.092082023620605e-06,-9.85E-06,1.0084014892578124e-05,1.919239044189453e-05,5.295300960540771e-06,-1.64E-05,-1.64E-05,-2.64E-05,-2.22E-06,2.21946907043457e-06,1.1803189277648925e-05,1.361058235168457e-05
