,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,EEG P9,EEG P10,MK
EEG Fp1,1.0,0.6041648827639342,0.0018986252963985532,-0.2611479981029136,-0.23443749214161136,0.37565725261554067,0.08111507086653395,-0.20071894220914316,0.3464632822099324,0.2941610590112606,-0.29307527043609616,-0.1363099006504985,0.12481679401092717,0.7754904145692664,-0.31337021580776736,-0.32579751358554354,0.2859811454728486,-0.1835776278103342,-0.3199221491292066,-0.28897024949074634,0.15662226764823786,-0.09814156372697967,-0.2578850904757739,0.02282967800620047,-0.0301309138683685,-0.3751613239626617,-0.15973344026023487,-0.1483175686647313,,,-0.06891498025198949,0.009719851931226521,0.6248476184189088,-0.026636546144250817,-0.03406533147210728,0.014902270206245783
EEG F3,0.6041648827639342,1.0,0.5273757024242176,0.15453634798635998,-0.03557694023222107,0.8479472979429863,0.617758162998736,0.2260789322628305,0.8529975483010127,0.849484976780959,0.11786085502246045,0.34341961999018633,0.6798744674031174,0.5485341155868413,-0.10462583361156826,-0.08818012428448904,-0.1136106493429803,-0.3145791493082833,-0.2274419327342633,-0.05451128010606894,-0.27362025903367776,-0.28685197618337765,-0.14681786283072115,-0.19544943555803274,-0.30262959760084635,-0.28715219858985686,-0.26527890285906236,-0.3504661884616956,,,-0.08341644351720057,0.0044332861045565655,0.19239445211173314,-0.026011481434927236,-0.031849482088611894,0.022674372200847837
EEG C3,0.0018986252963985532,0.5273757024242176,1.0,0.7435303313170132,0.57615032759341,0.6818256411337967,0.8335423109917155,0.7666167251268159,0.6922162982600776,0.767880114523248,0.7197756529804373,0.8661910522548633,0.6131261248332092,-0.1178987838329567,0.15179184095445158,0.5220161119707271,-0.46806468558186876,-0.09927351413394775,0.21869896409854553,0.4244053707232118,-0.4289475178041122,-0.09287056025994023,0.18253288057428063,-0.2973645033327931,-0.1703420342534408,0.29850818074933333,0.14182026550423216,-0.24686216279273843,,,-0.028880150809714646,-0.031221876137932196,-0.18532531967845148,0.09551151697930411,0.0903192956671965,0.019696874337280144
EEG P3,-0.2611479981029136,0.15453634798635998,0.7435303313170132,1.0,0.6887595208621046,0.2933054157936154,0.5876553782333797,0.8921183319026806,0.4086477341722386,0.4061343143430167,0.9054300855812324,0.852068852312134,0.35176219216917715,-0.3373581355775983,0.4604453236127359,0.7881897121018601,-0.33581818181050005,0.12597517279073214,0.5780338260184015,0.6886758651472064,-0.28175082970344506,0.01578667002590966,0.44069099389726024,-0.1253176010452507,-0.11056749949385523,0.5856347329609279,0.15387229507553546,-0.0724959048446936,,,0.019856026605424265,-0.019114354451141024,-0.27153041183657156,0.09932040242156763,0.09388008179821197,0.0043028937013877
EEG O1,-0.23443749214161136,-0.03557694023222107,0.57615032759341,0.6887595208621046,1.0,0.2679674123590794,0.47678717303233087,0.7825275226093441,0.13382588952282604,0.2598114980530917,0.5697704892392341,0.638629182563712,0.287516878312285,-0.3193731689111524,0.251086485688716,0.6663284645505588,-0.2054446317576443,0.37464634059481994,0.6199553844273136,0.8568843779734847,-0.11347495425920211,0.3972692311849346,0.6194425674266805,-0.00653455555514874,0.33340229008722355,0.6701750229153467,0.6487205444016736,0.15332373781468356,,,0.030500908933665742,-0.06271918989356516,-0.19043555296560338,0.09117588416570595,0.08903198109671348,0.0072650406108403015
EEG F7,0.37565725261554067,0.8479472979429863,0.6818256411337967,0.2933054157936154,0.2679674123590794,1.0,0.8098914786094301,0.4421825998823122,0.7425086492173997,0.9428437376593682,0.2583144623615878,0.527752923872619,0.8790807093554789,0.2640100518350595,-0.0616592769299828,0.10774041671392892,-0.306365281971793,-0.1760347978228282,-0.023611389010085235,0.19833431622407538,-0.4026488703373213,-0.12840612985600008,0.06531767326533616,-0.25441098965409015,-0.1765542352494422,-0.045258597926867344,0.014345230754321477,-0.30045674314868226,,,-0.046363777968999334,-0.021817152823623415,-0.02112468595386191,0.025839725232997896,0.02243872851189635,0.027120365614292888
EEG T3,0.08111507086653395,0.617758162998736,0.8335423109917155,0.5876553782333797,0.47678717303233087,0.8098914786094301,1.0,0.7213577071218485,0.6672753160627484,0.8845326400609045,0.5145780585039126,0.7551335920500816,0.7276857038351477,0.018639015649218615,0.05041873007980884,0.31948265849671587,-0.33672489367862757,-0.08051732001734292,0.13913701653632882,0.37230385880196604,-0.32766771322644356,-0.04169272319689438,0.18737472578882663,-0.22838163645589338,-0.11746937231698916,0.1455729395318743,0.0965546582906152,-0.13881392839730197,,,-0.04417967782855735,-0.03820434828161045,-0.1313199067879116,0.06558787430270481,0.060610285380607566,0.030546312336730535
EEG T5,-0.20071894220914316,0.2260789322628305,0.7666167251268159,0.8921183319026806,0.7825275226093441,0.4421825998823122,0.7213577071218485,1.0,0.4221788194704103,0.5307941844037776,0.7799143872702818,0.8697043953086825,0.47919741638110536,-0.26744417219363686,0.34560992434445426,0.666305653982415,-0.2916285571779587,0.16900082168057448,0.5381900907927223,0.7437955717317878,-0.22880484111510171,0.1319470022258131,0.5190442861762089,-0.10974388210685629,0.0033654972170781682,0.5109832317778508,0.24312617885658652,0.025639208340802445,,,0.003226696868858627,-0.06618658300252542,-0.24819927358830068,0.07972895892018021,0.07599960444465008,0.013326007383664544
EEG Fc1,0.3464632822099324,0.8529975483010127,0.6922162982600776,0.4086477341722386,0.13382588952282604,0.7425086492173997,0.6672753160627484,0.4221788194704103,1.0,0.7934029860122163,0.38302994839193477,0.5319136027526203,0.584959527893045,0.33769447557797855,0.13395062790230333,0.11242936759569629,-0.27099472106984607,-0.29006192629481725,-0.10716982978822584,0.08057203413120842,-0.3902061965909059,-0.3040637613554903,-0.09135307589290363,-0.24848391043632015,-0.3506185061521585,-0.133149462157051,-0.22246163243787986,-0.3692345478727934,,,-0.048169142986549035,0.0009440258080642886,-0.007503482710850879,-0.017406418554525224,-0.027556807513126565,0.007720680519655179
EEG Fc5,0.2941610590112606,0.849484976780959,0.767880114523248,0.4061343143430167,0.2598114980530917,0.9428437376593682,0.8845326400609045,0.5307941844037776,0.7934029860122163,1.0,0.3656660297346296,0.6219301390789317,0.8415311826924766,0.2147126854770298,-0.04289972879877857,0.16301463665501914,-0.3174039063231737,-0.2110453071695212,-0.014969632826393705,0.19966036542063006,-0.3663317769458553,-0.17627903494173364,0.05885208344265069,-0.2679776597935529,-0.2396617513905711,-0.040055920371812985,-0.0765489682777968,-0.26384967795559233,,,-0.05529088232841175,-0.023355562989509745,-0.04825730213664806,0.029059678187179055,0.02547430534219422,0.02769243050381697
EEG Cp1,-0.29307527043609616,0.11786085502246045,0.7197756529804373,0.9054300855812324,0.5697704892392341,0.2583144623615878,0.5145780585039126,0.7799143872702818,0.38302994839193477,0.3656660297346296,1.0,0.7600347701117434,0.32044417700333994,-0.4109779599264205,0.4815616541433089,0.8213576864190838,-0.45999892807007503,0.010989471431508678,0.5232541909329085,0.5680738758960265,-0.3745848807015332,-0.09286186612744726,0.33616885896399223,-0.25426178430883994,-0.2189679568261412,0.5747142844940091,0.05339600595276192,-0.17469074449601232,,,0.026782433754605234,-0.042572753862207095,-0.3813172366895586,0.12494349803733576,0.12026613955374316,-0.019679653460141992
EEG Cp5,-0.1363099006504985,0.34341961999018633,0.8661910522548633,0.852068852312134,0.638629182563712,0.527752923872619,0.7551335920500816,0.8697043953086825,0.5319136027526203,0.6219301390789317,0.7600347701117434,1.0,0.5281882763463424,-0.22225503124424278,0.24869058985332626,0.5886970637415224,-0.38787482642308707,0.03373543831105144,0.36605705914087006,0.5517199626439927,-0.3382317710804095,0.003676391355639428,0.3264430288154155,-0.21274779829119084,-0.09309605232483636,0.3907541378307673,0.18287531266903084,-0.1223255040089618,,,-0.001345210972095932,-0.03789794656629457,-0.2500994755394731,0.09082120904666963,0.08716143721292341,0.015339292340928772
